"CancerAlliance","mcedTreated","pct_nonwhite","psw_ethnicity"
"Cheshire and Merseyside Cancer Alliance",1,-92.0276417573613,1
"East Midlands Cancer Alliance",1,-84.3820088750544,1
"East of England - North Cancer Alliance",1,-89.9875210781079,1
"East of England - South Cancer Alliance",0,-80.769367154492,0.618537286290501
"Greater Manchester Cancer Alliance",1,-75.394823895496,1
"Humber and North Yorkshire Cancer Alliance",0,-94.293378078066,0.789165586771976
"Kent and Medway Cancer Alliance",1,-87.6294232426254,1
"Lancashire & South Cumbria Cancer Alliance",0,-86.7597111671217,0.689017227417744
"North Central London Cancer Alliance",0,-56.224376927713,0.397505660864275
"North East London Cancer Alliance",0,-45.255513661071,0.326235128861505
"Northern Cancer Alliance",1,-92.5446637694018,1
"Peninsula Cancer Alliance",0,-95.1547625306352,0.801506407692882
"Somerset, Wiltshire, Avon and Gloucestershire Cancer Alliance",0,-90.9441740565987,0.742961562121169
"South East London Cancer Alliance",1,-59.189838546804,1
"South Yorkshire Cancer Alliance",0,-87.4040010503695,0.697060618018466
"Surrey and Sussex Cancer Alliance",0,-84.6310328730405,0.663096619547808
"Thames Valley Cancer Alliance",0,-81.3817557994912,0.625398418040115
"Wessex Cancer Alliance",0,-91.1426769126662,0.745622991247486
"West London Cancer Alliance",0,-52.3827438182949,0.370927565761469
"West Midlands Cancer Alliance",1,-76.04958116049,1
"West Yorkshire and Harrogate Cancer Alliance",0,-76.0257766137804,0.567878468048188
