"Cancer.Alliance","ethnicity_total","ethnicity_white","ethnicity_asian","ethnicity_black","ethnicity_mixed","ethnicity_other","pct_white","pct_asian","pct_black","pct_mixed","pct_other"
"Cheshire and Merseyside Cancer Alliance",2518617,2343010,69595,28520,47924,29568,93.0276417573613,2.76322283221308,1.13236748580669,1.90279030118513,1.17397762343381
"East Midlands Cancer Alliance",4762337,4066179,389635,129246,115897,61380,85.3820088750544,8.18159235686177,2.71391965751269,2.43361610066654,1.28886300990459
"East of England - North Cancer Alliance",2932545,2668250,119271,44824,68377,31823,90.9875210781079,4.06714986470796,1.52850169392115,2.33166072472886,1.08516663853411
"East of England - South Cancer Alliance",3696542,3022639,322496,168009,123177,60221,81.769367154492,8.72426175598708,4.54503154569866,3.33222238513724,1.62911715868506
"Greater Manchester Cancer Alliance",2867871,2190905,389273,134191,86547,66955,76.394823895496,13.573588212301,4.67911562270409,3.01781356274393,2.33465870675494
"Humber and North Yorkshire Cancer Alliance",1697332,1617445,34272,11315,21034,13266,95.293378078066,2.01916890743826,0.666634459257234,1.23923899390337,0.781579561335084
"Kent and Medway Cancer Alliance",1855737,1644729,86412,56742,44586,23268,88.6294232426254,4.6564788006059,3.0576531049389,2.40260338614793,1.25384146568183
"Lancashire & South Cumbria Cancer Alliance",1717533,1507302,160734,10585,26462,12450,87.7597111671217,9.35842280759671,0.616290924250073,1.54069819910302,0.724876901928522
"North Central London Cancer Alliance",1410350,807064,195614,185300,89162,133210,57.224376927713,13.8698904527245,13.1385826213351,6.32197681426596,9.44517318396143
"North East London Cancer Alliance",1998672,924496,601499,274974,99563,98140,46.255513661071,30.0949330355356,13.7578352025745,4.98145768790477,4.91026041291417
"Northern Cancer Alliance",2966476,2774980,101136,27286,35608,27466,93.5446637694018,3.40929776610362,0.919811924991134,1.20034680880614,0.925879730697299
"Peninsula Cancer Alliance",1787978,1719226,24077,6762,24769,13144,96.1547625306352,1.34660493585492,0.378192572839263,1.38530787291566,0.735132087754995
"Somerset, Wiltshire, Avon and Gloucestershire Cancer Alliance",2906319,2672191,90203,51500,67430,24995,91.9441740565987,3.10368545228518,1.77200094002069,2.3201169589436,0.860022592151791
"South East London Cancer Alliance",1791417,1078251,170253,349760,115812,77341,60.189838546804,9.50381736915526,19.5242090479213,6.46482644744356,4.31730858867589
"South Yorkshire Cancer Alliance",1492808,1319702,80586,34707,31842,25971,88.4040010503695,5.39828296740103,2.32494734754905,2.13302715419531,1.7397414804851
"Surrey and Sussex Cancer Alliance",3519571,3013845,276766,62718,106469,59773,85.6310328730405,7.86362883430964,1.7819785422712,3.02505617872178,1.69830357165689
"Thames Valley Cancer Alliance",2011642,1657226,201265,53901,66731,32519,82.3817557994912,10.0050108319472,2.67945290464208,3.31724034395782,1.6165401199617
"Wessex Cancer Alliance",2603813,2399223,95185,31533,53011,24861,92.1426769126662,3.65560045978724,1.21103166778874,2.03589889135664,0.954792068401225
"West London Cancer Alliance",3599371,1921443,850389,378320,201209,248010,53.3827438182949,23.6260446616923,10.5107253461785,5.5901156063101,6.89037056752416
"West Midlands Cancer Alliance",5950728,4585011,794181,269092,178229,124215,77.04958116049,13.3459469160748,4.52200134168458,2.99507892143617,2.0873916603145
"West Yorkshire and Harrogate Cancer Alliance",2402449,1850505,373656,72385,65465,40438,77.0257766137804,15.5531293276153,3.01296718473524,2.72492777161971,1.68319910224941
