"Cancer.Alliance","mortality_deaths","mortality_population","mortality_asr"
"Cheshire and Merseyside Cancer Alliance",6939,2503917.05161165,275.139904966502
"East Midlands Cancer Alliance",12694,4865520.3895481,262.473020772654
"East of England - North Cancer Alliance",8060,2899497.18536297,247.085383790808
"East of England - South Cancer Alliance",8167,3646518.99784228,241.775024882118
"Greater Manchester Cancer Alliance",6555,2848500.20105708,283.192928370994
"Humber and North Yorkshire Cancer Alliance",4995,1708714.65428964,266.711185256953
"Kent and Medway Cancer Alliance",4868,1868278.89546836,259.562504596537
"Lancashire & South Cumbria Cancer Alliance",4849,1701693.34864643,273.107666930335
"North Central London Cancer Alliance",2153,1526708.8595475,209.671937460411
"North East London Cancer Alliance",2788,2036151.70182157,235.901964079238
"Northern Cancer Alliance",8851,3000376.29299733,286.909311022951
"Peninsula Cancer Alliance",5444,1785510.76205455,249.995356405975
"Somerset, Wiltshire, Avon and Gloucestershire Cancer Alliance",7961,3103703.93482003,247.272764516175
"South East London Cancer Alliance",2963,1818330.61420002,244.894420651829
"South Yorkshire Cancer Alliance",3763,1414986.60002297,285.027102528051
"Surrey and Sussex Cancer Alliance",8848,3510814.40034734,239.965034374386
"Thames Valley Cancer Alliance",3808,1723410.69044803,231.742043541834
"Wessex Cancer Alliance",7219,2608243.52610775,246.026567644768
"West London Cancer Alliance",5577,3621736.13126686,211.689183113368
"West Midlands Cancer Alliance",15110,5962136.72743986,266.721928978328
"West Yorkshire and Harrogate Cancer Alliance",5622,2396586.26728475,268.385655418217
