"Cancer.Alliance","stage_1","stage_2","stage_3","stage_4","total_known_stage","pct_stage_3_4"
"Cheshire and Merseyside Cancer Alliance",3693,2357,2396,3209,11655,0.480909480909481
"East Midlands Cancer Alliance",5499,3139,3681,5461,17780,0.514173228346457
"Greater Manchester Cancer Alliance",3605,2087,2247,3193,11132,0.488681279195113
"Humber and North Yorkshire Cancer Alliance",2452,1460,1681,2391,7984,0.51002004008016
"Kent and Medway Cancer Alliance",2067,1323,1301,1859,6550,0.482442748091603
"Lancashire & South Cumbria Cancer Alliance",2148,1521,1680,2235,7584,0.51621835443038
"North Central London Cancer Alliance",827,603,392,695,2517,0.43186332936035
"North East London Cancer Alliance",1344,758,746,1090,3938,0.466226510919248
"Northern Cancer Alliance",4422,2605,2834,4348,14209,0.505454289534802
"Peninsula Cancer Alliance",2905,1811,1713,2448,8877,0.468739438999662
"Somerset, Wiltshire, Avon and Gloucestershire Cancer Alliance",4073,2440,2378,3388,12279,0.469582213535304
"South East London Cancer Alliance",1461,828,870,1247,4406,0.480481162051748
"South Yorkshire Cancer Alliance",1673,1045,1014,1566,5298,0.486976217440544
"Surrey and Sussex Cancer Alliance",4351,2884,2657,3478,13370,0.458863126402393
"Thames Valley Cancer Alliance",2293,1503,1354,1850,7000,0.457714285714286
"Wessex Cancer Alliance",3918,2729,2592,3311,12550,0.470358565737052
"West London Cancer Alliance",2628,1589,1615,2144,7976,0.471288866599799
"West Midlands Cancer Alliance",7222,4821,4694,6764,23501,0.48755372111825
"West Yorkshire and Harrogate Cancer Alliance",3099,1716,2004,2630,9449,0.490422266906551
"East of England - North Cancer Alliance",4599,2629,2767,3785,13780,0.475471698113208
"East of England - South Cancer Alliance",4351,2831,2629,3802,13613,0.47241607287152
