"tx.mn","tx.sd","ct.mn","ct.sd","std.eff.sz","stat","p","ks","ks.pval"
"imd_pop_weighted_avg",24.177,4.171,24.415,4.634,-0.057,-0.123,0.903,0.252,0.66
"imd_q1_pct",0.251,0.102,0.252,0.109,-0.008,-0.018,0.986,0.267,0.66
"imd_q2_pct",0.215,0.061,0.232,0.091,-0.282,-0.474,0.641,0.252,0.66
"imd_q3_pct",0.197,0.051,0.194,0.036,0.051,0.13,0.898,0.25,0.98
"imd_q4_pct",0.178,0.035,0.181,0.048,-0.082,-0.155,0.879,0.25,0.98
"imd_q5_pct",0.159,0.039,0.141,0.085,0.473,0.774,0.448,0.64,0.019
"NumProviderOrgs",8.625,4.207,5.158,1.682,0.824,2.328,0.031,0.653,0.019
"NumStaff",50966.25,17911.531,32217.027,8206.122,1.047,2.899,0.009,0.653,0.019
"Pop",3205981.628,1427122.486,2085685.931,651758.605,0.785,2.183,0.042,0.591,0.087
"Pop0to49perc",0.621,0.044,0.638,0.062,-0.374,-0.683,0.503,0.29,0.66
"Pop50to64perc",0.193,0.013,0.187,0.02,0.492,0.805,0.431,0.322,0.66
"Pop65to74perc",0.1,0.017,0.095,0.022,0.322,0.628,0.538,0.311,0.66
"Pop75to84perc",0.061,0.011,0.058,0.015,0.325,0.615,0.546,0.415,0.283
"Pop85plusperc",0.024,0.004,0.023,0.006,0.265,0.535,0.599,0.373,0.66
"PopFemalePerc",0.506,0.003,0.504,0.006,0.878,1.105,0.283,0.326,0.66
"PopMalePerc",0.494,0.003,0.496,0.006,-0.877,-1.105,0.283,0.326,0.66
"CancerPrevPer100k",3965.875,408.699,3774.552,692.23,0.468,0.768,0.452,0.401,0.283
"CancerReferralsPrevPer100k",2265.738,275.791,2212.102,293.514,0.194,0.419,0.68,0.288,0.66
"PercentageAbsent_Month_TMinus1",0.063,0.018,0.066,0.02,-0.134,-0.267,0.792,0.372,0.66
"PercentageAbsent_Month_TMinus2",0.063,0.018,0.066,0.019,-0.136,-0.277,0.785,0.243,0.98
"PercentageAbsent_Month_TMinus3",0.069,0.019,0.07,0.021,-0.054,-0.105,0.917,0.25,0.98
"PercentageAbsent_Month_TMinus4",0.055,0.015,0.054,0.015,0.036,0.074,0.942,0.252,0.66
"PercentageAbsent_Month_TMinus5",0.05,0.013,0.05,0.013,-0.061,-0.127,0.901,0.252,0.66
"PercentageAbsent_Month_TMinus6",0.049,0.013,0.05,0.013,-0.042,-0.086,0.932,0.377,0.283
"DiagnosticDelayRate_Month_TMinus1",0.309,0.029,0.305,0.046,0.118,0.194,0.848,0.259,0.66
"DiagnosticDelayRate_Month_TMinus2",0.298,0.025,0.319,0.065,-0.832,-0.899,0.38,0.482,0.283
"DiagnosticDelayRate_Month_TMinus3",0.286,0.026,0.297,0.065,-0.436,-0.47,0.644,0.357,0.66
"DiagnosticDelayRate_Month_TMinus4",0.284,0.042,0.308,0.066,-0.577,-0.909,0.375,0.416,0.283
"DiagnosticDelayRate_Month_TMinus5",0.26,0.033,0.282,0.066,-0.651,-0.874,0.393,0.318,0.66
"DiagnosticDelayRate_Month_TMinus6",0.292,0.046,0.289,0.058,0.053,0.101,0.921,0.307,0.66
