"tx.mn","tx.sd","ct.mn","ct.sd","std.eff.sz","stat","p","ks","ks.pval"
"pct_nonwhite",-82.151,11.415,-82.59,14.073,0.038,0.086,0.932,0.198,0.967
"pct_white",83.151,11.415,83.59,14.073,-0.038,-0.086,0.932,0.198,0.967
"pct_asian",7.438,4.384,8.427,7.334,-0.226,-0.427,0.674,0.207,0.967
"pct_black",4.76,6.135,3.246,4.008,0.247,0.665,0.514,0.341,0.448
"pct_mixed",2.844,1.576,2.711,1.433,0.084,0.208,0.838,0.306,0.595
"pct_other",1.808,1.13,2.026,2.304,-0.193,-0.333,0.743,0.376,0.324
"NumProviderOrgs",8.625,4.207,5.741,2.007,0.686,1.887,0.075,0.529,0.091
"NumStaff",50966.25,17911.531,34090.767,9870.18,0.942,2.537,0.02,0.583,0.056
"Pop",3205981.628,1427122.486,2353228.305,811743.357,0.598,1.601,0.126,0.498,0.15
"Pop0to49perc",0.621,0.044,0.613,0.053,0.191,0.424,0.677,0.291,0.743
"Pop50to64perc",0.193,0.013,0.195,0.016,-0.134,-0.291,0.774,0.209,0.897
"Pop65to74perc",0.1,0.017,0.103,0.019,-0.139,-0.313,0.758,0.252,0.743
"Pop75to84perc",0.061,0.011,0.064,0.013,-0.216,-0.484,0.634,0.427,0.214
"Pop85plusperc",0.024,0.004,0.026,0.005,-0.461,-0.996,0.332,0.341,0.448
"PopFemalePerc",0.506,0.003,0.505,0.005,0.17,0.332,0.743,0.324,0.595
"PopMalePerc",0.494,0.003,0.495,0.005,-0.171,-0.333,0.743,0.324,0.595
"CancerPrevPer100k",3965.875,408.699,4116.448,606.319,-0.368,-0.734,0.472,0.419,0.214
"CancerReferralsPrevPer100k",2265.738,275.791,2198.215,301.151,0.245,0.546,0.592,0.255,0.743
"PercentageAbsent_Month_TMinus1",0.063,0.018,0.061,0.016,0.121,0.292,0.774,0.216,0.897
"PercentageAbsent_Month_TMinus2",0.063,0.018,0.062,0.016,0.091,0.217,0.831,0.216,0.897
"PercentageAbsent_Month_TMinus3",0.069,0.019,0.065,0.018,0.202,0.476,0.64,0.216,0.897
"PercentageAbsent_Month_TMinus4",0.055,0.015,0.051,0.013,0.271,0.664,0.515,0.309,0.595
"PercentageAbsent_Month_TMinus5",0.05,0.013,0.047,0.011,0.203,0.5,0.623,0.284,0.743
"PercentageAbsent_Month_TMinus6",0.049,0.013,0.047,0.011,0.195,0.482,0.636,0.216,0.897
"DiagnosticDelayRate_Month_TMinus1",0.309,0.029,0.299,0.044,0.338,0.618,0.544,0.231,0.897
"DiagnosticDelayRate_Month_TMinus2",0.298,0.025,0.297,0.056,0.064,0.092,0.928,0.339,0.448
"DiagnosticDelayRate_Month_TMinus3",0.286,0.026,0.282,0.054,0.166,0.248,0.807,0.345,0.448
"DiagnosticDelayRate_Month_TMinus4",0.284,0.042,0.289,0.054,-0.133,-0.275,0.786,0.312,0.595
"DiagnosticDelayRate_Month_TMinus5",0.26,0.033,0.273,0.058,-0.365,-0.61,0.549,0.224,0.897
"DiagnosticDelayRate_Month_TMinus6",0.292,0.046,0.272,0.058,0.416,0.862,0.4,0.401,0.324
