"tx.mn","tx.sd","ct.mn","ct.sd","std.eff.sz","stat","p","ks","ks.pval"
"mortality_asr",265.747,15.462,267.619,17.724,-0.121,-0.23,0.821,0.249,0.963
"NumProviderOrgs",8.625,4.207,5.11,1.348,0.836,2.411,0.026,0.67,0.079
"NumStaff",50966.25,17911.531,31277.8,7242.443,1.099,3.069,0.006,0.67,0.079
"Pop",3205981.628,1427122.486,1981454.32,627683.324,0.858,2.352,0.03,0.689,0.042
"Pop0to49perc",0.621,0.044,0.61,0.039,0.264,0.633,0.534,0.259,0.916
"Pop50to64perc",0.193,0.013,0.196,0.013,-0.268,-0.612,0.548,0.218,0.988
"Pop65to74perc",0.1,0.017,0.104,0.014,-0.24,-0.588,0.563,0.259,0.916
"Pop75to84perc",0.061,0.011,0.064,0.009,-0.284,-0.706,0.489,0.333,0.769
"Pop85plusperc",0.024,0.004,0.025,0.004,-0.243,-0.572,0.574,0.24,0.963
"PopFemalePerc",0.506,0.003,0.505,0.003,0.173,0.396,0.697,0.262,0.916
"PopMalePerc",0.494,0.003,0.495,0.003,-0.172,-0.395,0.697,0.262,0.916
"CancerPrevPer100k",3965.875,408.699,4057.627,448.952,-0.224,-0.487,0.632,0.273,0.916
"CancerReferralsPrevPer100k",2265.738,275.791,2174.412,198.71,0.331,0.852,0.405,0.393,0.586
"PercentageAbsent_Month_TMinus1",0.063,0.018,0.074,0.015,-0.566,-1.294,0.211,0.547,0.235
"PercentageAbsent_Month_TMinus2",0.063,0.018,0.073,0.014,-0.559,-1.297,0.21,0.376,0.586
"PercentageAbsent_Month_TMinus3",0.069,0.019,0.079,0.016,-0.543,-1.215,0.239,0.422,0.5
"PercentageAbsent_Month_TMinus4",0.055,0.015,0.06,0.011,-0.367,-0.917,0.37,0.374,0.684
"PercentageAbsent_Month_TMinus5",0.05,0.013,0.056,0.01,-0.465,-1.127,0.274,0.374,0.684
"PercentageAbsent_Month_TMinus6",0.049,0.013,0.055,0.01,-0.461,-1.127,0.274,0.499,0.316
"DiagnosticDelayRate_Month_TMinus1",0.309,0.029,0.3,0.038,0.288,0.549,0.589,0.339,0.769
"DiagnosticDelayRate_Month_TMinus2",0.298,0.025,0.308,0.045,-0.385,-0.652,0.522,0.455,0.4
"DiagnosticDelayRate_Month_TMinus3",0.286,0.026,0.297,0.05,-0.441,-0.597,0.558,0.476,0.316
"DiagnosticDelayRate_Month_TMinus4",0.284,0.042,0.305,0.051,-0.513,-0.962,0.348,0.452,0.4
"DiagnosticDelayRate_Month_TMinus5",0.26,0.033,0.278,0.055,-0.541,-0.859,0.401,0.381,0.586
"DiagnosticDelayRate_Month_TMinus6",0.292,0.046,0.285,0.049,0.148,0.292,0.774,0.244,0.963
