"tx.mn","tx.sd","ct.mn","ct.sd","std.eff.sz","stat","p","ks","ks.pval"
"pct_stage_3_4",0.489,0.013,0.495,0.022,-0.443,-0.66,0.517,0.4,0.586
"NumProviderOrgs",8.625,4.207,5.092,1.587,0.84,2.371,0.028,0.644,0.079
"NumStaff",50966.25,17911.531,31563.636,8390.877,1.083,2.978,0.008,0.671,0.079
"Pop",3205981.628,1427122.486,2074957.104,682683.366,0.793,2.174,0.043,0.677,0.042
"Pop0to49perc",0.621,0.044,0.604,0.046,0.402,0.897,0.381,0.478,0.316
"Pop50to64perc",0.193,0.013,0.199,0.015,-0.454,-0.93,0.364,0.437,0.4
"Pop65to74perc",0.1,0.017,0.107,0.017,-0.372,-0.855,0.403,0.478,0.316
"Pop75to84perc",0.061,0.011,0.065,0.011,-0.369,-0.859,0.401,0.542,0.235
"Pop85plusperc",0.024,0.004,0.026,0.004,-0.365,-0.873,0.393,0.316,0.769
"PopFemalePerc",0.506,0.003,0.505,0.004,0.191,0.451,0.657,0.434,0.4
"PopMalePerc",0.494,0.003,0.495,0.004,-0.191,-0.452,0.656,0.434,0.4
"CancerPrevPer100k",3965.875,408.699,4132.095,492.497,-0.407,-0.895,0.382,0.441,0.4
"CancerReferralsPrevPer100k",2265.738,275.791,2172.724,204.682,0.337,0.854,0.404,0.329,0.769
"PercentageAbsent_Month_TMinus1",0.063,0.018,0.068,0.014,-0.259,-0.658,0.518,0.493,0.316
"PercentageAbsent_Month_TMinus2",0.063,0.018,0.068,0.015,-0.281,-0.687,0.501,0.243,0.963
"PercentageAbsent_Month_TMinus3",0.069,0.019,0.073,0.016,-0.253,-0.631,0.536,0.368,0.684
"PercentageAbsent_Month_TMinus4",0.055,0.015,0.058,0.013,-0.237,-0.532,0.601,0.228,0.963
"PercentageAbsent_Month_TMinus5",0.05,0.013,0.053,0.01,-0.247,-0.616,0.545,0.33,0.769
"PercentageAbsent_Month_TMinus6",0.049,0.013,0.053,0.01,-0.265,-0.652,0.522,0.353,0.684
"DiagnosticDelayRate_Month_TMinus1",0.309,0.029,0.316,0.038,-0.258,-0.486,0.632,0.52,0.235
"DiagnosticDelayRate_Month_TMinus2",0.298,0.025,0.314,0.045,-0.647,-1.176,0.254,0.51,0.235
"DiagnosticDelayRate_Month_TMinus3",0.286,0.026,0.298,0.045,-0.464,-0.83,0.417,0.527,0.235
"DiagnosticDelayRate_Month_TMinus4",0.284,0.042,0.305,0.046,-0.51,-1.173,0.255,0.51,0.235
"DiagnosticDelayRate_Month_TMinus5",0.26,0.033,0.284,0.062,-0.7,-0.862,0.4,0.307,0.769
"DiagnosticDelayRate_Month_TMinus6",0.292,0.046,0.278,0.049,0.288,0.597,0.557,0.318,0.769
