"28-DAY FASTER DIAGNOSIS: BY ROUTE & BY SUSPECTED CANCER OR BREAST SYMPTOMATIC",,,"As the recording of suspected cancer type from a NATIONAL SCREENING PROGRAMME is not mandated, where the REFERRAL ROUTE = NATIONAL SCREENING PROGRAMME and SUSPECTED CANCER OR BREAST SYMPTOMATIC has not been provided or is not recorded as Suspected breast, gynaecological or lower gastrointestinal cancer, the value of 'Missing or invalid' is provided",,,,,,,,,,,
"Sep-21",,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND 'UNKNOWNS'",,,,,,,,,,,,,,
"DEFINITIONS:  DCB0147 Amd 16/2019",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,"NUMBER OF PEOPLE TOLD CANCER DIAGNOSIS OUTCOME",,,"PERCENTAGE",,"NUMBER OF PEOPLE TOLD CANCER DIAGNOSIS OUTCOME",,,,
,"ODS CODE (1)","ACCOUNTABLE PROVIDER","REFERRAL ROUTE","SUSPECTED CANCER OR BREAST SYMPTOMATIC","TOTAL","WITHIN 28 DAYS","AFTER 28 DAYS","TOLD WITHIN 28 DAYS"," ","WITHIN 14 DAYS","IN 15 TO 28 DAYS","IN 29 TO 42 DAYS","IN 43 TO 62 DAYS","AFTER 62 DAYS"
,"RCF","AIREDALE NHS FOUNDATION TRUST","BREAST SYMPTOMATIC, CANCER NOT SUSPECTED","Exhibited (non-cancer) breast symptoms - cancer not initially suspected","97","97","0","1",,"85","12","0","0","0"
,"RCF","AIREDALE NHS FOUNDATION TRUST","NATIONAL SCREENING PROGRAMME","Missing or Invalid","24","8","16","0.333333333333333",,"1","7","9","5","2"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected acute leukaemia","1","1","0","1",,"1","0","0","0","0"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected breast cancer","101","100","1","0.99009900990099",,"85","15","1","0","0"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected children's cancer","1","1","0","1",,"1","0","0","0","0"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected gynaecological cancer","71","37","34","0.52112676056338",,"24","13","24","7","3"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected haematological malignancies (excluding acute leukaemia)","4","1","3","0.25",,"1","0","3","0","0"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected head & neck cancer","14","11","3","0.785714285714286",,"11","0","1","1","1"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected lower gastrointestinal cancer","143","81","62","0.566433566433566",,"43","38","34","21","7"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected lung cancer","18","15","3","0.833333333333333",,"9","6","0","3","0"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected other cancer","2","1","1","0.5",,"1","0","1","0","0"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected sarcoma","1","0","1","0",,"0","0","0","1","0"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected testicular cancer","7","4","3","0.571428571428571",,"4","0","3","0","0"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected upper gastrointestinal cancer","78","50","28","0.641025641025641",,"30","20","10","11","7"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected urological malignancies (excluding testicular)","50","35","15","0.7",,"17","18","8","4","3"
,"RBS","ALDER HEY CHILDREN'S NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected children's cancer","14","13","1","0.928571428571429",,"13","0","0","0","1"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","BREAST SYMPTOMATIC, CANCER NOT SUSPECTED","Exhibited (non-cancer) breast symptoms - cancer not initially suspected","166","139","27","0.837349397590361",,"115","24","19","8","0"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","NATIONAL SCREENING PROGRAMME","Missing or Invalid","24","16","8","0.666666666666667",,"3","13","6","2","0"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected brain/central nervous system tumours","9","7","2","0.777777777777778",,"6","1","1","0","1"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected breast cancer","264","236","28","0.893939393939394",,"187","49","20","4","4"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected children's cancer","2","1","1","0.5",,"0","1","1","0","0"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected gynaecological cancer","81","63","18","0.777777777777778",,"43","20","15","2","1"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected haematological malignancies (excluding acute leukaemia)","13","4","9","0.307692307692308",,"3","1","4","2","3"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected head & neck cancer","118","74","44","0.627118644067797",,"66","8","16","20","8"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected lower gastrointestinal cancer","280","182","98","0.65",,"103","79","37","35","26"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected lung cancer","33","24","9","0.727272727272727",,"13","11","3","3","3"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected skin cancer","488","455","33","0.932377049180328",,"395","60","9","19","5"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected testicular cancer","7","4","3","0.571428571428571",,"1","3","1","2","0"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected upper gastrointestinal cancer","71","33","38","0.464788732394366",,"19","14","15","15","8"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected urological malignancies (excluding testicular)","107","67","40","0.626168224299065",,"15","52","19","11","10"
,"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","BREAST SYMPTOMATIC, CANCER NOT SUSPECTED","Exhibited (non-cancer) breast symptoms - cancer not initially suspected","82","77","5","0.939024390243902",,"65","12","3","2","0"
,"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","NATIONAL SCREENING PROGRAMME","Missing or Invalid","88","67","21","0.761363636363636",,"25","42","9","6","6"
,"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","NATIONAL SCREENING PROGRAMME","Suspected breast cancer","3","1","2","0.333333333333333",,"0","1","0","0","2"
,"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","URGENT SUSPECTED CANCER","Suspected brain/central nervous system tumours","9","8","1","0.888888888888889",,"7","1","0","0","1"
,"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","URGENT SUSPECTED CANCER","Suspected breast cancer","472","441","31","0.934322033898305",,"344","97","15","6","10"
,"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","URGENT SUSPECTED CANCER","Suspected children's cancer","5","5","0","1",,"5","0","0","0","0"
,"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","URGENT SUSPECTED CANCER","Suspected gynaecological cancer","168","92","76","0.547619047619048",,"67","25","27","23","26"
,"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","URGENT SUSPECTED CANCER","Suspected haematological malignancies (excluding acute leukaemia)","19","13","6","0.684210526315789",,"9","4","2","3","1"
,"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","URGENT SUSPECTED CANCER","Suspected head & neck cancer","203","109","94","0.536945812807882",,"95","14","31","40","23"
,"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","URGENT SUSPECTED CANCER","Suspected lower gastrointestinal cancer","268","107","161","0.399253731343284",,"25","82","12","18","131"
,"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","URGENT SUSPECTED CANCER","Suspected lung cancer","59","51","8","0.864406779661017",,"40","11","4","0","4"
,"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","URGENT SUSPECTED CANCER","Suspected skin cancer","474","454","20","0.957805907172996",,"432","22","12","3","5"
,"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","URGENT SUSPECTED CANCER","Suspected testicular cancer","2","2","0","1",,"1","1","0","0","0"
,"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","URGENT SUSPECTED CANCER","Suspected upper gastrointestinal cancer","86","41","45","0.476744186046512",,"11","30","7","8","30"
,"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","URGENT SUSPECTED CANCER","Suspected urological malignancies (excluding testicular)","185","71","114","0.383783783783784",,"50","21","27","41","46"
,"RFF","BARNSLEY HOSPITAL NHS FOUNDATION TRUST","BREAST SYMPTOMATIC, CANCER NOT SUSPECTED","Exhibited (non-cancer) breast symptoms - cancer not initially suspected","77","76","1","0.987012987012987",,"68","8","1","0","0"
,"RFF","BARNSLEY HOSPITAL NHS FOUNDATION TRUST","NATIONAL SCREENING PROGRAMME","Suspected breast cancer","55","46","9","0.836363636363636",,"27","19","6","2","1"
