"28-DAY FASTER DIAGNOSIS: BY ROUTE & BY SUSPECTED CANCER OR BREAST SYMPTOMATIC",,,"As the recording of suspected cancer type from a NATIONAL SCREENING PROGRAMME is not mandated, where the REFERRAL ROUTE = NATIONAL SCREENING PROGRAMME and SUSPECTED CANCER OR BREAST SYMPTOMATIC has not been provided or is not recorded as Suspected breast, gynaecological or lower gastrointestinal cancer, the value of 'Missing or invalid' is provided",,,,,,,,,,,
"Oct-22",,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND 'UNKNOWNS'",,,,,,,,,,,,,,
"DEFINITIONS:  DCB0147 Amd 16/2019",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,"NUMBER OF PEOPLE TOLD CANCER DIAGNOSIS OUTCOME",,,"PERCENTAGE",,"NUMBER OF PEOPLE TOLD CANCER DIAGNOSIS OUTCOME",,,,
,"ODS CODE (1)","ACCOUNTABLE PROVIDER","REFERRAL ROUTE","SUSPECTED CANCER OR BREAST SYMPTOMATIC","TOTAL","WITHIN 28 DAYS","AFTER 28 DAYS","TOLD WITHIN 28 DAYS"," ","WITHIN 14 DAYS","IN 15 TO 28 DAYS","IN 29 TO 42 DAYS","IN 43 TO 62 DAYS","AFTER 62 DAYS"
,"RCF","AIREDALE NHS FOUNDATION TRUST","BREAST SYMPTOMATIC, CANCER NOT SUSPECTED","Exhibited (non-cancer) breast symptoms - cancer not initially suspected","77","77","0","1",,"76","1","0","0","0"
,"RCF","AIREDALE NHS FOUNDATION TRUST","NATIONAL SCREENING PROGRAMME","Missing or Invalid","12","6","6","0.5",,"2","4","3","3","0"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected breast cancer","115","113","2","0.982608695652174",,"106","7","1","1","0"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected gynaecological cancer","72","51","21","0.708333333333333",,"30","21","7","11","3"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected haematological malignancies (excluding acute leukaemia)","2","2","0","1",,"1","1","0","0","0"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected head & neck cancer","10","10","0","1",,"9","1","0","0","0"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected lower gastrointestinal cancer","154","89","65","0.577922077922078",,"59","30","22","25","18"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected lung cancer","24","14","10","0.583333333333333",,"9","5","5","4","1"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected other cancer","1","0","1","0",,"0","0","1","0","0"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected testicular cancer","1","0","1","0",,"0","0","0","1","0"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected upper gastrointestinal cancer","76","53","23","0.697368421052632",,"31","22","10","8","5"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected urological malignancies (excluding testicular)","82","51","31","0.621951219512195",,"23","28","16","15","0"
,"RBS","ALDER HEY CHILDREN'S NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected children's cancer","24","24","0","1",,"18","6","0","0","0"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","BREAST SYMPTOMATIC, CANCER NOT SUSPECTED","Exhibited (non-cancer) breast symptoms - cancer not initially suspected","141","93","48","0.659574468085106",,"77","16","6","21","21"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","NATIONAL SCREENING PROGRAMME","Suspected breast cancer","1","1","0","1",,"0","1","0","0","0"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","NATIONAL SCREENING PROGRAMME","Suspected gynaecological cancer","13","8","5","0.615384615384615",,"2","6","5","0","0"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","NATIONAL SCREENING PROGRAMME","Suspected lower gastrointestinal cancer","1","1","0","1",,"0","1","0","0","0"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected brain/central nervous system tumours","11","11","0","1",,"11","0","0","0","0"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected breast cancer","221","185","36","0.83710407239819",,"164","21","9","21","6"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected children's cancer","9","6","3","0.666666666666667",,"6","0","1","1","1"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected gynaecological cancer","189","99","90","0.523809523809524",,"63","36","41","38","11"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected haematological malignancies (excluding acute leukaemia)","6","2","4","0.333333333333333",,"0","2","2","1","1"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected head & neck cancer","131","98","33","0.748091603053435",,"77","21","17","11","5"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected lower gastrointestinal cancer","440","305","135","0.693181818181818",,"140","165","62","40","33"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected lung cancer","37","30","7","0.810810810810811",,"20","10","3","1","3"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected skin cancer","378","182","196","0.481481481481481",,"143","39","160","25","11"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected testicular cancer","6","5","1","0.833333333333333",,"3","2","1","0","0"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected upper gastrointestinal cancer","113","70","43","0.619469026548673",,"16","54","17","18","8"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected urological malignancies (excluding testicular)","137","113","24","0.824817518248175",,"67","46","17","5","2"
,"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","BREAST SYMPTOMATIC, CANCER NOT SUSPECTED","Exhibited (non-cancer) breast symptoms - cancer not initially suspected","72","70","2","0.972222222222222",,"69","1","0","1","1"
,"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","NATIONAL SCREENING PROGRAMME","Suspected breast cancer","3","1","2","0.333333333333333",,"0","1","0","2","0"
