"28-DAY FASTER DIAGNOSIS: BY ROUTE & BY SUSPECTED CANCER OR BREAST SYMPTOMATIC",,,"As the recording of suspected cancer type from a NATIONAL SCREENING PROGRAMME is not mandated, where the REFERRAL ROUTE = NATIONAL SCREENING PROGRAMME and SUSPECTED CANCER OR BREAST SYMPTOMATIC has not been provided or is not recorded as Suspected breast, gynaecological or lower gastrointestinal cancer, the value of 'Missing or invalid' is provided",,,,,,,,,,,
"Apr-23",,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND 'UNKNOWNS'",,,,,,,,,,,,,,
"DEFINITIONS:  DCB0147 Amd 16/2019",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,"NUMBER OF PEOPLE TOLD CANCER DIAGNOSIS OUTCOME",,,"PERCENTAGE",,"NUMBER OF PEOPLE TOLD CANCER DIAGNOSIS OUTCOME",,,,
,"ODS CODE (1)","ACCOUNTABLE PROVIDER","REFERRAL ROUTE","SUSPECTED CANCER OR BREAST SYMPTOMATIC","TOTAL","WITHIN 28 DAYS","AFTER 28 DAYS","TOLD WITHIN 28 DAYS"," ","WITHIN 14 DAYS","IN 15 TO 28 DAYS","IN 29 TO 42 DAYS","IN 43 TO 62 DAYS","AFTER 62 DAYS"
,"RCF","AIREDALE NHS FOUNDATION TRUST","BREAST SYMPTOMATIC, CANCER NOT SUSPECTED","Exhibited (non-cancer) breast symptoms - cancer not initially suspected","56","54","2","0.964285714285714",,"18","36","2","0","0"
,"RCF","AIREDALE NHS FOUNDATION TRUST","NATIONAL SCREENING PROGRAMME","Missing or Invalid","10","7","3","0.7",,"2","5","1","1","1"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected breast cancer","87","78","9","0.896551724137931",,"10","68","7","1","1"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected gynaecological cancer","97","73","24","0.752577319587629",,"41","32","10","10","4"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected haematological malignancies (excluding acute leukaemia)","13","8","5","0.615384615384615",,"6","2","1","3","1"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected head & neck cancer","22","19","3","0.863636363636364",,"16","3","2","1","0"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected lower gastrointestinal cancer","122","75","47","0.614754098360656",,"30","45","26","17","4"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected lung cancer","20","19","1","0.95",,"11","8","1","0","0"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected other cancer","2","1","1","0.5",,"0","1","1","0","0"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected skin cancer","1","0","1","0",,"0","0","1","0","0"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected testicular cancer","6","5","1","0.833333333333333",,"2","3","1","0","0"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected upper gastrointestinal cancer","79","55","24","0.69620253164557",,"25","30","14","8","2"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected urological malignancies (excluding testicular)","107","51","56","0.476635514018692",,"16","35","33","15","8"
,"RBS","ALDER HEY CHILDREN'S NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected children's cancer","14","14","0","1",,"12","2","0","0","0"
