"FOUR WEEK (28 DAYS) WAIT FROM URGENT REFERRAL TO PATIENT TOLD THEY HAVE CANCER, OR CANCER IS DEFINITIVELY EXCLUDED: BY ROUTE AND BY SUSPECTED CANCER OR BREAST SYMPTOMATIC",,,,,,,,,,,,,,
"Apr-24",,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND 'UNKNOWNS'",,,,,,,,,,,,,,
"DEFINITIONS:  DCB0147 Amd 16/2019",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,"NUMBER OF PEOPLE TOLD CANCER DIAGNOSIS OUTCOME",,,"PERCENTAGE",,"NUMBER OF PEOPLE TOLD CANCER DIAGNOSIS OUTCOME",,,,
,"ODS CODE (1)","ACCOUNTABLE PROVIDER","REFERRAL ROUTE","SUSPECTED CANCER OR BREAST SYMPTOMATIC (2)","TOTAL","WITHIN 28 DAYS","AFTER 28 DAYS","TOLD WITHIN 28 DAYS"," ","WITHIN 14 DAYS","IN 15 TO 28 DAYS","IN 29 TO 42 DAYS","IN 43 TO 62 DAYS","AFTER 62 DAYS"
,"RCF","AIREDALE NHS FOUNDATION TRUST","BREAST SYMPTOMATIC, CANCER NOT SUSPECTED","Exhibited (non-cancer) breast symptoms - cancer not initially suspected","84","83","1","0.988095238095238","","67","16","1","0","0"
,"RCF","AIREDALE NHS FOUNDATION TRUST","NATIONAL SCREENING PROGRAMME","Suspected gynaecological cancer","3","3","0","1","","2","1","0","0","0"
,"RCF","AIREDALE NHS FOUNDATION TRUST","NATIONAL SCREENING PROGRAMME","Suspected lower gastrointestinal cancer","1","0","1","0","","0","0","1","0","0"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected acute leukaemia","2","1","1","0.5","","0","1","0","1","0"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected breast cancer","167","166","1","0.994011976047904","","119","47","0","1","0"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected cancer - non-specific symptoms","21","14","7","0.666666666666667","","2","12","6","1","0"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected gynaecological cancer","95","73","22","0.768421052631579","","48","25","12","8","2"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected haematological malignancies (excluding acute leukaemia)","14","7","7","0.5","","5","2","4","1","2"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected head & neck cancer","23","20","3","0.869565217391304","","15","5","3","0","0"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected lower gastrointestinal cancer","163","130","33","0.797546012269939","","65","65","20","10","3"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected lung cancer","21","17","4","0.80952380952381","","6","11","2","2","0"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected other cancer","2","2","0","1","","0","2","0","0","0"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected testicular cancer","3","3","0","1","","1","2","0","0","0"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected upper gastrointestinal cancer","81","67","14","0.827160493827161","","43","24","9","3","2"
,"RCF","AIREDALE NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected urological malignancies (excluding testicular)","92","68","24","0.739130434782609","","24","44","12","6","6"
,"RBS","ALDER HEY CHILDREN'S NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected children's cancer","14","14","0","1","","9","5","0","0","0"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","BREAST SYMPTOMATIC, CANCER NOT SUSPECTED","Exhibited (non-cancer) breast symptoms - cancer not initially suspected","166","134","32","0.807228915662651","","34","100","21","9","2"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","NATIONAL SCREENING PROGRAMME","Suspected lower gastrointestinal cancer","8","3","5","0.375","","0","3","4","1","0"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected brain/central nervous system tumours","9","8","1","0.888888888888889","","4","4","1","0","0"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected breast cancer","252","215","37","0.853174603174603","","94","121","26","8","3"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected cancer - non-specific symptoms","6","4","2","0.666666666666667","","1","3","1","0","1"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected children's cancer","14","13","1","0.928571428571429","","12","1","0","1","0"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected gynaecological cancer","169","114","55","0.674556213017751","","71","43","34","13","8"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected haematological malignancies (excluding acute leukaemia)","7","4","3","0.571428571428571","","2","2","2","1","0"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected head & neck cancer","144","112","32","0.777777777777778","","100","12","21","6","5"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected lower gastrointestinal cancer","295","250","45","0.847457627118644","","163","87","20","13","12"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected lung cancer","27","16","11","0.592592592592593","","9","7","8","2","1"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected other cancer","2","0","2","0","","0","0","1","0","1"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected skin cancer","511","471","40","0.921722113502935","","303","168","23","12","5"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected testicular cancer","5","4","1","0.8","","4","0","0","1","0"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected upper gastrointestinal cancer","112","59","53","0.526785714285714","","13","46","29","13","11"
,"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected urological malignancies (excluding testicular)","172","108","64","0.627906976744186","","49","59","41","15","8"
,"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","BREAST SYMPTOMATIC, CANCER NOT SUSPECTED","Exhibited (non-cancer) breast symptoms - cancer not initially suspected","118","118","0","1","","109","9","0","0","0"
,"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","NATIONAL SCREENING PROGRAMME","Suspected breast cancer","2","2","0","1","","1","1","0","0","0"
,"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","NATIONAL SCREENING PROGRAMME","Suspected gynaecological cancer","11","11","0","1","","11","0","0","0","0"
,"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","NATIONAL SCREENING PROGRAMME","Suspected lower gastrointestinal cancer","74","60","14","0.810810810810811","","17","43","9","5","0"
,"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","URGENT SUSPECTED CANCER","Suspected brain/central nervous system tumours","7","7","0","1","","3","4","0","0","0"
,"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","URGENT SUSPECTED CANCER","Suspected breast cancer","513","496","17","0.966861598440546","","442","54","9","2","6"
,"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","URGENT SUSPECTED CANCER","Suspected cancer - non-specific symptoms","61","28","33","0.459016393442623","","0","28","21","9","3"
,"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","URGENT SUSPECTED CANCER","Suspected children's cancer","18","16","2","0.888888888888889","","10","6","2","0","0"
,"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","URGENT SUSPECTED CANCER","Suspected gynaecological cancer","192","119","73","0.619791666666667","","101","18","16","36","21"
,"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","URGENT SUSPECTED CANCER","Suspected haematological malignancies (excluding acute leukaemia)","16","15","1","0.9375","","13","2","0","0","1"
,"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","URGENT SUSPECTED CANCER","Suspected head & neck cancer","269","213","56","0.79182156133829","","167","46","39","11","6"
,"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","URGENT SUSPECTED CANCER","Suspected lower gastrointestinal cancer","259","91","168","0.351351351351351","","27","64","106","44","18"
,"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","URGENT SUSPECTED CANCER","Suspected lung cancer","94","82","12","0.872340425531915","","58","24","6","5","1"
,"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","URGENT SUSPECTED CANCER","Suspected skin cancer","579","450","129","0.77720207253886","","335","115","87","28","14"
,"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","URGENT SUSPECTED CANCER","Suspected testicular cancer","5","5","0","1","","5","0","0","0","0"
,"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","URGENT SUSPECTED CANCER","Suspected upper gastrointestinal cancer","102","65","37","0.637254901960784","","16","49","13","11","13"
,"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","URGENT SUSPECTED CANCER","Suspected urological malignancies (excluding testicular)","242","173","69","0.714876033057851","","79","94","14","35","20"
,"RFF","BARNSLEY HOSPITAL NHS FOUNDATION TRUST","BREAST SYMPTOMATIC, CANCER NOT SUSPECTED","Exhibited (non-cancer) breast symptoms - cancer not initially suspected","91","88","3","0.967032967032967","","73","15","3","0","0"
,"RFF","BARNSLEY HOSPITAL NHS FOUNDATION TRUST","NATIONAL SCREENING PROGRAMME","Suspected breast cancer","33","30","3","0.909090909090909","","13","17","1","2","0"
