"FOUR WEEK (28 DAYS) WAIT FROM URGENT REFERRAL TO PATIENT TOLD THEY HAVE CANCER, OR CANCER IS DEFINITIVELY EXCLUDED: BY ROUTE AND BY SUSPECTED CANCER OR BREAST SYMPTOMATIC",,,,,,,,,,,,,,
24-Jul,,,,,,,,,,,,,,
BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND 'UNKNOWNS',,,,,,,,,,,,,,
DEFINITIONS:  DCB0147 Amd 16/2019,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE TOLD CANCER DIAGNOSIS OUTCOME,,,PERCENTAGE,,NUMBER OF PEOPLE TOLD CANCER DIAGNOSIS OUTCOME,,,,
,ODS CODE (1),ACCOUNTABLE PROVIDER,REFERRAL ROUTE,SUSPECTED CANCER OR BREAST SYMPTOMATIC (2),TOTAL,WITHIN 28 DAYS,AFTER 28 DAYS,TOLD WITHIN 28 DAYS, ,WITHIN 14 DAYS,IN 15 TO 28 DAYS,IN 29 TO 42 DAYS,IN 43 TO 62 DAYS,AFTER 62 DAYS
,RCF,AIREDALE NHS FOUNDATION TRUST,"BREAST SYMPTOMATIC, CANCER NOT SUSPECTED",Exhibited (non-cancer) breast symptoms - cancer not initially suspected,68,68,0,1,,62,6,0,0,0
,RCF,AIREDALE NHS FOUNDATION TRUST,NATIONAL SCREENING PROGRAMME,Suspected gynaecological cancer,4,2,2,0.5,,1,1,2,0,0
,RCF,AIREDALE NHS FOUNDATION TRUST,NATIONAL SCREENING PROGRAMME,Suspected lower gastrointestinal cancer,3,2,1,0.666666667,,0,2,0,0,1
,RCF,AIREDALE NHS FOUNDATION TRUST,URGENT SUSPECTED CANCER,Suspected breast cancer,127,122,5,0.960629921,,109,13,3,1,1
,RCF,AIREDALE NHS FOUNDATION TRUST,URGENT SUSPECTED CANCER,Suspected cancer - non-specific symptoms,32,23,9,0.71875,,7,16,6,0,3
,RCF,AIREDALE NHS FOUNDATION TRUST,URGENT SUSPECTED CANCER,Suspected gynaecological cancer,100,69,31,0.69,,46,23,22,7,2
,RCF,AIREDALE NHS FOUNDATION TRUST,URGENT SUSPECTED CANCER,Suspected haematological malignancies (excluding acute leukaemia),8,8,0,1,,8,0,0,0,0
,RCF,AIREDALE NHS FOUNDATION TRUST,URGENT SUSPECTED CANCER,Suspected head & neck cancer,17,16,1,0.941176471,,14,2,1,0,0
,RCF,AIREDALE NHS FOUNDATION TRUST,URGENT SUSPECTED CANCER,Suspected lower gastrointestinal cancer,120,88,32,0.733333333,,61,27,14,13,5
,RCF,AIREDALE NHS FOUNDATION TRUST,URGENT SUSPECTED CANCER,Suspected lung cancer,19,18,1,0.947368421,,11,7,0,1,0
,RCF,AIREDALE NHS FOUNDATION TRUST,URGENT SUSPECTED CANCER,Suspected other cancer,2,1,1,0.5,,1,0,0,1,0
,RCF,AIREDALE NHS FOUNDATION TRUST,URGENT SUSPECTED CANCER,Suspected testicular cancer,7,7,0,1,,4,3,0,0,0
,RCF,AIREDALE NHS FOUNDATION TRUST,URGENT SUSPECTED CANCER,Suspected upper gastrointestinal cancer,58,52,6,0.896551724,,41,11,4,2,0
