"Geography Type","Geography Name","Year","Site","Stage 1","Stage 2","Stage 3","Stage 4","Staged - other early","Staged - other advanced","Unstageable","Missing stage","Percentage completeness"
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2013,"Anus",1,4,5,0,0,0,0,6,62.5
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2013,"Bladder",69,50,10,15,0,0,161,41,41.6
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2013,"Bowel",94,153,139,137,0,0,2,113,82
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2013,"Breast",343,300,68,17,0,0,0,147,83.2
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2013,"Cervix",11,6,0,2,0,0,0,17,52.8
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2013,"Head and neck",17,12,14,54,0,0,3,45,66.9
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2013,"Kidney",23,10,11,26,0,0,1,61,53
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2013,"Lung",63,29,90,191,0,0,3,96,79
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2013,"Oesophagus",10,22,22,34,0,0,0,41,68.2
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2013,"Other",61,62,63,115,13,1,533,323,26.9
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2013,"Ovary",25,5,30,11,0,0,4,30,67.6
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2013,"Pancreas",1,15,7,53,0,0,0,74,50.7
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2013,"Prostate",262,164,152,118,0,0,1,77,89.9
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2013,"Renal pelvis and ureter",5,2,2,4,0,0,14,13,32.5
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2013,"Skin cancer",165,49,20,9,0,0,5,50,81.5
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2013,"Testes",17,4,0,0,0,0,1,9,67.7
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2013,"Uterus",84,10,14,8,0,0,0,22,84.1
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2014,"Anus",1,4,12,3,0,0,1,6,74.1
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2014,"Bladder",88,45,11,16,0,0,162,26,46
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2014,"Bowel",96,144,160,117,0,0,1,87,85.5
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2014,"Breast",286,280,77,28,0,0,2,76,89.6
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2014,"Cervix",24,0,1,4,0,0,0,10,74.4
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2014,"Head and neck",36,13,15,58,0,0,4,25,80.8
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2014,"Kidney",56,11,22,21,0,0,0,40,73.3
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2014,"Lung",76,40,110,263,0,0,1,52,90.2
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2014,"Oesophagus",16,14,33,35,0,0,0,31,76
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2014,"Other",62,36,82,120,12,3,449,345,28.4
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2014,"Ovary",27,7,37,14,0,0,7,20,75.9
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2014,"Pancreas",9,11,6,50,0,0,0,48,61.3
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2014,"Prostate",320,153,159,111,0,0,0,39,95
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2014,"Renal pelvis and ureter",6,1,7,4,0,0,9,11,47.4
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2014,"Skin cancer",159,53,13,5,0,0,11,20,88.1
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2014,"Testes",21,1,0,2,0,0,0,9,72.7
"Integrated Care Board","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2014,"Uterus",87,8,17,8,0,0,0,15,88.9
