"ExcludedRegion","Months0-5","Months6-11","Months12-17","Months18-23","Months24-29","Months30-35"
"Full sample","3.42 (1.89-4.95, p<.001)","4.75 (1.85-7.66, p=.003)","2.74 (-0.05-5.53, p=.05)","1.29 (-2.18-4.76, p=.45)","1.20 (-3.24-5.64, p=.58)","0.53 (-3.53-4.58, p=.79)"
"Cheshire and Merseyside Cancer Alliance","3.29 (1.72-4.86, p<.001)","4.77 (1.71-7.84, p=.004)","2.75 (-0.09-5.60, p=.06)","1.66 (-2.05-5.37, p=.36)","1.73 (-3.17-6.63, p=.47)","0.88 (-3.40-5.16, p=.67)"
"East Midlands Cancer Alliance","3.77 (2.33-5.22, p<.001)","5.25 (1.91-8.59, p=.004)","3.05 (-0.09-6.18, p=.06)","1.00 (-2.42-4.43, p=.55)","0.96 (-3.80-5.73, p=.68)","0.39 (-3.66-4.43, p=.84)"
"East of England - North Cancer Alliance","3.30 (1.74-4.87, p<.001)","4.69 (1.60-7.77, p=.005)","3.02 (0.13-5.91, p=.04)","1.38 (-2.43-5.18, p=.46)","1.22 (-3.80-6.24, p=.62)","0.70 (-3.71-5.10, p=.74)"
"Greater Manchester Cancer Alliance","3.55 (1.96-5.15, p<.001)","4.26 (1.62-6.91, p=.003)","2.67 (-0.08-5.42, p=.06)","1.21 (-2.26-4.67, p=.47)","1.37 (-3.21-5.95, p=.54)","1.34 (-2.64-5.31, p=.49)"
"Kent and Medway Cancer Alliance","3.28 (1.74-4.82, p<.001)","4.73 (1.77-7.69, p=.003)","2.37 (-0.29-5.03, p=.08)","0.59 (-2.59-3.77, p=.70)","0.43 (-3.88-4.74, p=.84)","-0.02 (-4.16-4.12, p=.99)"
"Northern Cancer Alliance","3.48 (1.89-5.07, p<.001)","4.71 (1.63-7.78, p=.005)","2.68 (-0.18-5.55, p=.06)","1.54 (-2.15-5.23, p=.39)","1.40 (-3.48-6.28, p=.56)","0.37 (-3.92-4.66, p=.86)"
"South East London Cancer Alliance","3.56 (2.03-5.09, p<.001)","4.48 (1.64-7.32, p=.004)","2.54 (-0.24-5.32, p=.07)","0.92 (-2.60-4.44, p=.59)","0.13 (-3.76-4.02, p=.94)","-0.38 (-4.17-3.41, p=.84)"
"West Midlands Cancer Alliance","3.32 (1.66-4.98, p<.001)","5.43 (2.55-8.31, p<.001)","3.09 (0.14-6.03, p=.04)","1.99 (-1.83-5.81, p=.29)","2.50 (-2.17-7.18, p=.28)","1.13 (-3.30-5.56, p=.60)"
"East of England - South Cancer Alliance","3.66 (2.10-5.23, p<.001)","5.47 (2.80-8.15, p<.001)","3.45 (0.90-6.01, p=.01)","1.98 (-1.36-5.32, p=.23)","1.57 (-2.96-6.10, p=.48)","0.74 (-3.49-4.97, p=.72)"
"Humber and North Yorkshire Cancer Alliance","3.39 (1.77-5.01, p<.001)","4.58 (1.61-7.55, p=.004)","2.39 (-0.43-5.20, p=.09)","0.74 (-2.66-4.13, p=.66)","0.63 (-3.77-5.03, p=.77)","0.01 (-4.11-4.13, p=1.00)"
"Lancashire & South Cumbria Cancer Alliance","3.56 (1.97-5.15, p<.001)","4.91 (1.85-7.97, p=.003)","2.81 (-0.14-5.77, p=.06)","1.30 (-2.33-4.93, p=.46)","1.18 (-3.37-5.73, p=.59)","0.46 (-3.75-4.66, p=.82)"
"North Central London Cancer Alliance","3.32 (1.71-4.92, p<.001)","4.58 (1.60-7.57, p=.005)","2.52 (-0.34-5.38, p=.08)","1.07 (-2.47-4.60, p=.54)","1.11 (-3.43-5.66, p=.61)","0.67 (-3.52-4.86, p=.74)"
"North East London Cancer Alliance","2.97 (1.74-4.19, p<.001)","4.10 (1.49-6.71, p=.004)","2.31 (-0.44-5.06, p=.09)","1.04 (-2.50-4.58, p=.55)","0.73 (-3.67-5.13, p=.73)","0.17 (-4.00-4.35, p=.93)"
"Peninsula Cancer Alliance","3.46 (1.86-5.06, p<.001)","5.09 (2.03-8.15, p=.003)","3.20 (0.31-6.08, p=.03)","1.97 (-1.46-5.39, p=.24)","1.70 (-2.80-6.21, p=.44)","1.01 (-3.08-5.09, p=.61)"
"Somerset, Wiltshire, Avon and Gloucestershire Cancer Alliance","3.32 (1.66-4.99, p<.001)","4.68 (1.56-7.81, p=.005)","2.53 (-0.49-5.55, p=.10)","1.23 (-2.46-4.91, p=.50)","1.27 (-3.34-5.88, p=.57)","0.51 (-3.83-4.84, p=.81)"
"South Yorkshire Cancer Alliance","3.39 (1.81-4.97, p<.001)","4.59 (1.61-7.56, p=.004)","2.56 (-0.32-5.43, p=.08)","1.22 (-2.42-4.86, p=.49)","1.24 (-3.37-5.86, p=.58)","0.50 (-3.72-4.71, p=.81)"
