"ExcludedRegion","Months0-5","Months6-11","Months12-17","Months18-23","Months24-29","Months30-35"
"Full sample","23.84 (0.85-46.84, p=.04)","15.59 (-2.13-33.32, p=.08)","13.39 (-12.97-39.76, p=.30)","17.39 (-14.95-49.73, p=.28)","19.27 (-20.55-59.09, p=.32)","17.45 (-31.44-66.33, p=.47)"
"Cheshire and Merseyside Cancer Alliance","23.41 (-1.47-48.28, p=.06)","15.85 (-2.97-34.67, p=.09)","12.00 (-15.99-39.98, p=.38)","15.92 (-19.10-50.94, p=.35)","17.19 (-25.99-60.37, p=.42)","16.71 (-36.74-70.16, p=.52)"
"East Midlands Cancer Alliance","27.04 (4.66-49.42, p=.02)","17.84 (1.41-34.28, p=.03)","15.23 (-12.04-42.50, p=.26)","24.21 (-8.95-57.37, p=.14)","30.51 (-9.27-70.29, p=.12)","27.55 (-24.06-79.17, p=.28)"
"East of England - North Cancer Alliance","24.88 (0.41-49.36, p=.05)","14.23 (-4.01-32.48, p=.12)","10.20 (-16.61-37.01, p=.44)","13.37 (-21.20-47.93, p=.43)","11.87 (-27.60-51.34, p=.54)","9.18 (-38.82-57.19, p=.69)"
"Greater Manchester Cancer Alliance","14.47 (-2.05-30.99, p=.08)","14.03 (-6.67-34.72, p=.17)","9.19 (-17.74-36.12, p=.48)","10.76 (-19.11-40.62, p=.46)","8.76 (-24.63-42.15, p=.59)","1.60 (-35.58-38.78, p=.93)"
"Kent and Medway Cancer Alliance","24.16 (-1.07-49.40, p=.06)","13.87 (-3.99-31.74, p=.12)","11.31 (-15.83-38.44, p=.39)","15.89 (-18.53-50.30, p=.35)","15.80 (-25.78-57.38, p=.44)","14.93 (-36.05-65.92, p=.55)"
"Northern Cancer Alliance","26.41 (1.60-51.23, p=.04)","16.47 (-2.09-35.02, p=.08)","19.39 (-5.73-44.51, p=.12)","26.14 (-3.06-55.34, p=.08)","28.51 (-11.84-68.85, p=.16)","25.98 (-26.69-78.64, p=.31)"
"South East London Cancer Alliance","27.01 (2.89-51.14, p=.03)","16.27 (-2.07-34.61, p=.08)","14.10 (-13.52-41.73, p=.30)","17.63 (-17.06-52.32, p=.30)","19.40 (-23.47-62.28, p=.36)","17.31 (-34.45-69.07, p=.49)"
"West Midlands Cancer Alliance","21.20 (-6.26-48.65, p=.12)","13.71 (-6.19-33.62, p=.17)","13.69 (-17.68-45.07, p=.37)","16.77 (-23.90-57.44, p=.40)","24.13 (-25.58-73.84, p=.32)","27.86 (-29.16-84.88, p=.32)"
"East of England - South Cancer Alliance","23.17 (-0.52-46.85, p=.05)","13.80 (-5.44-33.04, p=.15)","11.13 (-17.11-39.38, p=.42)","15.71 (-18.17-49.59, p=.34)","18.94 (-22.43-60.30, p=.35)","13.79 (-36.97-64.55, p=.58)"
"Humber and North Yorkshire Cancer Alliance","24.17 (1.15-47.19, p=.04)","15.57 (-2.79-33.94, p=.09)","12.77 (-14.48-40.02, p=.34)","16.12 (-17.03-49.27, p=.32)","16.95 (-22.89-56.79, p=.38)","14.95 (-33.94-63.84, p=.53)"
"Lancashire & South Cumbria Cancer Alliance","26.59 (4.29-48.89, p=.02)","17.01 (-1.05-35.08, p=.06)","15.15 (-11.85-42.15, p=.25)","18.46 (-14.64-51.55, p=.26)","19.62 (-21.05-60.29, p=.33)","17.63 (-32.34-67.61, p=.47)"
"North Central London Cancer Alliance","24.39 (1.56-47.22, p=.04)","16.19 (-2.18-34.56, p=.08)","13.28 (-14.08-40.64, p=.32)","17.03 (-16.08-50.15, p=.30)","19.05 (-21.41-59.50, p=.34)","19.63 (-30.04-69.29, p=.42)"
"North East London Cancer Alliance","22.81 (-0.16-45.78, p=.05)","14.09 (-4.30-32.49, p=.13)","10.13 (-16.58-36.84, p=.44)","14.91 (-18.12-47.93, p=.36)","17.68 (-22.93-58.30, p=.37)","14.93 (-34.14-64.00, p=.53)"
"Peninsula Cancer Alliance","25.03 (0.29-49.76, p=.05)","20.71 (6.67-34.76, p=.006)","19.37 (-3.99-42.73, p=.10)","24.76 (-3.48-53.00, p=.08)","23.71 (-15.63-63.04, p=.22)","22.88 (-25.81-71.57, p=.34)"
