"ExcludedRegion","Months0-5","Months6-11","Months12-17","Months18-23","Months24-29","Months30-35"
"Full sample","3.73 (0.83-6.62, p=.01)","3.91 (0.18-7.65, p=.04)","1.54 (-2.35-5.43, p=.42)","1.51 (-2.86-5.88, p=.48)","1.25 (-3.08-5.58, p=.55)","-0.06 (-3.56-3.45, p=.97)"
"Cheshire and Merseyside Cancer Alliance","3.55 (0.57-6.53, p=.02)","3.82 (-0.04-7.67, p=.05)","1.00 (-2.83-4.83, p=.59)","1.02 (-3.43-5.46, p=.64)","0.82 (-3.63-5.28, p=.70)","-0.40 (-3.93-3.12, p=.81)"
"East Midlands Cancer Alliance","3.67 (0.69-6.65, p=.02)","3.90 (-0.04-7.84, p=.05)","1.47 (-2.68-5.62, p=.47)","1.20 (-3.28-5.68, p=.58)","1.05 (-3.35-5.45, p=.62)","-0.17 (-3.70-3.36, p=.92)"
"East of England - North Cancer Alliance","3.89 (0.94-6.85, p=.01)","4.03 (0.21-7.85, p=.04)","1.79 (-2.21-5.80, p=.36)","1.48 (-3.19-6.15, p=.52)","1.55 (-3.17-6.28, p=.50)","0.24 (-3.42-3.90, p=.89)"
"Greater Manchester Cancer Alliance","3.89 (0.89-6.90, p=.01)","4.02 (0.15-7.88, p=.04)","1.49 (-2.51-5.50, p=.45)","1.84 (-2.62-6.29, p=.40)","1.62 (-2.75-6.00, p=.45)","0.33 (-3.19-3.84, p=.85)"
"Kent and Medway Cancer Alliance","3.79 (0.79-6.79, p=.02)","4.10 (0.34-7.87, p=.03)","1.29 (-2.64-5.22, p=.50)","0.71 (-3.43-4.86, p=.72)","0.52 (-3.64-4.69, p=.80)","-0.43 (-4.00-3.13, p=.80)"
"Northern Cancer Alliance","4.03 (1.15-6.91, p=.009)","4.09 (0.29-7.90, p=.04)","1.92 (-1.99-5.83, p=.32)","1.93 (-2.57-6.42, p=.38)","1.43 (-3.17-6.03, p=.52)","-0.19 (-3.80-3.43, p=.92)"
"South East London Cancer Alliance","3.85 (0.89-6.81, p=.01)","4.08 (0.32-7.85, p=.04)","1.93 (-1.93-5.79, p=.31)","1.93 (-2.54-6.40, p=.38)","0.85 (-3.55-5.24, p=.69)","-0.23 (-3.84-3.39, p=.90)"
"West Midlands Cancer Alliance","3.18 (0.42-5.93, p=.03)","3.20 (-0.38-6.77, p=.08)","1.42 (-2.76-5.61, p=.49)","1.90 (-2.86-6.67, p=.41)","2.30 (-1.97-6.57, p=.27)","0.53 (-2.94-4.00, p=.75)"
"East of England - South Cancer Alliance","4.11 (1.06-7.17, p=.01)","4.38 (0.40-8.35, p=.03)","2.17 (-1.81-6.16, p=.27)","2.30 (-2.05-6.64, p=.28)","1.78 (-2.68-6.24, p=.41)","0.40 (-3.25-4.04, p=.82)"
