"ExcludedRegion","Months0-5","Months6-11","Months12-17","Months18-23","Months24-29","Months30-35"
"Full sample","0.03 (-5.07-5.13, p=.99)","0.20 (-5.90-6.30, p=.95)","-1.58 (-5.96-2.80, p=.46)","-0.54 (-6.18-5.09, p=.84)","-2.51 (-7.73-2.70, p=.33)","-1.01 (-5.84-3.81, p=.67)"
"Cheshire and Merseyside Cancer Alliance","-0.38 (-5.76-5.00, p=.88)","-0.42 (-6.81-5.98, p=.89)","-1.96 (-6.59-2.68, p=.39)","-0.98 (-7.21-5.25, p=.75)","-3.08 (-8.75-2.59, p=.27)","-1.76 (-6.69-3.16, p=.46)"
"East Midlands Cancer Alliance","-0.38 (-6.00-5.24, p=.89)","1.09 (-5.89-8.07, p=.75)","-1.42 (-6.77-3.93, p=.59)","-0.76 (-6.73-5.22, p=.79)","-2.18 (-7.86-3.49, p=.43)","-0.86 (-6.34-4.62, p=.75)"
"East of England - North Cancer Alliance","0.76 (-4.46-5.99, p=.76)","0.66 (-5.97-7.30, p=.84)","-1.34 (-6.19-3.52, p=.57)","-1.80 (-7.26-3.67, p=.50)","-3.19 (-8.98-2.59, p=.26)","-1.29 (-6.77-4.19, p=.63)"
"Greater Manchester Cancer Alliance","-0.91 (-5.78-3.96, p=.70)","-1.60 (-6.22-3.02, p=.48)","-2.92 (-6.16-0.32, p=.07)","-1.07 (-6.78-4.64, p=.70)","-2.86 (-8.10-2.39, p=.27)","-1.32 (-6.21-3.57, p=.58)"
"Kent and Medway Cancer Alliance","0.47 (-4.72-5.66, p=.85)","0.46 (-5.89-6.82, p=.88)","-1.48 (-6.06-3.10, p=.51)","-0.44 (-6.58-5.70, p=.88)","-2.47 (-8.15-3.22, p=.38)","-1.32 (-6.43-3.79, p=.59)"
"Northern Cancer Alliance","0.81 (-4.33-5.95, p=.74)","0.64 (-5.96-7.24, p=.84)","-0.94 (-5.57-3.70, p=.68)","-0.17 (-6.41-6.06, p=.95)","-2.33 (-8.17-3.52, p=.41)","-0.80 (-6.19-4.58, p=.76)"
"South East London Cancer Alliance","-0.31 (-5.59-4.97, p=.90)","-0.11 (-6.45-6.24, p=.97)","-1.99 (-6.48-2.50, p=.36)","-1.06 (-7.09-4.96, p=.72)","-3.59 (-8.57-1.39, p=.15)","-1.70 (-6.64-3.23, p=.48)"
"West Midlands Cancer Alliance","0.27 (-5.43-5.98, p=.92)","1.00 (-6.06-8.06, p=.77)","-0.53 (-5.41-4.35, p=.82)","1.92 (-1.95-5.80, p=.31)","-0.21 (-3.93-3.52, p=.91)","1.20 (-1.92-4.31, p=.43)"
"East of England - South Cancer Alliance","1.61 (-2.44-5.67, p=.42)","1.95 (-3.09-6.99, p=.43)","-0.94 (-5.32-3.43, p=.66)","-0.27 (-6.08-5.53, p=.92)","-1.81 (-6.92-3.29, p=.47)","-0.61 (-5.43-4.21, p=.79)"
"Humber and North Yorkshire Cancer Alliance","-0.13 (-5.39-5.13, p=.96)","0.13 (-6.12-6.38, p=.97)","-1.46 (-5.95-3.03, p=.50)","-0.60 (-6.38-5.17, p=.83)","-2.51 (-7.86-2.85, p=.34)","-1.06 (-6.02-3.90, p=.66)"
"Lancashire & South Cumbria Cancer Alliance","0.24 (-5.07-5.56, p=.92)","0.36 (-5.97-6.68, p=.91)","-1.22 (-5.65-3.21, p=.57)","-0.54 (-6.29-5.22, p=.85)","-2.47 (-7.75-2.82, p=.34)","-0.90 (-5.80-4.00, p=.70)"
"North Central London Cancer Alliance","0.08 (-5.28-5.45, p=.97)","0.03 (-6.29-6.35, p=.99)","-1.97 (-6.36-2.43, p=.36)","-0.67 (-6.39-5.05, p=.81)","-2.68 (-7.98-2.63, p=.30)","-1.25 (-6.13-3.63, p=.60)"
"North East London Cancer Alliance","-0.40 (-5.60-4.80, p=.87)","-0.03 (-6.29-6.23, p=.99)","-1.60 (-6.10-2.90, p=.47)","-0.77 (-6.47-4.93, p=.78)","-2.77 (-8.02-2.49, p=.28)","-1.07 (-6.06-3.91, p=.66)"
"Peninsula Cancer Alliance","0.32 (-5.03-5.67, p=.90)","0.28 (-6.14-6.71, p=.93)","-1.26 (-5.83-3.30, p=.57)","0.22 (-5.43-5.87, p=.94)","-2.36 (-7.72-3.01, p=.37)","-0.97 (-5.95-4.00, p=.69)"
"Somerset, Wiltshire, Avon and Gloucestershire Cancer Alliance","-0.52 (-5.84-4.80, p=.84)","0.28 (-6.13-6.70, p=.93)","-1.28 (-5.79-3.23, p=.56)","-0.15 (-5.85-5.54, p=.96)","-2.42 (-7.72-2.87, p=.35)","-1.12 (-6.05-3.81, p=.64)"
"South Yorkshire Cancer Alliance","-0.30 (-5.52-4.92, p=.91)","0.02 (-6.24-6.29, p=.99)","-1.76 (-6.24-2.73, p=.42)","-0.69 (-6.50-5.13, p=.81)","-2.29 (-7.68-3.10, p=.38)","-1.08 (-6.11-3.95, p=.66)"
"Surrey and Sussex Cancer Alliance","0.21 (-5.31-5.72, p=.94)","-0.48 (-6.69-5.73, p=.87)","-1.90 (-6.36-2.57, p=.38)","-0.74 (-6.49-5.01, p=.79)","-3.01 (-8.18-2.17, p=.24)","-1.43 (-6.28-3.42, p=.54)"
"Thames Valley Cancer Alliance","-0.15 (-5.42-5.12, p=.95)","0.03 (-6.19-6.26, p=.99)","-1.84 (-6.23-2.55, p=.39)","-0.81 (-6.51-4.88, p=.77)","-2.64 (-7.91-2.62, p=.31)","-0.86 (-5.71-3.99, p=.71)"
"Wessex Cancer Alliance","0.01 (-5.40-5.42, p=1.00)","0.17 (-6.19-6.53, p=.96)","-1.47 (-5.97-3.03, p=.50)","-0.17 (-5.87-5.54, p=.95)","-2.30 (-7.60-2.99, p=.37)","-0.36 (-5.03-4.31, p=.87)"
"West London Cancer Alliance","-0.58 (-5.88-4.72, p=.82)","-0.07 (-6.50-6.36, p=.98)","-1.94 (-6.39-2.51, p=.37)","-0.92 (-6.60-4.77, p=.74)","-2.66 (-8.05-2.72, p=.31)","-1.19 (-6.16-3.78, p=.62)"
"West Yorkshire and Harrogate Cancer Alliance","-0.01 (-5.41-5.39, p=1.00)","0.08 (-6.29-6.44, p=.98)","-1.74 (-6.25-2.76, p=.43)","-0.65 (-6.45-5.14, p=.82)","-2.52 (-7.87-2.83, p=.34)","-1.18 (-6.14-3.77, p=.62)"
