"ExcludedRegion","Months0-5","Months6-11","Months12-17","Months18-23","Months24-29","Months30-35"
"Full sample","33.31 (-4.13-70.75, p=.08)","39.62 (-30.49-109.73, p=.25)","36.23 (-30.08-102.53, p=.27)","28.33 (-72.58-129.24, p=.56)","18.50 (-86.93-123.94, p=.72)","-0.65 (-109.82-108.52, p=.99)"
"Cheshire and Merseyside Cancer Alliance","30.41 (-9.54-70.36, p=.13)","35.76 (-37.23-108.75, p=.32)","33.37 (-36.57-103.30, p=.33)","14.48 (-88.03-116.98, p=.77)","11.89 (-99.94-123.73, p=.83)","-5.97 (-121.14-109.19, p=.91)"
"East Midlands Cancer Alliance","47.50 (21.02-73.97, p=.001)","49.09 (-21.90-120.08, p=.16)","51.15 (-11.26-113.56, p=.10)","36.67 (-65.45-138.78, p=.46)","33.03 (-71.61-137.66, p=.52)","14.67 (-96.86-126.19, p=.79)"
"East of England - North Cancer Alliance","36.62 (-3.10-76.35, p=.07)","35.98 (-38.24-110.20, p=.32)","29.06 (-40.94-99.06, p=.40)","21.93 (-87.16-131.01, p=.68)","-0.55 (-109.20-108.10, p=.99)","-26.20 (-129.54-77.14, p=.60)"
"Greater Manchester Cancer Alliance","32.00 (-10.00-74.00, p=.13)","47.56 (-22.36-117.47, p=.17)","27.74 (-39.49-94.98, p=.40)","25.77 (-77.76-129.29, p=.61)","17.42 (-90.50-125.34, p=.74)","-1.75 (-114.43-110.94, p=.97)"
"Kent and Medway Cancer Alliance","27.90 (-11.04-66.84, p=.15)","41.19 (-30.95-113.33, p=.25)","36.35 (-33.33-106.03, p=.29)","30.96 (-74.17-136.09, p=.54)","19.37 (-90.36-129.11, p=.72)","7.65 (-104.51-119.81, p=.89)"
"Northern Cancer Alliance","30.49 (-11.77-72.74, p=.15)","43.46 (-28.64-115.55, p=.22)","46.37 (-19.84-112.57, p=.16)","45.01 (-51.53-141.55, p=.34)","33.68 (-69.81-137.18, p=.50)","14.54 (-94.55-123.62, p=.78)"
"South East London Cancer Alliance","36.13 (-4.84-77.09, p=.08)","38.45 (-33.63-110.54, p=.28)","39.88 (-29.01-108.77, p=.24)","38.10 (-63.61-139.81, p=.44)","29.79 (-75.67-135.25, p=.56)","3.20 (-109.96-116.36, p=.95)"
"West Midlands Cancer Alliance","24.70 (-15.24-64.65, p=.21)","23.59 (-43.43-90.60, p=.47)","24.72 (-47.62-97.05, p=.48)","11.40 (-99.24-122.04, p=.83)","0.90 (-118.68-120.48, p=.99)","-12.65 (-139.18-113.87, p=.84)"
"East of England - South Cancer Alliance","36.14 (-1.74-74.01, p=.06)","42.14 (-34.64-118.91, p=.26)","44.98 (-22.97-112.92, p=.18)","34.63 (-74.15-143.40, p=.51)","28.71 (-83.32-140.74, p=.60)","6.88 (-110.02-123.77, p=.90)"
"Humber and North Yorkshire Cancer Alliance","30.70 (-6.09-67.48, p=.10)","33.39 (-38.86-105.63, p=.35)","32.23 (-36.19-100.65, p=.34)","16.44 (-87.02-119.91, p=.74)","6.46 (-101.97-114.89, p=.90)","-14.44 (-124.99-96.11, p=.79)"
"Lancashire & South Cumbria Cancer Alliance","34.31 (-3.72-72.34, p=.07)","41.84 (-31.53-115.21, p=.25)","37.50 (-31.23-106.22, p=.27)","29.81 (-75.53-135.15, p=.56)","19.72 (-89.87-129.31, p=.71)","2.80 (-110.64-116.23, p=.96)"
"North Central London Cancer Alliance","31.63 (-5.88-69.14, p=.09)","43.33 (-29.17-115.83, p=.23)","39.45 (-28.44-107.35, p=.24)","29.43 (-75.20-134.06, p=.56)","19.68 (-89.87-129.24, p=.71)","-0.19 (-113.47-113.09, p=1.00)"
"North East London Cancer Alliance","32.67 (-5.50-70.84, p=.09)","30.21 (-40.59-101.02, p=.38)","27.95 (-38.61-94.52, p=.39)","20.09 (-83.67-123.85, p=.69)","7.93 (-98.72-114.58, p=.88)","-10.17 (-122.50-102.16, p=.85)"
"Peninsula Cancer Alliance","30.71 (-7.65-69.08, p=.11)","48.89 (-22.02-119.81, p=.17)","46.07 (-19.95-112.08, p=.16)","45.68 (-53.05-144.42, p=.34)","34.98 (-68.00-137.96, p=.49)","14.01 (-94.35-122.37, p=.79)"
"Somerset, Wiltshire, Avon and Gloucestershire Cancer Alliance","32.08 (-6.48-70.65, p=.10)","20.29 (-39.70-80.28, p=.49)","23.05 (-40.13-86.23, p=.45)","5.36 (-86.47-97.18, p=.90)","2.70 (-101.54-106.94, p=.96)","-20.73 (-125.19-83.73, p=.68)"
"South Yorkshire Cancer Alliance","31.74 (-5.87-69.34, p=.09)","36.02 (-36.92-108.95, p=.31)","33.42 (-35.17-102.02, p=.32)","23.61 (-82.87-130.09, p=.65)","12.96 (-97.81-123.73, p=.81)","-5.09 (-119.57-109.39, p=.93)"
"Surrey and Sussex Cancer Alliance","35.96 (-2.31-74.22, p=.06)","52.74 (-17.17-122.65, p=.13)","45.27 (-22.45-112.99, p=.18)","51.25 (-44.44-146.94, p=.28)","42.92 (-56.22-142.05, p=.38)","21.77 (-84.29-127.84, p=.67)"
"Thames Valley Cancer Alliance","35.84 (-1.88-73.55, p=.06)","42.61 (-30.50-115.71, p=.24)","37.97 (-30.62-106.56, p=.26)","29.73 (-75.94-135.40, p=.56)","18.98 (-90.94-128.91, p=.72)","0.70 (-112.78-114.17, p=.99)"
"Wessex Cancer Alliance","36.45 (-1.34-74.24, p=.06)","43.86 (-30.73-118.46, p=.23)","37.63 (-32.45-107.72, p=.28)","28.68 (-78.96-136.33, p=.58)","13.95 (-97.00-124.91, p=.80)","-6.15 (-120.60-108.31, p=.91)"
"West London Cancer Alliance","32.69 (-5.79-71.18, p=.09)","39.08 (-38.05-116.22, p=.30)","32.65 (-38.05-103.35, p=.35)","30.60 (-79.28-140.48, p=.57)","22.88 (-91.51-137.27, p=.68)","10.57 (-105.32-126.45, p=.85)"
"West Yorkshire and Harrogate Cancer Alliance","32.05 (-5.85-69.96, p=.09)","40.92 (-34.06-115.91, p=.27)","33.11 (-36.51-102.72, p=.33)","23.56 (-84.04-131.16, p=.65)","9.64 (-100.45-119.72, p=.86)","-7.32 (-122.02-107.38, p=.90)"
