"CancerType","Pre-Trial Baseline","Months0-5","Months6-11","Months12-17","Months18-23","Months24-29","Months30-35"
"Primary high-detection group","51.3","3.85 (1.87-5.83), p<.001","4.00 (0.52-7.48), p=.03","2.40 (-1.38-6.18), p=.20","0.33 (-4.20-4.87), p=.88","-0.28 (-6.35-5.80), p=.93","-1.24 (-5.85-3.36), p=.58"
"   Head & neck","45.2","2.91 (0.37-5.46), p=.03","5.35 (1.99-8.72), p=.003","3.70 (-0.08-7.48), p=.05","2.66 (-2.29-7.62), p=.28","1.40 (-3.08-5.89), p=.52","-0.38 (-4.32-3.56), p=.84"
"   Lung","54.8","1.10 (-4.51-6.70), p=.69","3.40 (-2.52-9.33), p=.24","1.33 (-6.91-9.58), p=.74","-0.24 (-9.30-8.82), p=.96","-3.29 (-11.96-5.37), p=.44","-5.54 (-12.66-1.58), p=.12"
"   Upper gastrointestinal","56.8","5.13 (1.63-8.63), p=.006","3.00 (-1.41-7.41), p=.17","0.89 (-5.29-7.07), p=.77","-1.78 (-9.73-6.17), p=.65","-0.82 (-10.30-8.65), p=.86","-0.62 (-8.87-7.63), p=.88"
"Secondary expanded high-detection group","65.1","2.58 (0.67-4.50), p=.01","2.82 (0.00-5.64), p=.05","1.13 (-1.74-4.01), p=.42","0.01 (-3.25-3.27), p=1.00","-0.32 (-3.84-3.21), p=.85","-0.83 (-3.84-2.19), p=.57"
"   Gynaecological cancer","63.4","1.10 (-1.02-3.22), p=.29","0.85 (-3.67-5.37), p=.70","2.97 (-1.42-7.37), p=.17","0.17 (-5.34-5.68), p=.95","-1.27 (-6.29-3.75), p=.60","-1.23 (-7.18-4.73), p=.67"
"   Haematological malignancies (excluding acute leukaemia)","68.9","0.40 (-2.42-3.22), p=.77","-1.25 (-5.93-3.43), p=.58","-3.44 (-8.51-1.64), p=.17","-4.35 (-12.86-4.16), p=.30","-1.49 (-9.72-6.73), p=.71","-4.51 (-12.19-3.16), p=.23"
"   Lower gastrointestinal","79.5","2.38 (-0.40-5.16), p=.09","2.30 (-0.74-5.33), p=.13","0.61 (-3.54-4.75), p=.76","0.05 (-6.22-6.32), p=.99","1.51 (-4.87-7.89), p=.63","1.00 (-4.45-6.44), p=.71"
"   Urological malignancies (excluding testicular)","67.8","2.50 (-0.50-5.50), p=.10","1.44 (-2.63-5.52), p=.47","-2.98 (-7.42-1.46), p=.18","-1.57 (-5.84-2.69), p=.45","-2.60 (-7.04-1.85), p=.24","-2.07 (-6.92-2.78), p=.38"
"Secondary low-detection group","36.2","1.30 (-6.21-8.82), p=.72","-0.62 (-9.27-8.03), p=.88","0.48 (-7.18-8.14), p=.90","-3.44 (-12.31-5.42), p=.43","-3.85 (-12.38-4.68), p=.36","-4.91 (-13.31-3.49), p=.24"
"   Acute leukaemia","61.7","-1.88 (-18.84-15.07), p=.82","-16.21 (-46.23-13.81), p=.27","-0.87 (-32.57-30.83), p=.96","15.32 (-6.69-37.33), p=.16","7.86 (-11.35-27.07), p=.40","-1.35 (-28.15-25.45), p=.92"
"   Brain/central nervous system tumours","53.4","-0.37 (-7.34-6.59), p=.91","-4.76 (-19.92-10.39), p=.52","3.59 (-10.90-18.08), p=.61","-8.35 (-28.24-11.55), p=.39","-11.76 (-26.67-3.16), p=.12","-4.52 (-25.69-16.65), p=.66"
"   Breast","35.5","3.77 (-8.65-16.18), p=.53","0.31 (-14.73-15.36), p=.97","5.64 (-7.67-18.96), p=.39","2.48 (-9.30-14.26), p=.66","0.64 (-12.79-14.07), p=.92","-1.61 (-11.60-8.39), p=.74"
"   Sarcoma","51.2","-1.44 (-10.45-7.57), p=.74","4.85 (-6.25-15.95), p=.37","6.63 (-8.43-21.69), p=.37","3.85 (-10.70-18.40), p=.59","11.49 (-1.37-24.36), p=.08","13.24 (0.27-26.20), p=.05"
"   Skin","36.1","-2.42 (-9.97-5.13), p=.51","-2.76 (-10.69-5.18), p=.48","-4.73 (-13.95-4.48), p=.30","-9.22 (-20.12-1.68), p=.09","-8.96 (-19.95-2.03), p=.10","-9.29 (-21.28-2.70), p=.12"
"   Testicular","44.2","1.85 (-6.44-10.13), p=.65","-0.15 (-10.20-9.91), p=.98","1.01 (-9.59-11.61), p=.84","4.60 (-2.85-12.04), p=.21","1.71 (-7.97-11.39), p=.72","3.73 (-7.46-14.93), p=.49"
"   Other","54.2","4.83 (-5.40-15.06), p=.34","13.60 (2.51-24.68), p=.02","10.89 (-7.43-29.22), p=.23","7.08 (-10.75-24.91), p=.42","7.50 (-8.21-23.21), p=.33","15.34 (3.32-27.37), p=.01"
