"CancerType","Total No. of Referrals","Pre-Trial Baseline","Months0-5","Months6-11","Months12-17","Months18-23","Months24-29","Months30-35"
"Primary high-detection group","1,875,236","14.7","2.59 (1.31-3.87, p<.001)","3.77 (1.53-6.00, p=.002)","2.38 (0.05-4.72, p=.05)","1.79 (-1.01-4.60, p=.20)","1.45 (-1.91-4.81, p=.38)","1.09 (-2.06-4.25, p=.48)"
"   Head & neck","932,920","14.7","2.15 (-0.24-4.53, p=.08)","2.90 (0.16-5.64, p=.04)","1.99 (-0.70-4.68, p=.14)","2.21 (-0.48-4.90, p=.10)","1.39 (-2.03-4.81, p=.41)","1.17 (-1.71-4.05, p=.41)"
"   Lung","225,492","11.3","0.74 (-0.63-2.12, p=.27)","2.92 (0.75-5.09, p=.01)","1.71 (-1.20-4.62, p=.24)","1.63 (-1.64-4.90, p=.31)","0.59 (-3.03-4.22, p=.74)","-0.65 (-4.38-3.08, p=.72)"
"   Upper gastrointestinal","716,824","15.6","3.23 (0.48-5.99, p=.02)","5.07 (1.39-8.75, p=.009)","2.97 (-0.93-6.88, p=.13)","1.82 (-3.69-7.34, p=.50)","2.15 (-2.92-7.22, p=.39)","1.65 (-3.38-6.69, p=.50)"
"Secondary expanded high-detection group","5,532,510","20.7","3.05 (0.55-5.54, p=.02)","3.84 (0.51-7.18, p=.03)","1.67 (-1.67-5.01, p=.31)","1.78 (-1.80-5.36, p=.31)","1.32 (-2.35-4.99, p=.46)","0.38 (-2.79-3.54, p=.81)"
"   Gynaecological cancer","981,770","18.3","1.86 (-0.84-4.57, p=.17)","1.42 (-3.18-6.02, p=.53)","1.77 (-2.98-6.52, p=.45)","-0.06 (-5.34-5.21, p=.98)","-0.88 (-4.38-2.62, p=.61)","-1.09 (-4.60-2.42, p=.52)"
"   Haematological malignancies (excluding acute leukaemia)","72,186","24.2","-0.07 (-4.32-4.18, p=.97)","0.19 (-4.93-5.31, p=.94)","-2.96 (-8.44-2.52, p=.27)","-1.11 (-8.79-6.58, p=.77)","-1.20 (-11.31-8.92, p=.81)","-4.42 (-12.15-3.31, p=.25)"
"   Lower gastrointestinal","1,799,073","27.1","3.95 (-0.49-8.40, p=.08)","5.07 (-0.09-10.23, p=.05)","1.06 (-5.15-7.27, p=.72)","2.86 (-5.36-11.08, p=.48)","1.80 (-5.60-9.19, p=.62)","0.20 (-6.17-6.58, p=.95)"
"   Urological malignancies (excluding testicular)","804,245","23.7","3.44 (0.43-6.45, p=.03)","2.52 (-2.08-7.12, p=.27)","1.09 (-3.66-5.83, p=.64)","1.61 (-1.73-4.94, p=.33)","2.88 (-0.94-6.71, p=.13)","1.54 (-2.49-5.57, p=.43)"
"Secondary low-detection group","4,114,121","7.3","-0.85 (-3.46-1.76, p=.50)","-0.96 (-4.03-2.12, p=.52)","-0.94 (-4.07-2.20, p=.54)","0.14 (-2.97-3.24, p=.93)","-0.66 (-3.78-2.46, p=.67)","-1.17 (-3.96-1.61, p=.39)"
"   Acute leukaemia","1,130","14.9","-2.98 (-12.26-6.29, p=.51)","-9.47 (-17.03--1.91, p=.02)","7.04 (-8.80-22.88, p=.36)","12.56 (-3.56-28.68, p=.12)","18.72 (-0.49-37.93, p=.06)","16.82 (6.25-27.39, p=.004)"
"   Brain/central nervous system tumours","39,991","10.9","2.90 (-2.10-7.89, p=.24)","2.40 (-3.95-8.75, p=.44)","2.64 (-4.38-9.66, p=.44)","-1.43 (-8.41-5.56, p=.67)","-2.16 (-8.73-4.42, p=.50)","2.82 (-6.16-11.80, p=.52)"
"   Breast","1,860,514","3.4","-1.31 (-3.31-0.68, p=.18)","-1.33 (-3.45-0.80, p=.21)","-1.15 (-3.05-0.74, p=.22)","-0.77 (-2.47-0.93, p=.35)","-0.49 (-2.35-1.37, p=.59)","-0.83 (-2.29-0.63, p=.25)"
"   Sarcoma","51,156","13.4","-1.98 (-8.62-4.65, p=.54)","1.31 (-3.59-6.21, p=.58)","5.75 (-3.84-15.35, p=.23)","2.41 (-4.63-9.44, p=.48)","7.96 (0.56-15.35, p=.04)","7.03 (1.15-12.91, p=.02)"
"   Skin","2,110,484","11.0","-0.77 (-5.37-3.82, p=.73)","-1.51 (-6.31-3.30, p=.52)","-1.04 (-7.34-5.26, p=.73)","0.18 (-5.18-5.54, p=.94)","-1.16 (-6.62-4.29, p=.66)","-2.40 (-7.28-2.48, p=.32)"
"   Testicular","37,605","8.6","2.14 (-3.41-7.69, p=.43)","2.24 (-2.92-7.39, p=.38)","0.90 (-3.13-4.92, p=.65)","1.30 (-2.69-5.29, p=.50)","0.61 (-3.68-4.90, p=.77)","-0.23 (-4.09-3.64, p=.90)"
"   Other","13,241","14.7","8.06 (-8.51-24.62, p=.32)","5.76 (-10.94-22.47, p=.48)","3.64 (-15.51-22.79, p=.70)","11.72 (-4.38-27.83, p=.14)","6.75 (-13.41-26.92, p=.49)","1.43 (-8.65-11.52, p=.77)"
