"CancerType","Pre-Trial Baseline","Months0-5","Months6-11","Months12-17","Months18-23","Months24-29","Months30-35"
"Primary high-detection group","424.8","22.29 (-3.75-48.32, p=.09)","16.97 (-7.85-41.80, p=.17)","15.84 (-13.40-45.07, p=.27)","23.95 (-11.19-59.09, p=.17)","24.08 (-18.22-66.39, p=.25)","19.95 (-31.11-71.00, p=.42)"
"   Head & neck","190.8","13.45 (-0.22-27.12, p=.05)","14.54 (1.62-27.46, p=.03)","7.33 (-8.42-23.07, p=.34)","13.91 (-1.85-29.66, p=.08)","13.17 (-6.05-32.39, p=.17)","10.19 (-15.99-36.37, p=.43)"
"   Lung","47.0","-0.59 (-5.71-4.53, p=.81)","0.89 (-7.42-9.21, p=.83)","0.19 (-8.92-9.30, p=.97)","3.21 (-8.94-15.36, p=.59)","4.17 (-10.99-19.33, p=.57)","3.74 (-13.28-20.76, p=.65)"
"   Upper gastrointestinal","187.0","9.44 (-3.30-22.18, p=.14)","1.55 (-7.68-10.77, p=.73)","8.04 (-5.40-21.49, p=.23)","6.46 (-9.81-22.73, p=.42)","6.34 (-11.49-24.17, p=.47)","5.58 (-14.96-26.11, p=.58)"
"Secondary expanded high-detection group","1196.2","57.54 (-14.61-129.70, p=.11)","86.29 (5.68-166.89, p=.04)","48.66 (-57.73-155.06, p=.35)","84.94 (-37.16-207.03, p=.16)","73.05 (-44.14-190.23, p=.21)","55.98 (-67.40-179.36, p=.36)"
"   Gynaecological cancer","201.0","6.04 (-10.14-22.23, p=.45)","7.57 (-11.44-26.58, p=.42)","-0.79 (-18.45-16.88, p=.93)","14.65 (-8.53-37.84, p=.20)","16.84 (-5.86-39.54, p=.14)","13.25 (-8.37-34.88, p=.22)"
"   Haematological malignancies (excluding acute leukaemia)","17.2","2.77 (0.17-5.37, p=.04)","3.12 (0.44-5.80, p=.02)","2.16 (-1.51-5.83, p=.23)","3.13 (-1.11-7.38, p=.14)","2.37 (-1.21-5.95, p=.18)","2.54 (-1.28-6.36, p=.18)"
"   Lower gastrointestinal","396.0","19.07 (-19.76-57.91, p=.32)","48.01 (1.46-94.56, p=.04)","31.28 (-30.31-92.87, p=.30)","26.29 (-35.00-87.58, p=.38)","4.42 (-57.68-66.52, p=.88)","-2.31 (-60.50-55.88, p=.93)"
"   Urological malignancies (excluding testicular)","157.3","8.78 (-2.54-20.10, p=.12)","10.53 (-4.17-25.24, p=.15)","-0.08 (-18.75-18.58, p=.99)","16.49 (-9.18-42.16, p=.20)","24.89 (-5.34-55.11, p=.10)","22.10 (-9.12-53.31, p=.16)"
"Secondary low-detection group","901.0","29.49 (-10.81-69.79, p=.14)","29.88 (-40.77-100.54, p=.39)","34.03 (-28.48-96.55, p=.27)","29.18 (-65.67-124.03, p=.53)","20.89 (-77.58-119.37, p=.66)","2.97 (-103.64-109.58, p=.95)"
"   Acute leukaemia","0.4","0.14 (-0.15-0.42, p=.34)","-0.04 (-0.22-0.14, p=.68)","-0.09 (-0.31-0.14, p=.44)","-0.00 (-0.40-0.39, p=.99)","0.12 (-0.43-0.66, p=.67)","-0.07 (-0.44-0.30, p=.70)"
"   Brain/central nervous system tumours","7.5","0.53 (-0.47-1.53, p=.28)","1.01 (-0.58-2.61, p=.20)","1.24 (-1.43-3.91, p=.34)","-0.71 (-3.26-1.84, p=.57)","-0.34 (-4.13-3.44, p=.85)","-0.48 (-4.94-3.98, p=.83)"
"   Breast","436.9","4.65 (-22.53-31.82, p=.73)","15.03 (-19.14-49.21, p=.37)","22.06 (-12.82-56.94, p=.20)","12.25 (-23.87-48.38, p=.49)","24.14 (-19.24-67.51, p=.26)","5.61 (-32.12-43.35, p=.76)"
"   Sarcoma","7.4","-0.44 (-3.06-2.19, p=.73)","0.99 (-1.74-3.72, p=.46)","1.49 (-4.06-7.05, p=.58)","-0.42 (-8.10-7.26, p=.91)","-1.69 (-8.65-5.27, p=.62)","-1.55 (-8.61-5.52, p=.65)"
"   Skin","438.9","27.09 (-10.11-64.29, p=.14)","10.80 (-49.36-70.96, p=.71)","5.05 (-45.67-55.76, p=.84)","11.63 (-70.62-93.87, p=.77)","-9.09 (-98.68-80.50, p=.83)","-7.98 (-108.70-92.74, p=.87)"
"   Testicular","8.7","0.74 (-1.16-2.65, p=.43)","1.02 (-1.44-3.47, p=.40)","0.72 (-1.46-2.90, p=.50)","1.59 (-1.33-4.50, p=.27)","2.06 (0.04-4.07, p=.05)","2.25 (-0.58-5.09, p=.11)"
"   Other","1.9","2.02 (-0.40-4.43, p=.10)","4.46 (0.05-8.87, p=.05)","5.85 (-1.59-13.29, p=.12)","3.69 (-2.08-9.46, p=.20)","3.81 (-1.58-9.20, p=.16)","3.34 (-2.11-8.78, p=.22)"
