"CancerType","Total No. of Referrals","Pre-Trial Baseline","Months0-5","Months6-11","Months12-17","Months18-23","Months24-29","Months30-35"
"Primary high-detection group","1,875,236","22.1","1.70 (0.97-2.44, p<.001)","2.29 (0.86-3.71, p=.003)","1.36 (-0.06-2.78, p=.06)","0.75 (-0.96-2.47, p=.37)","0.51 (-1.80-2.82, p=.65)","0.12 (-1.81-2.05, p=.90)"
"   Head & neck","932,920","21.2","1.18 (0.04-2.32, p=.04)","2.02 (0.61-3.43, p=.007)","1.36 (-0.15-2.86, p=.07)","1.23 (-0.14-2.59, p=.08)","0.71 (-1.25-2.67, p=.46)","0.16 (-1.40-1.72, p=.83)"
"   Lung","225,492","21.2","0.71 (-0.55-1.97, p=.26)","2.04 (0.41-3.66, p=.02)","0.82 (-1.34-2.99, p=.44)","0.54 (-1.98-3.06, p=.66)","-0.36 (-3.21-2.48, p=.79)","-1.29 (-3.91-1.33, p=.32)"
"   Upper gastrointestinal","716,824","23.3","2.30 (0.68-3.93, p=.008)","2.75 (0.61-4.90, p=.01)","1.42 (-1.04-3.88, p=.24)","0.51 (-2.94-3.96, p=.76)","0.75 (-2.61-4.12, p=.65)","0.62 (-2.55-3.78, p=.69)"
"Secondary expanded high-detection group","5,532,510","27.1","1.71 (0.36-3.06, p=.02)","2.09 (0.23-3.96, p=.03)","0.91 (-0.95-2.77, p=.32)","0.80 (-1.18-2.77, p=.41)","0.52 (-1.52-2.56, p=.60)","-0.02 (-1.74-1.69, p=.98)"
"   Gynaecological cancer","981,770","25.7","0.95 (-0.38-2.28, p=.15)","0.81 (-1.72-3.34, p=.51)","1.30 (-1.36-3.95, p=.32)","0.31 (-2.68-3.30, p=.83)","-0.54 (-2.69-1.60, p=.60)","-0.67 (-3.03-1.70, p=.56)"
"   Haematological malignancies (excluding acute leukaemia)","72,186","29.3","0.28 (-1.90-2.45, p=.79)","-0.05 (-2.89-2.78, p=.97)","-1.69 (-4.76-1.38, p=.26)","-1.43 (-5.94-3.08, p=.52)","-0.66 (-5.91-4.58, p=.79)","-2.28 (-6.57-2.00, p=.28)"
"   Lower gastrointestinal","1,799,073","32.3","2.09 (-0.21-4.39, p=.07)","2.46 (-0.16-5.08, p=.06)","0.60 (-2.64-3.84, p=.70)","1.23 (-3.16-5.61, p=.57)","1.11 (-2.92-5.14, p=.57)","0.32 (-3.05-3.69, p=.85)"
"   Urological malignancies (excluding testicular)","804,245","28.6","1.84 (0.11-3.58, p=.04)","1.30 (-1.37-3.97, p=.32)","-0.03 (-2.84-2.78, p=.98)","0.43 (-1.69-2.55, p=.68)","0.74 (-1.54-3.02, p=.51)","0.19 (-2.30-2.68, p=.87)"
"Secondary low-detection group","4,114,121","16.1","0.04 (-2.19-2.26, p=.97)","-0.36 (-3.07-2.36, p=.79)","-0.32 (-2.61-1.97, p=.77)","-0.44 (-3.12-2.24, p=.73)","-1.00 (-3.51-1.51, p=.42)","-1.18 (-3.64-1.28, p=.33)"
"   Acute leukaemia","1,130","24.0","0.02 (-5.34-5.39, p=.99)","-2.74 (-10.09-4.61, p=.45)","5.72 (-4.62-16.07, p=.26)","10.93 (3.35-18.51, p=.007)","11.80 (4.52-19.09, p=.003)","8.42 (0.38-16.46, p=.04)"
"   Brain/central nervous system tumours","39,991","20.9","1.02 (-1.65-3.69, p=.44)","-0.02 (-4.29-4.25, p=.99)","1.50 (-3.59-6.59, p=.55)","-2.03 (-7.92-3.86, p=.48)","-3.23 (-8.02-1.56, p=.18)","0.26 (-6.78-7.30, p=.94)"
"   Breast","1,860,514","14.3","0.29 (-2.68-3.25, p=.84)","-0.51 (-4.17-3.15, p=.77)","0.39 (-2.59-3.37, p=.79)","0.25 (-2.47-2.97, p=.85)","-0.21 (-3.28-2.85, p=.89)","-0.57 (-2.71-1.56, p=.58)"
"   Sarcoma","51,156","21.5","-0.78 (-4.64-3.07, p=.68)","1.55 (-2.23-5.32, p=.40)","3.30 (-3.15-9.76, p=.30)","1.70 (-3.62-7.03, p=.51)","5.27 (0.10-10.45, p=.05)","5.44 (0.95-9.93, p=.02)"
"   Skin","2,110,484","17.6","-0.63 (-3.64-2.38, p=.67)","-0.82 (-3.85-2.22, p=.58)","-1.17 (-4.77-2.43, p=.50)","-1.45 (-5.15-2.25, p=.42)","-2.03 (-5.60-1.54, p=.25)","-2.36 (-6.14-1.42, p=.21)"
"   Testicular","37,605","18.2","1.13 (-2.14-4.41, p=.48)","0.93 (-2.74-4.59, p=.60)","0.35 (-2.97-3.66, p=.83)","1.14 (-1.51-3.79, p=.38)","0.18 (-3.00-3.36, p=.91)","0.49 (-2.76-3.75, p=.76)"
"   Other","13,241","22.4","4.04 (-3.08-11.17, p=.25)","3.72 (-3.46-10.90, p=.29)","3.10 (-6.30-12.51, p=.50)","5.02 (-3.31-13.36, p=.22)","3.25 (-5.34-11.84, p=.44)","1.98 (-2.88-6.84, p=.41)"
