"CancerType","Pre-Trial Baseline","Months0-5","Months6-11","Months12-17","Months18-23","Months24-29","Months30-35"
"Primary high-detection group","29.0","3.44 (1.76-5.12), p<.001","4.78 (1.86-7.69), p=.003","2.87 (-0.19-5.92), p=.06","1.39 (-2.25-5.02), p=.44","1.43 (-3.17-6.04), p=.52","0.91 (-3.35-5.16), p=.66"
"   Head & neck","27.9","1.95 (-0.65-4.54), p=.13","3.87 (0.83-6.91), p=.02","2.51 (-0.65-5.66), p=.11","2.05 (-1.48-5.57), p=.24","1.28 (-3.09-5.64), p=.55","0.85 (-2.79-4.48), p=.63"
"   Upper gastrointestinal","30.2","4.79 (1.07-8.51), p=.01","5.94 (1.58-10.29), p=.01","3.33 (-1.73-8.40), p=.19","1.15 (-5.79-8.10), p=.73","2.25 (-4.28-8.79), p=.48","1.48 (-5.05-8.00), p=.64"
"Secondary expanded high-detection group","38.9","3.74 (0.75-6.74), p=.02","3.88 (-0.02-7.78), p=.05","1.55 (-2.49-5.60), p=.43","1.57 (-2.93-6.07), p=.48","1.37 (-3.01-5.75), p=.52","0.08 (-3.47-3.63), p=.96"
"   Gynaecological cancer","35.3","2.76 (-0.44-5.96), p=.09","1.98 (-3.54-7.50), p=.46","3.87 (-2.22-9.96), p=.20","1.87 (-5.15-8.88), p=.59","-0.46 (-5.46-4.54), p=.85","-1.26 (-6.81-4.30), p=.64"
"   Haematological malignancies (excluding acute leukaemia)","47.3","0.19 (-5.80-6.19), p=.95","-1.44 (-7.64-4.76), p=.63","-3.41 (-11.17-4.35), p=.37","-3.17 (-13.64-7.29), p=.53","-2.23 (-13.61-9.15), p=.69","-5.42 (-15.45-4.61), p=.27"
"   Lower gastrointestinal","48.9","4.55 (-0.66-9.77), p=.08","3.63 (-2.42-9.69), p=.23","-0.23 (-7.41-6.94), p=.95","1.41 (-8.30-11.13), p=.76","2.33 (-6.42-11.08), p=.58","0.21 (-7.01-7.44), p=.95"
"   Urological malignancies (excluding testicular)","41.3","4.10 (0.39-7.82), p=.03","2.96 (-2.05-7.97), p=.23","0.01 (-5.24-5.26), p=1.00","1.63 (-2.56-5.81), p=.43","1.82 (-3.01-6.65), p=.44","0.58 (-4.68-5.84), p=.82"
"Secondary low-detection group","14.3","0.03 (-5.07-5.13), p=.99","0.20 (-5.90-6.30), p=.95","-1.58 (-5.96-2.80), p=.46","-0.54 (-6.18-5.09), p=.84","-2.51 (-7.73-2.70), p=.33","-1.01 (-5.84-3.81), p=.67"
"   Acute leukaemia","36.2","-2.23 (-13.12-8.66), p=.67","-8.38 (-28.47-11.70), p=.39","12.29 (-18.36-42.93), p=.41","18.46 (-0.95-37.88), p=.06","25.74 (7.06-44.42), p=.009","17.08 (-5.07-39.22), p=.12"
"   Brain/central nervous system tumours","26.4","1.16 (-6.86-9.18), p=.77","-0.48 (-7.64-6.67), p=.89","-0.29 (-10.75-10.17), p=.95","-5.41 (-16.66-5.84), p=.33","-6.69 (-16.18-2.80), p=.16","2.00 (-11.00-14.99), p=.75"
"   Breast","9.7","0.25 (-6.70-7.20), p=.94","-1.55 (-9.51-6.41), p=.69","-0.96 (-5.75-3.83), p=.68","0.62 (-4.75-5.98), p=.81","-1.21 (-7.63-5.20), p=.70","-0.79 (-4.99-3.41), p=.70"
"   Sarcoma","26.5","0.48 (-8.30-9.25), p=.91","4.59 (-3.67-12.85), p=.26","7.97 (-4.13-20.06), p=.18","5.76 (-6.18-17.70), p=.33","12.70 (0.89-24.51), p=.04","11.45 (1.57-21.33), p=.03"
"   Skin","18.3","-1.28 (-7.41-4.84), p=.67","0.35 (-6.16-6.87), p=.91","-2.73 (-10.29-4.82), p=.46","-2.52 (-10.88-5.84), p=.54","-4.40 (-11.63-2.83), p=.22","-2.65 (-9.94-4.64), p=.46"
"   Testicular","18.9","2.38 (-3.91-8.68), p=.44","2.72 (-3.83-9.28), p=.40","0.41 (-6.05-6.87), p=.90","2.38 (-3.96-8.71), p=.44","-0.95 (-7.71-5.81), p=.77","1.15 (-5.92-8.21), p=.74"
"   Other","29.0","9.36 (-8.20-26.92), p=.28","5.07 (-15.55-25.68), p=.61","6.35 (-17.46-30.16), p=.58","8.12 (-11.70-27.94), p=.40","5.30 (-15.70-26.31), p=.60","1.92 (-11.47-15.32), p=.77"
