"CancerType","Pre-Trial Baseline","Months0-5","Months6-11","Months12-17","Months18-23","Months24-29","Months30-35"
"Primary high-detection group","377.8","24.15 (3.78-44.53), p=.02","15.27 (0.72-29.81), p=.04","13.85 (-7.05-34.74), p=.18","15.82 (-9.77-41.41), p=.21","16.28 (-14.20-46.76), p=.28","14.22 (-23.81-52.24), p=.44"
"   Head & neck","190.8","13.25 (-0.51-27.01), p=.06","12.77 (3.13-22.41), p=.01","6.68 (-6.15-19.52), p=.29","12.93 (-0.67-26.53), p=.06","12.82 (-5.26-30.91), p=.15","10.56 (-15.15-36.28), p=.40"
"   Upper gastrointestinal","187.0","10.85 (-1.47-23.16), p=.08","2.56 (-6.91-12.03), p=.58","7.18 (-5.86-20.23), p=.26","3.06 (-12.58-18.69), p=.69","3.56 (-14.36-21.49), p=.68","3.73 (-15.99-23.45), p=.70"
"Secondary expanded high-detection group","1149.3","63.08 (-6.02-132.19), p=.07","98.85 (21.20-176.50), p=.02","51.73 (-53.07-156.54), p=.32","81.69 (-29.37-192.75), p=.14","66.60 (-35.96-169.16), p=.19","48.08 (-61.17-157.33), p=.37"
"   Gynaecological cancer","201.0","7.19 (-8.16-22.54), p=.34","10.67 (-10.26-31.60), p=.30","-1.00 (-20.90-18.89), p=.92","11.07 (-15.07-37.22), p=.39","13.59 (-11.82-39.00), p=.28","10.66 (-12.77-34.08), p=.35"
"   Haematological malignancies (excluding acute leukaemia)","17.2","2.69 (-0.02-5.39), p=.05","2.87 (0.38-5.36), p=.03","2.12 (-1.56-5.80), p=.24","3.07 (-1.05-7.18), p=.14","2.36 (-1.18-5.91), p=.18","2.63 (-1.21-6.47), p=.17"
"   Lower gastrointestinal","396.0","20.40 (-20.00-60.79), p=.30","55.69 (6.88-104.50), p=.03","34.59 (-29.39-98.58), p=.27","30.73 (-24.88-86.35), p=.26","6.50 (-48.86-61.85), p=.81","-2.73 (-58.23-52.76), p=.92"
"   Urological malignancies (excluding testicular)","157.3","8.80 (-2.46-20.06), p=.12","14.48 (-1.70-30.67), p=.08","2.04 (-18.15-22.23), p=.83","20.47 (-3.22-44.15), p=.09","27.22 (0.18-54.25), p=.05","22.71 (-5.36-50.78), p=.11"
"Secondary low-detection group","901.0","33.31 (-4.13-70.75), p=.08","39.62 (-30.49-109.73), p=.25","36.23 (-30.08-102.53), p=.27","28.33 (-72.58-129.24), p=.56","18.50 (-86.93-123.94), p=.72","-0.65 (-109.82-108.52), p=.99"
"   Acute leukaemia","0.4","0.10 (-0.17-0.37), p=.45","-0.02 (-0.21-0.16), p=.78","-0.09 (-0.32-0.13), p=.40","-0.02 (-0.39-0.35), p=.91","0.09 (-0.43-0.60), p=.72","-0.08 (-0.44-0.28), p=.65"
"   Brain/central nervous system tumours","7.5","0.33 (-0.66-1.31), p=.50","0.88 (-0.81-2.57), p=.29","0.93 (-1.81-3.68), p=.49","-0.97 (-3.27-1.33), p=.39","-0.65 (-4.24-2.95), p=.71","-0.66 (-4.78-3.45), p=.74"
"   Breast","436.9","5.62 (-20.54-31.79), p=.66","17.98 (-17.47-53.43), p=.30","21.78 (-14.60-58.15), p=.23","10.60 (-26.69-47.89), p=.56","22.86 (-22.11-67.83), p=.30","4.70 (-33.05-42.45), p=.80"
"   Sarcoma","7.4","-0.38 (-2.90-2.13), p=.75","0.91 (-1.90-3.71), p=.51","1.32 (-3.95-6.60), p=.61","-0.74 (-7.63-6.14), p=.82","-1.92 (-7.92-4.07), p=.51","-1.67 (-8.37-5.03), p=.61"
"   Skin","438.9","25.32 (-10.84-61.47), p=.16","14.39 (-44.53-73.31), p=.62","6.02 (-47.86-59.90), p=.82","14.57 (-71.58-100.72), p=.73","-7.21 (-99.27-84.86), p=.87","-7.89 (-109.54-93.75), p=.87"
"   Testicular","8.7","0.76 (-1.17-2.68), p=.42","1.12 (-1.57-3.81), p=.40","0.80 (-1.41-3.00), p=.46","1.71 (-1.22-4.64), p=.24","2.14 (0.18-4.09), p=.03","2.30 (-0.43-5.02), p=.09"
"   Other","1.9","2.03 (-0.12-4.18), p=.06","5.85 (0.50-11.20), p=.03","6.64 (-1.41-14.70), p=.10","4.32 (-1.52-10.16), p=.14","4.14 (-1.27-9.55), p=.13","3.35 (-1.86-8.56), p=.20"
