"CancerType","Pre-Trial Baseline","Months0-5","Months6-11","Months12-17","Months18-23","Months24-29","Months30-35"
"Primary high-detection group","424.8","22.63 (-0.10-45.35), p=.05","17.65 (-3.20-38.51), p=.09","15.89 (-13.12-44.90), p=.27","23.62 (-13.64-60.89), p=.20","23.71 (-20.80-68.23), p=.28","19.58 (-33.71-72.86), p=.45"
"   Head & neck","190.8","12.89 (-0.29-26.06), p=.05","13.38 (2.01-24.74), p=.02","7.48 (-7.52-22.47), p=.31","14.80 (-1.94-31.54), p=.08","14.18 (-6.14-34.50), p=.16","11.22 (-16.05-38.50), p=.40"
"   Lung","47.0","-0.61 (-4.55-3.34), p=.75","0.86 (-5.34-7.06), p=.78","0.19 (-8.73-9.11), p=.96","3.22 (-9.78-16.23), p=.61","4.19 (-11.77-20.14), p=.59","3.76 (-14.15-21.67), p=.67"
"   Upper gastrointestinal","187.0","10.35 (-2.34-23.03), p=.10","3.42 (-6.33-13.16), p=.47","8.23 (-4.85-21.30), p=.20","5.60 (-10.35-21.55), p=.47","5.35 (-12.89-23.59), p=.55","4.59 (-16.16-25.35), p=.65"
"Secondary expanded high-detection group","1196.2","63.66 (-4.14-131.47), p=.06","98.03 (16.36-179.70), p=.02","49.67 (-60.80-160.15), p=.36","79.36 (-43.04-201.76), p=.19","66.73 (-52.84-186.30), p=.26","49.66 (-74.62-173.95), p=.41"
"   Gynaecological cancer","201.0","6.75 (-8.35-21.84), p=.36","11.24 (-9.94-32.42), p=.28","-0.31 (-20.08-19.46), p=.97","13.12 (-11.08-37.32), p=.27","15.17 (-8.67-39.00), p=.20","11.51 (-10.69-33.71), p=.29"
"   Haematological malignancies (excluding acute leukaemia)","17.2","2.65 (-0.02-5.33), p=.05","2.93 (0.36-5.50), p=.03","2.18 (-1.50-5.86), p=.23","3.26 (-1.09-7.60), p=.13","2.50 (-1.19-6.20), p=.17","2.69 (-1.22-6.59), p=.17"
"   Lower gastrointestinal","396.0","21.75 (-17.00-60.50), p=.26","53.36 (5.81-100.91), p=.03","31.78 (-31.64-95.20), p=.31","23.81 (-35.78-83.39), p=.41","1.58 (-60.12-63.28), p=.96","-5.13 (-62.09-51.83), p=.85"
"   Urological malignancies (excluding testicular)","157.3","9.89 (-1.15-20.93), p=.08","12.85 (-2.54-28.24), p=.10","0.13 (-18.77-19.03), p=.99","15.56 (-10.02-41.13), p=.22","23.76 (-6.69-54.22), p=.12","21.02 (-10.07-52.11), p=.17"
"Secondary low-detection group","901.0","33.95 (-2.20-70.11), p=.06","38.62 (-30.65-107.89), p=.26","34.91 (-30.00-99.82), p=.28","24.98 (-72.00-121.96), p=.60","16.08 (-86.98-119.13), p=.75","-1.82 (-110.15-106.50), p=.97"
"   Acute leukaemia","0.4","0.13 (-0.14-0.39), p=.33","-0.01 (-0.17-0.15), p=.88","-0.08 (-0.29-0.13), p=.43","0.02 (-0.35-0.39), p=.90","0.11 (-0.43-0.66), p=.66","-0.06 (-0.42-0.30), p=.74"
"   Brain/central nervous system tumours","7.5","0.33 (-0.71-1.37), p=.52","0.83 (-0.70-2.36), p=.27","1.03 (-1.92-3.98), p=.47","-0.71 (-3.26-1.83), p=.56","-0.37 (-4.17-3.44), p=.84","-0.48 (-4.92-3.96), p=.82"
"   Breast","436.9","5.30 (-21.65-32.25), p=.69","18.23 (-17.24-53.71), p=.30","22.11 (-14.16-58.38), p=.22","11.39 (-24.69-47.47), p=.52","23.40 (-20.45-67.26), p=.28","4.99 (-32.60-42.59), p=.78"
"   Sarcoma","7.4","-0.44 (-3.01-2.12), p=.72","0.99 (-1.70-3.68), p=.45","1.50 (-4.21-7.21), p=.59","-0.41 (-8.20-7.37), p=.91","-1.69 (-8.75-5.38), p=.62","-1.54 (-8.78-5.70), p=.66"
"   Skin","438.9","26.01 (-9.80-61.83), p=.15","12.63 (-45.53-70.78), p=.66","3.79 (-48.58-56.15), p=.88","9.56 (-74.53-93.64), p=.82","-10.82 (-102.33-80.69), p=.81","-9.92 (-111.83-91.98), p=.84"
"   Testicular","8.7","0.79 (-1.17-2.75), p=.41","1.08 (-1.57-3.73), p=.41","0.76 (-1.43-2.94), p=.48","1.58 (-1.33-4.49), p=.27","2.05 (0.04-4.06), p=.05","2.25 (-0.58-5.07), p=.11"
"   Other","1.9","1.85 (-0.31-4.01), p=.09","5.04 (0.28-9.80), p=.04","5.91 (-2.07-13.89), p=.14","3.50 (-2.56-9.57), p=.24","3.52 (-2.29-9.32), p=.22","2.98 (-2.75-8.72), p=.29"
