"CancerType","Total No. of Referrals","Pre-Trial Baseline","Months0-5","Months6-11","Months12-17","Months18-23","Months24-29","Months30-35"
"Primary high-detection group","1,875,236","28.6","3.64 (1.58-5.70, p=.001)","5.73 (2.50-8.95, p=.001)","3.59 (0.36-6.82, p=.03)","2.19 (-1.58-5.96, p=.24)","2.96 (-2.15-8.07, p=.24)","1.82 (-2.43-6.06, p=.38)"
"   Head & neck","932,920","27.9","2.17 (-0.34-4.67, p=.09)","4.68 (1.37-7.98, p=.008)","3.09 (-0.45-6.63, p=.08)","2.22 (-1.56-6.00, p=.23)","2.52 (-2.12-7.17, p=.27)","1.75 (-2.18-5.68, p=.36)"
"   Lung","225,492","24.8","2.18 (0.12-4.23, p=.04)","4.43 (0.64-8.22, p=.02)","1.33 (-3.22-5.88, p=.55)","1.15 (-3.52-5.82, p=.61)","-0.44 (-6.57-5.69, p=.88)","-2.17 (-7.69-3.34, p=.42)"
"   Upper gastrointestinal","716,824","30.2","5.54 (1.64-9.45, p=.008)","7.94 (2.62-13.25, p=.005)","4.93 (-0.24-10.09, p=.06)","3.23 (-4.25-10.71, p=.38)","5.37 (-2.86-13.60, p=.19)","3.92 (-2.96-10.81, p=.25)"
"Secondary expanded high-detection group","5,532,510","38.4","3.80 (0.18-7.42, p=.04)","3.87 (-1.02-8.75, p=.11)","1.53 (-3.17-6.23, p=.50)","1.53 (-3.48-6.54, p=.53)","2.23 (-2.48-6.94, p=.33)","0.21 (-3.26-3.68, p=.90)"
"   Gynaecological cancer","981,770","35.3","3.01 (-0.83-6.85, p=.12)","0.81 (-5.17-6.79, p=.78)","2.32 (-3.70-8.34, p=.43)","-0.12 (-7.69-7.45, p=.97)","-1.72 (-7.07-3.63, p=.51)","-3.14 (-8.94-2.65, p=.27)"
"   Haematological malignancies (excluding acute leukaemia)","72,186","47.3","-2.13 (-8.53-4.26, p=.49)","-2.90 (-8.07-2.26, p=.26)","-3.81 (-10.03-2.41, p=.22)","-1.79 (-8.96-5.38, p=.61)","-0.35 (-8.79-8.08, p=.93)","-3.66 (-11.39-4.07, p=.33)"
"   Lower gastrointestinal","1,799,073","48.9","4.87 (-1.32-11.05, p=.12)","3.76 (-4.08-11.60, p=.33)","0.33 (-8.31-8.96, p=.94)","1.83 (-8.69-12.36, p=.72)","4.39 (-4.33-13.12, p=.31)","1.17 (-5.95-8.29, p=.74)"
"   Urological malignancies (excluding testicular)","804,245","41.3","3.98 (-0.81-8.77, p=.10)","2.63 (-3.74-9.01, p=.40)","-0.84 (-6.83-5.15, p=.77)","0.59 (-3.74-4.93, p=.78)","1.70 (-4.01-7.41, p=.54)","0.44 (-5.68-6.57, p=.88)"
"Secondary low-detection group","4,114,121","14.3","0.74 (-4.39-5.86, p=.77)","1.48 (-4.77-7.73, p=.63)","-0.91 (-5.59-3.77, p=.69)","0.55 (-3.95-5.06, p=.80)","-1.32 (-6.01-3.38, p=.56)","0.17 (-3.78-4.12, p=.93)"
"   Acute leukaemia","1,130","36.2","-18.99 (-72.52-34.55, p=.47)","-29.34 (-87.78-29.09, p=.31)","20.62 (-37.24-78.49, p=.46)","11.04 (-35.86-57.93, p=.63)","11.78 (-62.15-85.71, p=.74)","-5.97 (-68.26-56.31, p=.84)"
"   Brain/central nervous system tumours","39,991","26.4","1.16 (-7.45-9.76, p=.78)","-3.06 (-10.24-4.11, p=.38)","-0.27 (-9.84-9.29, p=.95)","-4.56 (-15.44-6.31, p=.39)","-8.85 (-17.00--0.69, p=.03)","2.01 (-7.77-11.79, p=.67)"
"   Breast","1,860,514","9.7","1.15 (-6.02-8.32, p=.74)","0.52 (-7.84-8.89, p=.90)","0.26 (-4.01-4.53, p=.90)","1.21 (-3.46-5.88, p=.59)","0.04 (-6.48-6.57, p=.99)","-0.32 (-4.16-3.52, p=.87)"
"   Sarcoma","51,156","26.5","-1.70 (-10.27-6.87, p=.68)","12.21 (-6.51-30.92, p=.19)","9.23 (-5.75-24.20, p=.21)","21.02 (-2.71-44.74, p=.08)","9.87 (-3.14-22.87, p=.13)","1.03 (-21.32-23.38, p=.92)"
"   Skin","2,110,484","18.3","-1.00 (-6.68-4.69, p=.72)","1.05 (-5.39-7.49, p=.74)","-1.86 (-10.43-6.71, p=.66)","-0.50 (-6.94-5.94, p=.87)","-2.62 (-8.20-2.97, p=.34)","-0.70 (-6.72-5.31, p=.81)"
"   Testicular","37,605","18.9","0.92 (-4.47-6.32, p=.72)","1.73 (-4.89-8.35, p=.59)","-1.80 (-8.90-5.30, p=.60)","2.05 (-6.27-10.37, p=.61)","-1.27 (-10.05-7.50, p=.77)","0.29 (-7.25-7.83, p=.94)"
"   Other","13,241","29.0","-7.87 (-32.02-16.28, p=.50)","5.38 (-17.11-27.88, p=.62)","4.31 (-18.95-27.57, p=.70)","7.25 (-19.40-33.89, p=.58)","10.12 (-9.47-29.72, p=.29)","-0.28 (-17.10-16.54, p=.97)"
