"CancerType","Pre-Trial Baseline","Months0-5","Months6-11","Months12-17","Months18-23","Months24-29","Months30-35"
"Primary high-detection group","424.8","18.96 (-4.91-42.83, p=.11)","12.39 (-6.76-31.54, p=.19)","11.50 (-17.94-40.93, p=.42)","18.63 (-18.77-56.03, p=.31)","28.14 (-13.31-69.59, p=.17)","26.65 (-23.76-77.07, p=.28)"
"   Head & neck","190.8","10.88 (-1.25-23.02, p=.08)","12.13 (4.00-20.26, p=.005)","8.50 (-3.99-21.00, p=.17)","14.41 (-0.08-28.91, p=.05)","18.56 (1.00-36.12, p=.04)","16.65 (-7.86-41.15, p=.17)"
"   Lung","47.0","-1.88 (-7.46-3.70, p=.49)","-0.13 (-6.91-6.65, p=.97)","-1.82 (-12.63-8.98, p=.73)","1.60 (-12.19-15.40, p=.81)","2.89 (-14.25-20.03, p=.73)","1.96 (-18.48-22.40, p=.84)"
"   Upper gastrointestinal","187.0","9.96 (-4.04-23.97, p=.15)","0.47 (-10.27-11.21, p=.93)","4.84 (-10.19-19.87, p=.51)","2.72 (-14.51-19.96, p=.75)","6.74 (-13.78-27.27, p=.50)","7.98 (-13.54-29.51, p=.45)"
"Secondary expanded high-detection group","1196.2","51.54 (-23.41-126.49, p=.17)","83.51 (3.50-163.52, p=.04)","38.23 (-74.46-150.91, p=.49)","70.96 (-56.18-198.10, p=.26)","73.49 (-52.34-199.32, p=.24)","50.81 (-82.49-184.11, p=.44)"
"   Gynaecological cancer","201.0","4.63 (-10.59-19.85, p=.53)","8.45 (-10.82-27.73, p=.37)","-1.13 (-22.73-20.47, p=.91)","10.13 (-18.49-38.74, p=.47)","16.40 (-10.97-43.76, p=.23)","14.99 (-8.64-38.61, p=.20)"
"   Haematological malignancies (excluding acute leukaemia)","17.2","2.65 (0.22-5.09, p=.03)","2.76 (0.70-4.82, p=.01)","1.76 (-1.43-4.94, p=.26)","2.84 (-1.01-6.70, p=.14)","2.69 (-0.27-5.66, p=.07)","2.16 (-1.11-5.42, p=.18)"
"   Lower gastrointestinal","396.0","15.99 (-29.18-61.16, p=.47)","44.17 (-9.24-97.58, p=.10)","24.65 (-36.76-86.05, p=.41)","21.83 (-35.98-79.64, p=.44)","-5.68 (-61.03-49.66, p=.83)","-16.54 (-79.16-46.08, p=.59)"
"   Urological malignancies (excluding testicular)","157.3","9.29 (0.17-18.41, p=.05)","15.73 (-3.20-34.66, p=.10)","1.47 (-22.22-25.15, p=.90)","17.15 (-8.99-43.29, p=.19)","31.44 (-4.42-67.29, p=.08)","23.28 (-7.71-54.28, p=.13)"
"Secondary low-detection group","901.0","39.21 (3.87-74.54, p=.03)","36.19 (-28.46-100.84, p=.26)","35.14 (-27.41-97.68, p=.26)","26.18 (-72.70-125.06, p=.59)","21.41 (-83.36-126.19, p=.67)","4.25 (-103.67-112.17, p=.94)"
"   Acute leukaemia","0.4","0.16 (-0.25-0.58, p=.41)","-0.07 (-0.27-0.13, p=.49)","-0.15 (-0.46-0.15, p=.31)","-0.13 (-0.59-0.34, p=.57)","0.01 (-0.48-0.50, p=.98)","-0.22 (-0.62-0.19, p=.28)"
"   Brain/central nervous system tumours","7.5","0.83 (-0.52-2.19, p=.21)","1.66 (-0.42-3.74, p=.11)","1.93 (-1.53-5.39, p=.26)","-0.32 (-2.60-1.96, p=.77)","0.43 (-3.55-4.42, p=.82)","0.54 (-4.19-5.27, p=.81)"
"   Breast","436.9","11.95 (-19.71-43.61, p=.44)","8.82 (-27.69-45.33, p=.62)","20.28 (-22.79-63.34, p=.34)","9.48 (-36.34-55.30, p=.67)","25.63 (-31.14-82.40, p=.36)","6.33 (-33.02-45.68, p=.74)"
"   Sarcoma","7.4","-0.73 (-3.17-1.71, p=.54)","0.38 (-2.35-3.12, p=.77)","0.99 (-5.27-7.25, p=.74)","-2.50 (-11.58-6.58, p=.57)","-2.32 (-9.60-4.97, p=.51)","-1.24 (-8.68-6.20, p=.73)"
"   Skin","438.9","25.22 (-3.06-53.49, p=.08)","20.64 (-33.40-74.68, p=.44)","7.45 (-39.03-53.93, p=.74)","15.02 (-64.87-94.90, p=.70)","-7.29 (-93.85-79.26, p=.86)","-5.87 (-109.71-97.96, p=.91)"
"   Testicular","8.7","0.36 (-1.08-1.81, p=.60)","0.53 (-1.65-2.70, p=.62)","0.29 (-1.41-1.98, p=.73)","0.89 (-1.49-3.27, p=.45)","1.91 (0.30-3.51, p=.02)","2.62 (0.29-4.95, p=.03)"
"   Other","1.9","1.95 (-0.41-4.31, p=.10)","5.53 (0.62-10.44, p=.03)","5.30 (-1.27-11.87, p=.11)","4.04 (-1.65-9.74, p=.15)","3.60 (-2.14-9.35, p=.21)","2.35 (-2.69-7.40, p=.34)"
