"CancerType","Total No. of Referrals","Pre-Trial Baseline","Months0-5","Months6-11","Months12-17","Months18-23","Months24-29","Months30-35"
"Primary high-detection group","1,875,236","28.6","3.32 (1.57-5.06, p<.001)","5.18 (2.31-8.05, p=.001)","3.15 (-0.03-6.32, p=.05)","1.80 (-2.08-5.69, p=.35)","2.46 (-2.68-7.59, p=.33)","1.44 (-2.85-5.73, p=.49)"
"   Head & neck","932,920","27.9","2.25 (-0.34-4.83, p=.08)","4.47 (1.23-7.71, p=.009)","2.84 (-0.72-6.40, p=.11)","2.41 (-1.49-6.31, p=.21)","2.39 (-2.37-7.15, p=.31)","1.87 (-2.05-5.79, p=.33)"
"   Lung","225,492","24.8","1.91 (-0.16-3.97, p=.07)","4.34 (0.51-8.17, p=.03)","1.51 (-3.24-6.26, p=.51)","1.19 (-3.65-6.02, p=.61)","-0.41 (-6.76-5.95, p=.89)","-2.32 (-8.10-3.46, p=.41)"
"   Upper gastrointestinal","716,824","30.2","4.68 (1.51-7.85, p=.006)","6.73 (2.20-11.26, p=.006)","3.94 (-0.68-8.56, p=.09)","1.72 (-5.37-8.80, p=.62)","4.09 (-3.87-12.04, p=.30)","2.72 (-4.04-9.49, p=.41)"
"Secondary expanded high-detection group","5,532,510","38.4","3.15 (0.27-6.03, p=.03)","2.85 (-1.07-6.77, p=.15)","0.66 (-3.78-5.09, p=.76)","0.70 (-4.12-5.52, p=.76)","1.33 (-3.05-5.71, p=.53)","-0.37 (-3.51-2.77, p=.81)"
"   Gynaecological cancer","981,770","35.3","2.39 (-0.77-5.54, p=.13)","-0.21 (-5.18-4.77, p=.93)","1.68 (-4.07-7.42, p=.55)","-0.75 (-7.94-6.45, p=.83)","-2.34 (-7.31-2.64, p=.34)","-3.60 (-9.24-2.03, p=.20)"
"   Haematological malignancies (excluding acute leukaemia)","72,186","47.3","-2.07 (-8.60-4.47, p=.52)","-2.95 (-8.12-2.22, p=.25)","-3.92 (-10.14-2.29, p=.20)","-1.47 (-8.61-5.66, p=.67)","-0.48 (-8.67-7.71, p=.90)","-3.32 (-11.17-4.53, p=.39)"
"   Lower gastrointestinal","1,799,073","48.9","3.89 (-1.27-9.05, p=.13)","2.31 (-4.48-9.10, p=.49)","-0.97 (-9.53-7.59, p=.82)","0.53 (-10.02-11.09, p=.92)","3.03 (-5.62-11.68, p=.47)","0.50 (-6.69-7.69, p=.89)"
"   Urological malignancies (excluding testicular)","804,245","41.3","3.34 (-0.83-7.51, p=.11)","1.64 (-3.84-7.12, p=.54)","-1.82 (-7.24-3.59, p=.49)","-0.54 (-4.17-3.10, p=.76)","0.58 (-4.72-5.88, p=.82)","-0.54 (-5.90-4.82, p=.84)"
"Secondary low-detection group","4,114,121","14.3","0.46 (-4.67-5.58, p=.85)","1.29 (-5.04-7.62, p=.68)","-1.28 (-6.04-3.49, p=.58)","0.10 (-4.57-4.77, p=.96)","-1.65 (-6.31-3.01, p=.47)","-0.08 (-4.11-3.94, p=.97)"
"   Acute leukaemia","1,130","36.2","-13.05 (-71.62-45.52, p=.65)","-23.76 (-87.35-39.84, p=.44)","25.87 (-34.49-86.22, p=.38)","16.01 (-35.18-67.20, p=.52)","18.46 (-61.18-98.10, p=.63)","1.51 (-64.78-67.79, p=.96)"
"   Brain/central nervous system tumours","39,991","26.4","1.07 (-7.71-9.85, p=.80)","-3.70 (-11.17-3.78, p=.31)","-1.14 (-10.91-8.63, p=.81)","-4.72 (-15.58-6.14, p=.38)","-8.15 (-16.57-0.28, p=.06)","2.00 (-8.24-12.23, p=.69)"
"   Breast","1,860,514","9.7","1.17 (-5.92-8.26, p=.73)","0.79 (-7.66-9.24, p=.85)","0.67 (-3.51-4.84, p=.74)","1.45 (-3.34-6.24, p=.54)","0.35 (-6.14-6.85, p=.91)","-0.31 (-4.15-3.53, p=.87)"
"   Sarcoma","51,156","26.5","-0.41 (-9.55-8.72, p=.93)","12.81 (-5.90-31.51, p=.17)","10.13 (-4.66-24.93, p=.17)","21.49 (-1.71-44.70, p=.07)","7.94 (-4.47-20.36, p=.20)","1.54 (-19.91-22.99, p=.88)"
"   Skin","2,110,484","18.3","-1.47 (-7.22-4.28, p=.60)","0.55 (-5.97-7.07, p=.86)","-2.81 (-11.36-5.73, p=.50)","-1.51 (-8.35-5.32, p=.65)","-3.40 (-8.75-1.95, p=.20)","-1.15 (-7.23-4.93, p=.70)"
"   Testicular","37,605","18.9","0.12 (-5.11-5.35, p=.96)","0.67 (-5.24-6.59, p=.81)","-2.32 (-9.45-4.80, p=.50)","1.93 (-6.25-10.12, p=.63)","-1.57 (-10.51-7.38, p=.72)","0.22 (-7.33-7.77, p=.95)"
"   Other","13,241","29.0","-9.60 (-33.88-14.68, p=.42)","5.33 (-17.14-27.81, p=.63)","0.59 (-25.32-26.50, p=.96)","6.15 (-20.49-32.79, p=.64)","8.55 (-11.03-28.13, p=.37)","-0.44 (-18.58-17.70, p=.96)"
