"CancerType","Pre-Trial Baseline","Months0-5","Months6-11","Months12-17","Months18-23","Months24-29","Months30-35"
"Primary high-detection group","424.8","18.06 (-5.54-41.66, p=.13)","9.81 (-11.52-31.14, p=.35)","6.92 (-23.76-37.59, p=.64)","15.43 (-24.08-54.94, p=.42)","27.25 (-14.70-69.21, p=.19)","25.91 (-25.67-77.49, p=.31)"
"   Head & neck","190.8","10.95 (-0.63-22.53, p=.06)","11.74 (3.51-19.96, p=.007)","6.98 (-5.82-19.79, p=.27)","13.32 (-1.32-27.96, p=.07)","18.86 (0.91-36.81, p=.04)","16.33 (-8.77-41.43, p=.19)"
"   Lung","47.0","-2.29 (-8.44-3.87, p=.45)","-1.14 (-8.73-6.45, p=.76)","-2.89 (-14.76-8.98, p=.62)","0.67 (-14.33-15.68, p=.93)","2.73 (-15.44-20.89, p=.76)","1.61 (-20.97-24.19, p=.88)"
"   Upper gastrointestinal","187.0","9.42 (-4.84-23.68, p=.18)","-0.70 (-12.55-11.14, p=.90)","2.85 (-12.19-17.89, p=.70)","1.57 (-16.02-19.15, p=.85)","5.78 (-14.54-26.10, p=.56)","7.98 (-13.50-29.46, p=.45)"
"Secondary expanded high-detection group","1196.2","42.62 (-31.23-116.48, p=.24)","67.32 (-12.05-146.69, p=.09)","16.60 (-95.88-129.09, p=.76)","54.36 (-77.77-186.50, p=.40)","56.95 (-71.09-184.98, p=.36)","36.05 (-102.18-174.29, p=.59)"
"   Gynaecological cancer","201.0","3.51 (-10.63-17.66, p=.61)","6.75 (-12.25-25.75, p=.47)","-4.00 (-25.45-17.45, p=.70)","6.28 (-22.80-35.37, p=.66)","11.89 (-14.31-38.08, p=.36)","11.94 (-11.73-35.61, p=.31)"
"   Haematological malignancies (excluding acute leukaemia)","17.2","2.09 (-0.07-4.24, p=.06)","2.29 (0.57-4.00, p=.01)","1.21 (-1.58-4.00, p=.38)","2.31 (-1.21-5.83, p=.19)","2.16 (-0.39-4.71, p=.09)","1.58 (-1.07-4.23, p=.23)"
"   Lower gastrointestinal","396.0","9.43 (-35.13-53.98, p=.66)","32.88 (-18.30-84.06, p=.20)","13.51 (-46.84-73.85, p=.65)","14.65 (-45.65-74.96, p=.62)","-14.22 (-72.49-44.05, p=.62)","-25.58 (-92.14-40.97, p=.43)"
"   Urological malignancies (excluding testicular)","157.3","9.50 (0.85-18.15, p=.03)","15.59 (-4.12-35.30, p=.11)","-0.99 (-26.34-24.35, p=.94)","15.36 (-11.38-42.10, p=.24)","29.40 (-7.07-65.88, p=.11)","21.97 (-9.55-53.49, p=.16)"
"Secondary low-detection group","901.0","38.76 (2.67-74.85, p=.04)","33.58 (-35.40-102.56, p=.32)","30.71 (-33.49-94.92, p=.33)","23.41 (-84.50-131.31, p=.66)","17.87 (-94.73-130.47, p=.74)","4.25 (-112.88-121.37, p=.94)"
"   Acute leukaemia","0.4","0.20 (-0.19-0.59, p=.31)","-0.03 (-0.17-0.10, p=.60)","-0.10 (-0.33-0.12, p=.36)","-0.09 (-0.49-0.30, p=.62)","0.03 (-0.29-0.34, p=.86)","-0.19 (-0.53-0.14, p=.24)"
"   Brain/central nervous system tumours","7.5","0.95 (-0.41-2.31, p=.16)","1.46 (-0.33-3.25, p=.10)","1.70 (-1.81-5.21, p=.32)","-0.65 (-3.03-1.73, p=.57)","-0.18 (-4.22-3.87, p=.93)","0.36 (-4.46-5.18, p=.88)"
"   Breast","436.9","9.33 (-23.22-41.88, p=.56)","7.15 (-30.03-44.34, p=.69)","18.83 (-23.33-60.99, p=.36)","9.68 (-37.27-56.63, p=.67)","27.70 (-29.55-84.96, p=.32)","9.11 (-29.87-48.09, p=.63)"
"   Sarcoma","7.4","-0.50 (-2.94-1.93, p=.67)","0.27 (-2.46-3.00, p=.84)","1.27 (-5.06-7.61, p=.68)","-1.84 (-9.54-5.87, p=.62)","-1.89 (-8.78-5.00, p=.57)","-0.89 (-8.02-6.24, p=.80)"
"   Skin","438.9","27.57 (-2.19-57.32, p=.07)","19.96 (-38.39-78.31, p=.48)","4.38 (-43.61-52.38, p=.85)","11.78 (-75.49-99.06, p=.78)","-12.47 (-105.82-80.89, p=.78)","-8.71 (-120.71-103.30, p=.87)"
"   Testicular","8.7","0.40 (-1.04-1.84, p=.57)","0.68 (-1.51-2.86, p=.53)","0.17 (-1.56-1.89, p=.84)","0.72 (-1.68-3.13, p=.54)","1.78 (0.18-3.39, p=.03)","2.45 (0.15-4.75, p=.04)"
"   Other","1.9","1.78 (-0.41-3.96, p=.10)","5.39 (0.61-10.17, p=.03)","5.38 (-1.50-12.27, p=.12)","4.20 (-1.75-10.14, p=.16)","3.54 (-2.90-9.98, p=.27)","2.57 (-3.33-8.46, p=.37)"
