"CancerType","Total No. of Referrals","Pre-Trial Baseline","Months0-5","Months6-11","Months12-17","Months18-23","Months24-29","Months30-35"
"Primary high-detection group","1,875,236","28.6","4.37 (1.86-6.89, p=.002)","6.97 (3.07-10.88, p=.001)","4.89 (1.67-8.11, p=.005)","3.26 (0.08-6.44, p=.04)","3.97 (-1.02-8.97, p=.11)","1.94 (-2.17-6.04, p=.34)"
"   Head & neck","932,920","27.9","2.64 (0.27-5.00, p=.03)","5.81 (2.27-9.36, p=.003)","3.65 (0.35-6.94, p=.03)","2.94 (-0.72-6.61, p=.11)","2.95 (-1.85-7.76, p=.21)","0.70 (-3.13-4.54, p=.71)"
"   Lung","225,492","24.8","2.33 (0.47-4.20, p=.02)","5.18 (1.40-8.97, p=.010)","2.48 (-2.47-7.42, p=.31)","2.55 (-2.36-7.47, p=.29)","1.07 (-5.64-7.79, p=.74)","-1.26 (-7.05-4.54, p=.66)"
"   Upper gastrointestinal","716,824","30.2","6.84 (1.88-11.80, p=.009)","9.34 (2.42-16.26, p=.01)","7.07 (1.28-12.86, p=.02)","4.62 (-2.86-12.10, p=.21)","6.94 (-1.41-15.29, p=.10)","5.36 (-1.36-12.08, p=.11)"
"Secondary expanded high-detection group","5,532,510","38.4","6.21 (1.51-10.91, p=.01)","6.97 (0.45-13.48, p=.04)","4.58 (-1.36-10.51, p=.12)","4.55 (-0.97-10.07, p=.10)","5.12 (0.05-10.20, p=.05)","1.92 (-2.23-6.06, p=.35)"
"   Gynaecological cancer","981,770","35.3","5.14 (0.73-9.56, p=.02)","4.17 (-3.00-11.33, p=.24)","4.69 (-1.82-11.21, p=.15)","2.64 (-5.46-10.73, p=.50)","0.86 (-4.32-6.03, p=.73)","-2.31 (-8.69-4.07, p=.46)"
"   Haematological malignancies (excluding acute leukaemia)","72,186","47.3","-0.38 (-6.71-5.94, p=.90)","-2.96 (-8.88-2.96, p=.31)","-3.10 (-8.79-2.59, p=.27)","-0.46 (-7.70-6.78, p=.89)","-0.20 (-8.68-8.28, p=.96)","-2.60 (-9.83-4.63, p=.46)"
"   Lower gastrointestinal","1,799,073","48.9","9.09 (0.62-17.56, p=.04)","9.09 (-1.66-19.85, p=.09)","6.28 (-5.38-17.95, p=.27)","7.51 (-4.16-19.17, p=.19)","9.72 (-0.34-19.78, p=.06)","5.08 (-3.17-13.34, p=.21)"
"   Urological malignancies (excluding testicular)","804,245","41.3","6.05 (1.06-11.03, p=.02)","4.79 (-2.49-12.07, p=.19)","0.31 (-6.53-7.16, p=.92)","1.87 (-2.61-6.34, p=.39)","2.87 (-3.04-8.78, p=.32)","1.39 (-5.23-8.02, p=.67)"
"Secondary low-detection group","4,114,121","14.3","1.81 (-3.34-6.96, p=.47)","2.35 (-3.49-8.20, p=.41)","-0.53 (-5.37-4.31, p=.82)","1.50 (-2.85-5.85, p=.48)","-1.44 (-6.27-3.40, p=.54)","0.98 (-2.56-4.53, p=.57)"
"   Acute leukaemia","1,130","36.2","-26.05 (-69.62-17.52, p=.23)","-51.81 (-105.66-2.04, p=.06)","7.29 (-46.98-61.56, p=.78)","-2.57 (-45.99-40.86, p=.90)","-13.09 (-84.04-57.85, p=.70)","-20.25 (-77.24-36.74, p=.47)"
"   Brain/central nervous system tumours","39,991","26.4","4.33 (-5.01-13.68, p=.34)","-1.34 (-8.98-6.30, p=.72)","1.03 (-7.58-9.64, p=.80)","-3.47 (-14.07-7.13, p=.50)","-8.42 (-16.96-0.13, p=.05)","4.78 (-3.64-13.19, p=.25)"
"   Breast","1,860,514","9.7","2.03 (-5.45-9.52, p=.58)","2.24 (-5.89-10.37, p=.57)","0.88 (-3.38-5.15, p=.67)","1.25 (-3.12-5.62, p=.56)","-0.74 (-7.08-5.60, p=.81)","-1.43 (-5.20-2.33, p=.44)"
"   Sarcoma","51,156","26.5","-1.93 (-9.65-5.80, p=.61)","7.40 (-10.25-25.05, p=.39)","5.07 (-7.86-18.00, p=.42)","14.42 (-5.63-34.46, p=.15)","8.00 (-8.93-24.92, p=.34)","-4.99 (-28.91-18.94, p=.67)"
"   Skin","2,110,484","18.3","-0.19 (-5.41-5.02, p=.94)","1.37 (-4.41-7.16, p=.63)","-1.78 (-10.28-6.73, p=.67)","1.36 (-4.50-7.22, p=.63)","-2.45 (-8.36-3.46, p=.40)","1.67 (-4.42-7.76, p=.57)"
"   Testicular","37,605","18.9","1.78 (-4.26-7.81, p=.55)","4.78 (-2.79-12.36, p=.20)","-0.67 (-8.30-6.97, p=.86)","2.75 (-5.97-11.47, p=.52)","-0.92 (-10.37-8.53, p=.84)","0.77 (-6.88-8.42, p=.84)"
"   Other","13,241","29.0","1.95 (-24.09-28.00, p=.88)","5.74 (-18.32-29.80, p=.62)","7.73 (-15.72-31.18, p=.50)","14.48 (-16.20-45.17, p=.34)","12.85 (-9.21-34.91, p=.24)","5.86 (-15.28-26.99, p=.57)"
