"CancerType","Total No. of Referrals","Pre-Trial Baseline","Months0-5","Months6-11","Months12-17","Months18-23","Months24-29","Months30-35"
"Primary high-detection group","1,875,236","28.6","3.49 (1.89-5.09, p<.001)","6.16 (2.87-9.45, p<.001)","4.61 (1.31-7.90, p=.009)","3.08 (-0.22-6.38, p=.07)","3.19 (-1.58-7.95, p=.18)","2.12 (-1.92-6.16, p=.29)"
"   Head & neck","932,920","27.9","2.66 (0.06-5.25, p=.05)","5.33 (1.48-9.17, p=.009)","3.15 (-0.11-6.42, p=.06)","3.60 (0.06-7.14, p=.05)","2.48 (-2.44-7.41, p=.31)","1.73 (-2.32-5.77, p=.38)"
"   Lung","225,492","24.8","2.07 (0.35-3.80, p=.02)","5.84 (2.07-9.61, p=.004)","3.98 (-1.02-8.98, p=.11)","3.86 (-1.05-8.78, p=.12)","2.92 (-3.80-9.64, p=.38)","-0.00 (-6.25-6.25, p=1.00)"
"   Upper gastrointestinal","716,824","30.2","4.79 (2.07-7.52, p=.002)","7.57 (3.08-12.07, p=.002)","6.29 (1.20-11.38, p=.02)","2.54 (-3.26-8.35, p=.37)","4.76 (-2.50-12.01, p=.19)","3.76 (-2.24-9.77, p=.21)"
"Secondary expanded high-detection group","5,532,510","38.4","5.17 (0.79-9.54, p=.02)","5.57 (-0.31-11.45, p=.06)","4.15 (-3.32-11.63, p=.26)","4.16 (-2.81-11.13, p=.23)","4.35 (-1.49-10.18, p=.14)","2.05 (-2.91-7.01, p=.40)"
"   Gynaecological cancer","981,770","35.3","3.39 (0.61-6.17, p=.02)","2.00 (-3.47-7.47, p=.45)","3.76 (-2.61-10.13, p=.23)","1.64 (-6.08-9.35, p=.66)","0.00 (-4.81-4.81, p=1.00)","-2.61 (-8.76-3.53, p=.39)"
"   Haematological malignancies (excluding acute leukaemia)","72,186","47.3","-0.63 (-6.56-5.31, p=.83)","-3.85 (-9.55-1.86, p=.17)","-2.93 (-8.58-2.72, p=.29)","0.39 (-6.64-7.42, p=.91)","0.16 (-8.00-8.31, p=.97)","-0.73 (-7.85-6.38, p=.83)"
"   Lower gastrointestinal","1,799,073","48.9","8.20 (-0.87-17.27, p=.07)","7.82 (-3.75-19.39, p=.17)","6.31 (-9.71-22.34, p=.42)","7.36 (-7.86-22.59, p=.33)","8.89 (-4.60-22.38, p=.18)","5.95 (-5.52-17.42, p=.29)"
"   Urological malignancies (excluding testicular)","804,245","41.3","4.64 (1.46-7.82, p=.006)","2.44 (-1.90-6.78, p=.25)","-1.24 (-6.03-3.54, p=.59)","-0.32 (-3.97-3.34, p=.86)","0.81 (-4.10-5.72, p=.73)","-0.78 (-5.25-3.69, p=.72)"
"Secondary low-detection group","4,114,121","14.3","1.84 (-3.86-7.55, p=.51)","2.06 (-4.10-8.22, p=.49)","-0.99 (-6.53-4.56, p=.71)","1.37 (-3.18-5.92, p=.54)","-2.76 (-7.20-1.68, p=.21)","0.67 (-3.00-4.33, p=.71)"
"   Acute leukaemia","1,130","36.2","-21.65 (-72.85-29.56, p=.39)","-49.16 (-112.04-13.72, p=.12)","12.25 (-44.36-68.86, p=.66)","-7.21 (-59.10-44.69, p=.77)","-16.42 (-103.78-70.94, p=.70)","-8.43 (-67.73-50.86, p=.77)"
"   Brain/central nervous system tumours","39,991","26.4","4.55 (-5.39-14.49, p=.35)","-3.01 (-12.43-6.41, p=.51)","-1.29 (-10.82-8.24, p=.78)","-3.71 (-14.39-6.97, p=.48)","-5.20 (-13.26-2.86, p=.19)","6.17 (-3.14-15.48, p=.18)"
"   Breast","1,860,514","9.7","2.87 (-4.84-10.57, p=.45)","2.84 (-5.34-11.03, p=.48)","1.23 (-2.85-5.31, p=.54)","1.43 (-2.57-5.43, p=.46)","-0.56 (-6.20-5.09, p=.84)","-1.45 (-4.97-2.07, p=.40)"
"   Sarcoma","51,156","26.5","-0.70 (-10.51-9.10, p=.88)","6.87 (-11.36-25.10, p=.44)","4.16 (-9.65-17.97, p=.54)","13.62 (-6.42-33.66, p=.17)","-0.32 (-14.24-13.60, p=.96)","-7.08 (-28.71-14.56, p=.50)"
"   Skin","2,110,484","18.3","-0.45 (-6.81-5.90, p=.88)","0.71 (-5.97-7.40, p=.83)","-2.61 (-12.57-7.35, p=.59)","1.15 (-5.83-8.13, p=.73)","-4.85 (-10.06-0.35, p=.07)","1.42 (-5.23-8.06, p=.66)"
"   Testicular","37,605","18.9","-0.99 (-6.31-4.33, p=.70)","1.75 (-6.15-9.64, p=.65)","-1.44 (-9.81-6.94, p=.72)","3.25 (-5.43-11.93, p=.44)","-1.45 (-12.03-9.13, p=.78)","0.46 (-7.96-8.87, p=.91)"
"   Other","13,241","29.0","4.74 (-27.54-37.03, p=.76)","13.46 (-13.24-40.16, p=.31)","10.15 (-15.53-35.82, p=.42)","16.66 (-18.16-51.48, p=.33)","13.60 (-9.06-36.26, p=.23)","10.45 (-17.77-38.67, p=.45)"
