"CancerType","Pre-Trial Baseline","Months0-5","Months6-11","Months12-17","Months18-23","Months24-29","Months30-35"
"Primary high-detection group","424.8","12.02 (-12.96-36.99, p=.33)","8.82 (-6.15-23.79, p=.23)","10.39 (-14.84-35.63, p=.40)","32.48 (-11.23-76.18, p=.14)","40.84 (-2.73-84.41, p=.06)","47.88 (-8.68-104.44, p=.09)"
"   Head & neck","190.8","12.50 (0.49-24.52, p=.04)","15.68 (7.23-24.14, p<.001)","11.61 (-1.25-24.46, p=.07)","18.75 (1.05-36.44, p=.04)","25.07 (6.25-43.89, p=.01)","26.16 (-4.99-57.31, p=.10)"
"   Lung","47.0","-1.68 (-6.73-3.36, p=.49)","-0.01 (-5.49-5.46, p=1.00)","0.49 (-9.14-10.12, p=.92)","8.55 (-6.31-23.41, p=.24)","11.42 (-6.08-28.92, p=.19)","11.57 (-8.91-32.04, p=.25)"
"   Upper gastrointestinal","187.0","1.24 (-15.60-18.08, p=.88)","-6.77 (-18.44-4.89, p=.24)","-1.66 (-16.38-13.05, p=.82)","5.23 (-13.77-24.22, p=.57)","4.38 (-18.23-26.99, p=.69)","10.04 (-11.27-31.35, p=.34)"
"Secondary expanded high-detection group","1196.2","24.62 (-61.84-111.08, p=.56)","58.63 (-14.34-131.59, p=.11)","32.21 (-86.95-151.38, p=.58)","99.53 (-36.56-235.62, p=.14)","106.39 (-39.29-252.08, p=.14)","88.85 (-77.81-255.50, p=.28)"
"   Gynaecological cancer","201.0","0.11 (-14.10-14.32, p=.99)","2.03 (-14.80-18.85, p=.80)","-0.44 (-21.06-20.19, p=.97)","11.79 (-13.04-36.63, p=.33)","18.49 (-4.84-41.82, p=.11)","25.50 (0.10-50.90, p=.05)"
"   Haematological malignancies (excluding acute leukaemia)","17.2","2.21 (-0.01-4.44, p=.05)","2.20 (0.68-3.71, p=.007)","0.81 (-2.11-3.74, p=.57)","2.80 (-0.69-6.28, p=.11)","2.49 (0.03-4.95, p=.05)","1.58 (-1.08-4.24, p=.23)"
"   Lower gastrointestinal","396.0","-1.41 (-52.33-49.51, p=.95)","25.99 (-27.93-79.91, p=.33)","16.28 (-64.31-96.86, p=.68)","27.64 (-48.99-104.26, p=.46)","-2.89 (-83.35-77.56, p=.94)","-20.08 (-102.21-62.05, p=.62)"
"   Urological malignancies (excluding testicular)","157.3","11.68 (3.10-20.26, p=.01)","19.70 (1.52-37.88, p=.04)","5.26 (-16.32-26.84, p=.62)","24.56 (1.63-47.50, p=.04)","46.93 (10.14-83.72, p=.02)","33.57 (4.48-62.67, p=.03)"
"Secondary low-detection group","901.0","50.72 (12.76-88.68, p=.01)","57.70 (-2.77-118.18, p=.06)","53.66 (-0.16-107.47, p=.05)","59.72 (-24.72-144.16, p=.16)","64.27 (-27.96-156.50, p=.16)","40.60 (-61.33-142.54, p=.42)"
"   Acute leukaemia","0.4","0.23 (-0.18-0.63, p=.26)","-0.02 (-0.15-0.12, p=.80)","-0.06 (-0.27-0.16, p=.58)","-0.10 (-0.48-0.28, p=.60)","-0.07 (-0.25-0.11, p=.45)","-0.28 (-0.60-0.04, p=.08)"
"   Brain/central nervous system tumours","7.5","1.21 (-0.08-2.50, p=.06)","1.26 (-0.39-2.91, p=.13)","2.15 (-1.53-5.82, p=.24)","-0.72 (-2.99-1.56, p=.52)","0.45 (-5.06-5.96, p=.87)","1.39 (-4.31-7.10, p=.62)"
"   Breast","436.9","17.22 (-17.65-52.08, p=.32)","13.60 (-24.57-51.77, p=.47)","31.50 (-8.07-71.08, p=.11)","21.50 (-25.38-68.37, p=.35)","41.70 (-14.12-97.52, p=.13)","19.77 (-14.55-54.09, p=.24)"
"   Sarcoma","7.4","-0.11 (-2.24-2.02, p=.92)","0.85 (-1.73-3.44, p=.50)","3.03 (-5.61-11.68, p=.47)","2.01 (-4.94-8.96, p=.55)","0.87 (-7.80-9.54, p=.84)","2.50 (-5.69-10.69, p=.53)"
"   Skin","438.9","32.15 (4.68-59.63, p=.02)","38.25 (-9.27-85.77, p=.11)","14.88 (-22.73-52.49, p=.42)","33.63 (-31.93-99.18, p=.30)","18.23 (-54.21-90.67, p=.61)","14.85 (-83.93-113.64, p=.76)"
"   Testicular","8.7","0.09 (-1.45-1.63, p=.90)","0.92 (-1.23-3.07, p=.38)","-0.20 (-1.91-1.51, p=.81)","0.86 (-1.40-3.12, p=.44)","2.10 (0.78-3.42, p=.003)","2.38 (0.17-4.58, p=.04)"
"   Other","1.9","0.92 (-1.34-3.17, p=.41)","3.62 (-0.79-8.03, p=.10)","2.87 (-3.45-9.19, p=.35)","2.46 (-1.60-6.52, p=.22)","1.75 (-3.01-6.51, p=.45)","1.35 (-2.83-5.54, p=.51)"
