"CancerType","Total No. of Referrals","Pre-Trial Baseline","Months0-5","Months6-11","Months12-17","Months18-23","Months24-29","Months30-35"
"Primary high-detection group","1,875,236","28.6","3.18 (1.34-5.02, p=.002)","5.37 (2.22-8.52, p=.002)","4.24 (0.88-7.59, p=.02)","3.61 (-0.62-7.84, p=.09)","4.54 (-0.91-9.99, p=.10)","3.38 (-1.12-7.88, p=.13)"
"   Head & neck","932,920","27.9","2.05 (-0.97-5.07, p=.17)","4.24 (-0.38-8.87, p=.07)","3.12 (-1.09-7.33, p=.14)","3.76 (-0.78-8.30, p=.10)","3.79 (-1.44-9.03, p=.15)","2.92 (-1.74-7.57, p=.21)"
"   Lung","225,492","24.8","1.86 (-0.00-3.71, p=.05)","6.01 (2.20-9.81, p=.004)","5.05 (-0.72-10.83, p=.08)","4.97 (-0.96-10.90, p=.10)","3.95 (-3.98-11.89, p=.31)","2.00 (-5.44-9.45, p=.58)"
"   Upper gastrointestinal","716,824","30.2","4.93 (2.26-7.59, p<.001)","7.17 (3.44-10.89, p<.001)","5.69 (1.50-9.89, p=.01)","3.79 (-2.96-10.53, p=.26)","6.68 (-1.52-14.88, p=.10)","5.23 (-1.25-11.71, p=.11)"
"Secondary expanded high-detection group","5,532,510","38.4","3.35 (0.08-6.61, p=.04)","3.24 (-1.07-7.55, p=.13)","1.19 (-3.32-5.70, p=.59)","1.50 (-3.05-6.04, p=.50)","2.20 (-1.81-6.20, p=.27)","0.51 (-2.14-3.16, p=.69)"
"   Gynaecological cancer","981,770","35.3","2.83 (-0.16-5.81, p=.06)","0.14 (-4.81-5.09, p=.95)","1.86 (-4.02-7.74, p=.52)","-0.34 (-7.63-6.96, p=.92)","-0.33 (-5.81-5.14, p=.90)","-3.06 (-9.96-3.85, p=.37)"
"   Haematological malignancies (excluding acute leukaemia)","72,186","47.3","-0.66 (-7.40-6.09, p=.84)","-3.27 (-8.49-1.96, p=.21)","-2.45 (-9.33-4.42, p=.46)","-1.50 (-8.89-5.90, p=.68)","-0.47 (-10.60-9.67, p=.92)","0.42 (-7.22-8.07, p=.91)"
"   Lower gastrointestinal","1,799,073","48.9","4.16 (-1.65-9.96, p=.15)","2.74 (-4.54-10.02, p=.44)","-0.83 (-9.82-8.16, p=.85)","1.31 (-10.07-12.69, p=.81)","2.95 (-5.80-11.70, p=.49)","1.24 (-5.43-7.92, p=.70)"
"   Urological malignancies (excluding testicular)","804,245","41.3","4.44 (0.63-8.25, p=.02)","3.56 (-1.73-8.86, p=.18)","0.16 (-5.11-5.43, p=.95)","-1.66 (-5.25-1.93, p=.35)","-0.41 (-5.91-5.10, p=.88)","-1.52 (-6.42-3.38, p=.52)"
"Secondary low-detection group","4,114,121","14.3","0.37 (-4.97-5.71, p=.89)","0.89 (-5.18-6.97, p=.76)","-2.90 (-7.93-2.13, p=.24)","0.70 (-3.34-4.73, p=.72)","-1.91 (-6.25-2.43, p=.37)","-0.03 (-3.66-3.59, p=.99)"
"   Acute leukaemia","1,130","36.2","-26.10 (-76.48-24.27, p=.29)","-44.33 (-101.03-12.36, p=.12)","16.36 (-32.99-65.71, p=.50)","-18.45 (-69.69-32.79, p=.46)","-30.74 (-119.45-57.96, p=.48)","-4.09 (-57.20-49.02, p=.87)"
"   Brain/central nervous system tumours","39,991","26.4","5.66 (-7.45-18.78, p=.38)","1.07 (-6.86-9.00, p=.78)","-4.00 (-15.29-7.29, p=.47)","-5.81 (-16.30-4.68, p=.26)","-3.47 (-12.08-5.14, p=.41)","9.15 (-1.73-20.03, p=.09)"
"   Breast","1,860,514","9.7","1.63 (-5.53-8.79, p=.64)","2.06 (-6.29-10.41, p=.61)","0.57 (-3.80-4.94, p=.79)","1.12 (-3.09-5.34, p=.58)","-0.10 (-6.04-5.85, p=.97)","-0.57 (-4.08-2.94, p=.74)"
"   Sarcoma","51,156","26.5","2.55 (-9.61-14.71, p=.67)","10.53 (-7.92-28.98, p=.25)","3.27 (-16.41-22.94, p=.73)","14.08 (-11.76-39.93, p=.27)","2.13 (-16.47-20.73, p=.81)","-5.69 (-30.14-18.75, p=.63)"
"   Skin","2,110,484","18.3","-2.47 (-8.67-3.72, p=.41)","-1.48 (-7.43-4.47, p=.61)","-6.07 (-14.76-2.62, p=.16)","-0.22 (-5.37-4.93, p=.93)","-3.78 (-8.44-0.88, p=.11)","-0.86 (-6.57-4.86, p=.76)"
"   Testicular","37,605","18.9","-2.32 (-8.09-3.45, p=.41)","-2.58 (-9.68-4.51, p=.46)","-3.95 (-12.25-4.34, p=.33)","0.89 (-7.47-9.26, p=.83)","-4.69 (-16.55-7.18, p=.42)","-2.38 (-10.25-5.50, p=.54)"
"   Other","13,241","29.0","-5.06 (-26.94-16.81, p=.63)","6.74 (-11.32-24.80, p=.45)","7.33 (-9.91-24.57, p=.39)","6.48 (-20.90-33.86, p=.63)","10.19 (-10.83-31.22, p=.32)","-0.81 (-20.57-18.95, p=.93)"
