"CancerType","Pre-Trial Baseline","Months0-5","Months6-11","Months12-17","Months18-23","Months24-29","Months30-35"
"Primary high-detection group","424.8","7.35 (-24.84-39.54, p=.64)","8.27 (-8.17-24.71, p=.31)","8.75 (-18.53-36.03, p=.51)","21.02 (-13.43-55.46, p=.22)","36.87 (-5.30-79.03, p=.08)","39.97 (-11.31-91.24, p=.12)"
"   Head & neck","190.8","9.86 (-2.85-22.56, p=.12)","14.68 (6.13-23.22, p=.002)","10.32 (-1.29-21.93, p=.08)","14.78 (1.27-28.29, p=.03)","23.63 (5.93-41.34, p=.01)","18.10 (-7.27-43.48, p=.15)"
"   Lung","47.0","-1.42 (-6.59-3.76, p=.57)","0.13 (-4.76-5.02, p=.96)","0.64 (-10.12-11.41, p=.90)","6.14 (-6.04-18.33, p=.31)","10.10 (-6.06-26.26, p=.21)","11.33 (-7.04-29.70, p=.21)"
"   Upper gastrointestinal","187.0","-1.12 (-24.44-22.19, p=.92)","-6.50 (-21.88-8.89, p=.39)","-2.21 (-20.60-16.17, p=.80)","0.19 (-19.33-19.71, p=.98)","3.28 (-21.56-28.11, p=.79)","10.53 (-12.18-33.23, p=.35)"
"Secondary expanded high-detection group","1196.2","0.42 (-99.56-100.40, p=.99)","47.86 (-28.00-123.71, p=.20)","1.15 (-114.73-117.02, p=.98)","67.74 (-42.11-177.60, p=.21)","58.13 (-62.18-178.43, p=.33)","35.46 (-103.41-174.33, p=.60)"
"   Gynaecological cancer","201.0","-3.10 (-20.04-13.85, p=.71)","0.99 (-18.53-20.52, p=.92)","-4.67 (-27.65-18.30, p=.68)","16.70 (-9.36-42.76, p=.20)","16.93 (-6.46-40.31, p=.15)","16.95 (-4.11-38.01, p=.11)"
"   Haematological malignancies (excluding acute leukaemia)","17.2","2.11 (-0.53-4.74, p=.11)","2.40 (0.46-4.34, p=.02)","0.52 (-3.12-4.16, p=.77)","3.16 (-0.27-6.59, p=.07)","2.31 (-0.29-4.92, p=.08)","1.52 (-1.78-4.81, p=.35)"
"   Lower gastrointestinal","396.0","-15.70 (-70.19-38.79, p=.55)","13.52 (-39.40-66.44, p=.60)","-14.11 (-88.81-60.58, p=.70)","1.35 (-54.64-57.35, p=.96)","-37.27 (-99.42-24.88, p=.23)","-52.83 (-127.48-21.81, p=.16)"
"   Urological malignancies (excluding testicular)","157.3","9.74 (1.67-17.81, p=.02)","22.71 (4.09-41.34, p=.02)","10.75 (-10.11-31.62, p=.30)","25.18 (1.09-49.28, p=.04)","38.76 (5.53-71.98, p=.02)","29.56 (1.07-58.06, p=.04)"
"Secondary low-detection group","901.0","44.57 (1.74-87.40, p=.04)","51.68 (-17.42-120.77, p=.13)","47.65 (-7.67-102.98, p=.09)","59.06 (-43.01-161.12, p=.24)","58.23 (-49.01-165.46, p=.27)","34.83 (-97.97-167.62, p=.59)"
"   Acute leukaemia","0.4","0.17 (-0.23-0.57, p=.38)","-0.06 (-0.22-0.10, p=.42)","-0.09 (-0.31-0.13, p=.43)","-0.11 (-0.50-0.28, p=.57)","0.00 (-0.23-0.24, p=.98)","-0.29 (-0.66-0.07, p=.11)"
"   Brain/central nervous system tumours","7.5","1.22 (-0.08-2.51, p=.06)","1.17 (-0.88-3.21, p=.25)","1.77 (-1.96-5.49, p=.33)","-0.75 (-3.33-1.84, p=.55)","-1.35 (-7.78-5.07, p=.67)","-0.24 (-6.14-5.66, p=.93)"
"   Breast","436.9","8.90 (-21.82-39.62, p=.55)","-1.11 (-35.33-33.10, p=.95)","19.83 (-18.45-58.10, p=.29)","7.37 (-36.96-51.70, p=.73)","26.30 (-26.75-79.34, p=.31)","8.97 (-22.38-40.32, p=.56)"
"   Sarcoma","7.4","0.03 (-1.97-2.02, p=.98)","1.68 (-0.91-4.26, p=.19)","6.82 (-3.64-17.27, p=.19)","4.57 (-4.91-14.05, p=.33)","4.38 (-5.76-14.53, p=.38)","4.69 (-6.09-15.47, p=.38)"
"   Skin","438.9","35.31 (5.76-64.87, p=.02)","46.58 (-11.74-104.90, p=.11)","18.87 (-21.15-58.89, p=.34)","44.65 (-41.63-130.92, p=.29)","26.91 (-65.64-119.45, p=.55)","20.34 (-114.84-155.53, p=.76)"
"   Testicular","8.7","-0.10 (-1.99-1.79, p=.91)","0.94 (-1.30-3.17, p=.39)","0.49 (-1.15-2.13, p=.54)","0.97 (-1.28-3.22, p=.38)","2.40 (0.99-3.81, p=.002)","2.68 (0.48-4.87, p=.02)"
"   Other","1.9","0.21 (-2.41-2.84, p=.87)","2.88 (-1.83-7.59, p=.22)","1.29 (-6.22-8.79, p=.72)","1.69 (-2.60-5.97, p=.42)","0.47 (-5.62-6.56, p=.87)","0.49 (-4.26-5.24, p=.83)"
