"CancerType","Total No. of Referrals","Pre-Trial Baseline","Months0-5","Months6-11","Months12-17","Months18-23","Months24-29","Months30-35"
"Primary high-detection group","1,875,236","28.6","3.93 (2.75-5.12, p<.001)","5.84 (3.84-7.84, p<.001)","4.83 (2.47-7.19, p<.001)","3.44 (0.06-6.83, p=.05)","3.29 (-1.66-8.23, p=.18)","2.74 (-2.12-7.59, p=.25)"
"   Head & neck","932,920","27.9","3.55 (0.26-6.83, p=.04)","5.35 (2.27-8.44, p=.002)","4.58 (1.02-8.13, p=.01)","3.67 (-0.43-7.77, p=.08)","3.72 (-0.97-8.40, p=.11)","3.27 (-0.99-7.53, p=.12)"
"   Lung","225,492","24.8","2.13 (-0.08-4.35, p=.06)","5.87 (2.03-9.70, p=.005)","0.70 (-3.55-4.94, p=.74)","0.68 (-4.85-6.20, p=.80)","-2.05 (-9.35-5.25, p=.57)","-3.10 (-10.02-3.83, p=.36)"
"   Upper gastrointestinal","716,824","30.2","4.56 (0.89-8.22, p=.02)","6.87 (2.15-11.58, p=.006)","6.52 (0.93-12.11, p=.02)","4.97 (-4.11-14.06, p=.27)","5.38 (-3.76-14.53, p=.23)","4.85 (-2.67-12.37, p=.19)"
"Secondary expanded high-detection group","5,532,510","38.4","3.47 (1.80-5.13, p<.001)","3.67 (1.45-5.90, p=.003)","2.53 (-1.76-6.82, p=.23)","2.92 (-2.66-8.50, p=.29)","2.62 (-2.86-8.09, p=.33)","1.57 (-2.63-5.78, p=.44)"
"   Gynaecological cancer","981,770","35.3","1.85 (-0.59-4.30, p=.13)","0.97 (-3.27-5.20, p=.64)","4.61 (-1.39-10.61, p=.12)","0.49 (-7.56-8.54, p=.90)","0.64 (-4.60-5.87, p=.80)","1.09 (-5.44-7.61, p=.73)"
"   Haematological malignancies (excluding acute leukaemia)","72,186","47.3","1.52 (-4.64-7.68, p=.61)","1.89 (-4.18-7.96, p=.52)","0.10 (-6.76-6.96, p=.98)","2.87 (-4.55-10.28, p=.43)","3.83 (-4.93-12.59, p=.37)","-1.07 (-8.77-6.62, p=.77)"
"   Lower gastrointestinal","1,799,073","48.9","3.64 (0.17-7.11, p=.04)","2.45 (-1.37-6.28, p=.20)","0.75 (-6.78-8.29, p=.84)","3.59 (-7.53-14.71, p=.51)","2.97 (-7.23-13.18, p=.55)","1.35 (-7.48-10.18, p=.75)"
"   Urological malignancies (excluding testicular)","804,245","41.3","4.60 (2.18-7.01, p<.001)","2.49 (-2.27-7.25, p=.29)","-1.00 (-6.89-4.89, p=.73)","2.23 (-2.92-7.39, p=.38)","3.62 (-1.80-9.04, p=.18)","2.37 (-3.63-8.37, p=.42)"
"Secondary low-detection group","4,114,121","14.3","2.94 (-1.53-7.41, p=.19)","1.82 (-4.08-7.73, p=.53)","-0.86 (-6.12-4.39, p=.74)","-0.06 (-5.55-5.42, p=.98)","-1.21 (-5.84-3.42, p=.59)","1.04 (-2.87-4.95, p=.58)"
"   Acute leukaemia","1,130","36.2","-37.07 (-93.97-19.84, p=.19)","-22.56 (-81.60-36.48, p=.43)","27.07 (-27.05-81.19, p=.31)","20.97 (-21.51-63.46, p=.31)","24.93 (-41.29-91.15, p=.44)","0.19 (-56.99-57.38, p=.99)"
"   Brain/central nervous system tumours","39,991","26.4","0.47 (-7.88-8.81, p=.91)","-3.58 (-13.13-5.96, p=.44)","2.01 (-11.09-15.10, p=.75)","-3.29 (-14.35-7.76, p=.54)","-5.89 (-12.00-0.21, p=.06)","3.08 (-3.66-9.82, p=.35)"
"   Breast","1,860,514","9.7","1.98 (-4.65-8.61, p=.54)","-1.33 (-9.78-7.13, p=.75)","0.09 (-6.42-6.59, p=.98)","4.62 (-3.15-12.39, p=.23)","3.24 (-4.96-11.43, p=.42)","1.64 (-3.08-6.36, p=.48)"
"   Sarcoma","51,156","26.5","-2.53 (-15.60-10.55, p=.69)","12.79 (-8.92-34.49, p=.23)","12.25 (-9.96-34.46, p=.26)","23.97 (0.50-47.45, p=.05)","15.06 (3.16-26.96, p=.02)","11.35 (-10.88-33.58, p=.30)"
"   Skin","2,110,484","18.3","3.33 (-1.56-8.22, p=.17)","3.72 (-2.23-9.67, p=.21)","-1.22 (-13.99-11.56, p=.84)","-4.82 (-18.12-8.49, p=.46)","-4.99 (-11.80-1.83, p=.14)","-0.50 (-6.19-5.18, p=.86)"
"   Testicular","37,605","18.9","-1.57 (-7.51-4.37, p=.59)","-1.36 (-7.35-4.63, p=.64)","-3.15 (-10.15-3.86, p=.36)","4.43 (-3.56-12.42, p=.26)","-0.16 (-10.01-9.70, p=.97)","1.06 (-9.42-11.53, p=.84)"
"   Other","13,241","29.0","-10.58 (-42.04-20.88, p=.49)","10.17 (-8.08-28.41, p=.26)","4.92 (-11.35-21.19, p=.54)","8.00 (-15.76-31.75, p=.49)","6.36 (-12.14-24.87, p=.48)","8.03 (-5.70-21.76, p=.24)"
