"CancerType","Pre-Trial Baseline","Months0-5","Months6-11","Months12-17","Months18-23","Months24-29","Months30-35"
"Primary high-detection group","424.8","28.65 (1.52-55.78, p=.04)","21.04 (5.66-36.43, p=.010)","30.35 (3.20-57.49, p=.03)","29.66 (-2.97-62.30, p=.07)","32.73 (-11.40-76.86, p=.14)","33.31 (-15.25-81.86, p=.17)"
"   Head & neck","190.8","14.96 (2.39-27.53, p=.02)","13.01 (5.94-20.08, p=.001)","13.39 (2.74-24.04, p=.02)","19.06 (4.44-33.67, p=.01)","20.10 (1.83-38.37, p=.03)","19.13 (-5.11-43.36, p=.12)"
"   Lung","47.0","1.28 (-4.73-7.30, p=.66)","3.10 (-2.59-8.78, p=.27)","2.02 (-7.37-11.41, p=.66)","3.61 (-6.13-13.34, p=.45)","6.50 (-7.97-20.98, p=.36)","6.29 (-9.77-22.35, p=.42)"
"   Upper gastrointestinal","187.0","12.29 (-3.22-27.79, p=.11)","4.99 (-8.74-18.72, p=.46)","14.90 (-0.83-30.62, p=.06)","7.22 (-10.63-25.06, p=.41)","6.29 (-16.50-29.08, p=.57)","7.99 (-13.37-29.36, p=.44)"
"Secondary expanded high-detection group","1196.2","61.51 (-8.11-131.13, p=.08)","107.05 (42.27-171.82, p=.003)","81.93 (-8.09-171.95, p=.07)","112.65 (11.90-213.40, p=.03)","84.83 (-18.54-188.20, p=.10)","65.84 (-48.05-179.74, p=.24)"
"   Gynaecological cancer","201.0","4.80 (-12.68-22.29, p=.57)","16.73 (-14.52-47.99, p=.28)","6.24 (-16.59-29.07, p=.58)","15.67 (-10.14-41.48, p=.22)","19.23 (-5.03-43.49, p=.11)","17.59 (-2.98-38.17, p=.09)"
"   Haematological malignancies (excluding acute leukaemia)","17.2","3.72 (-0.76-8.20, p=.10)","4.20 (0.08-8.32, p=.05)","3.97 (-1.55-9.50, p=.15)","4.96 (-1.35-11.27, p=.12)","4.93 (-0.84-10.70, p=.09)","5.16 (-1.12-11.43, p=.10)"
"   Lower gastrointestinal","396.0","20.46 (-27.65-68.57, p=.39)","47.72 (-11.04-106.48, p=.11)","41.12 (-14.49-96.72, p=.14)","40.38 (-7.27-88.03, p=.09)","-2.49 (-50.95-45.96, p=.92)","-16.04 (-73.60-41.51, p=.57)"
"   Urological malignancies (excluding testicular)","157.3","3.97 (-7.90-15.84, p=.49)","17.47 (-2.06-37.01, p=.08)","0.31 (-18.97-19.59, p=.97)","21.50 (-5.60-48.60, p=.11)","29.70 (-5.85-65.25, p=.10)","25.47 (-6.26-57.20, p=.11)"
"Secondary low-detection group","901.0","41.80 (10.48-73.12, p=.01)","90.15 (-18.99-199.29, p=.10)","81.55 (5.79-157.31, p=.04)","89.43 (-52.75-231.61, p=.20)","61.71 (-55.24-178.67, p=.28)","43.36 (-109.07-195.79, p=.56)"
"   Acute leukaemia","0.4","0.37 (-0.06-0.80, p=.09)","0.04 (-0.11-0.19, p=.57)","-0.03 (-0.22-0.17, p=.77)","0.21 (-0.33-0.74, p=.43)","0.44 (-0.25-1.12, p=.20)","0.11 (-0.38-0.60, p=.63)"
"   Brain/central nervous system tumours","7.5","0.71 (-0.46-1.88, p=.22)","1.75 (-0.04-3.54, p=.05)","2.15 (-1.12-5.42, p=.18)","0.33 (-1.74-2.40, p=.74)","1.30 (-2.12-4.73, p=.44)","1.29 (-3.05-5.63, p=.54)"
"   Breast","436.9","10.42 (-21.26-42.10, p=.50)","38.17 (-18.11-94.44, p=.17)","43.18 (-5.85-92.22, p=.08)","24.75 (-42.54-92.04, p=.45)","42.60 (-48.23-133.43, p=.34)","11.56 (-60.47-83.60, p=.74)"
"   Sarcoma","7.4","-0.08 (-1.96-1.80, p=.93)","1.93 (-0.31-4.16, p=.09)","1.17 (-3.94-6.28, p=.64)","0.73 (-5.26-6.71, p=.80)","-1.46 (-7.96-5.03, p=.64)","-2.35 (-10.69-5.99, p=.56)"
"   Skin","438.9","29.86 (3.08-56.64, p=.03)","45.15 (-17.75-108.06, p=.15)","33.22 (-11.61-78.05, p=.14)","64.74 (-27.82-157.29, p=.16)","17.88 (-48.54-84.31, p=.58)","31.54 (-72.29-135.37, p=.53)"
"   Testicular","8.7","0.50 (-1.35-2.35, p=.58)","1.13 (-1.05-3.31, p=.29)","0.27 (-1.49-2.02, p=.76)","0.65 (-2.26-3.55, p=.65)","1.70 (-0.63-4.03, p=.14)","1.93 (-1.47-5.33, p=.25)"
"   Other","1.9","1.00 (-0.36-2.36, p=.14)","4.43 (0.93-7.93, p=.02)","3.81 (-0.96-8.59, p=.11)","1.42 (-2.67-5.52, p=.48)","2.21 (-0.88-5.29, p=.15)","0.56 (-2.89-4.02, p=.74)"
