"CancerType","Pre-Trial Baseline","Months0-5","Months6-11","Months12-17","Months18-23","Months24-29","Months30-35"
"Primary high-detection group","351.0","20.47 (-0.00-40.95, p=.05)","17.98 (-2.32-38.28, p=.08)","15.64 (-13.56-44.85, p=.28)","18.47 (-16.51-53.44, p=.28)","20.91 (-21.27-63.08, p=.31)","19.81 (-33.37-72.99, p=.45)"
"   Head & neck","157.5","14.84 (0.50-29.17, p=.04)","9.45 (-0.53-19.44, p=.06)","3.30 (-11.91-18.51, p=.66)","9.14 (-7.53-25.82, p=.27)","9.22 (-12.94-31.38, p=.40)","7.23 (-23.00-37.45, p=.62)"
"   Lung","38.8","0.06 (-4.47-4.59, p=.98)","0.86 (-5.56-7.29, p=.78)","0.06 (-9.46-9.58, p=.99)","2.07 (-10.65-14.79, p=.74)","3.54 (-11.85-18.93, p=.64)","3.77 (-14.11-21.66, p=.66)"
"   Upper gastrointestinal","154.7","5.49 (-3.43-14.42, p=.21)","7.74 (-3.67-19.16, p=.17)","12.29 (-1.86-26.44, p=.08)","7.60 (-7.90-23.09, p=.32)","8.39 (-9.09-25.86, p=.33)","8.91 (-10.11-27.92, p=.34)"
"Secondary expanded high-detection group","983.7","47.93 (-19.41-115.28, p=.15)","110.81 (28.58-193.05, p=.01)","62.78 (-48.27-173.83, p=.25)","94.45 (-18.92-207.83, p=.10)","80.94 (-37.24-199.12, p=.17)","62.72 (-67.91-193.36, p=.33)"
"   Gynaecological cancer","165.6","3.93 (-8.72-16.57, p=.52)","14.46 (-8.27-37.18, p=.20)","2.86 (-19.71-25.42, p=.79)","15.78 (-10.57-42.13, p=.23)","18.00 (-9.59-45.59, p=.19)","14.62 (-11.32-40.56, p=.25)"
"   Haematological malignancies (excluding acute leukaemia)","14.1","2.44 (-0.43-5.30, p=.09)","2.83 (0.60-5.07, p=.02)","2.08 (-1.14-5.31, p=.19)","3.10 (-0.65-6.86, p=.10)","2.37 (-0.84-5.58, p=.14)","2.59 (-0.87-6.05, p=.13)"
"   Lower gastrointestinal","325.2","11.78 (-21.59-45.15, p=.47)","60.49 (9.94-111.04, p=.02)","39.34 (-25.59-104.26, p=.22)","34.99 (-19.91-89.89, p=.20)","10.99 (-44.79-66.77, p=.69)","2.06 (-55.55-59.66, p=.94)"
"   Urological malignancies (excluding testicular)","127.6","9.53 (-2.02-21.08, p=.10)","15.04 (-2.49-32.57, p=.09)","2.63 (-17.53-22.78, p=.79)","21.38 (-0.41-43.18, p=.05)","27.97 (1.29-54.65, p=.04)","23.27 (-3.97-50.51, p=.09)"
"Secondary low-detection group","741.5","27.15 (-19.14-73.43, p=.24)","36.89 (-38.44-112.22, p=.32)","33.69 (-37.07-104.45, p=.33)","27.03 (-77.45-131.51, p=.60)","16.65 (-92.78-126.08, p=.75)","-3.28 (-118.88-112.33, p=.95)"
"   Acute leukaemia","0.3","0.10 (-0.11-0.32, p=.33)","0.08 (-0.07-0.24, p=.28)","0.01 (-0.08-0.10, p=.79)","0.08 (-0.15-0.31, p=.46)","0.22 (-0.24-0.67, p=.33)","0.05 (-0.15-0.26, p=.60)"
"   Brain/central nervous system tumours","6.2","0.82 (-0.72-2.36, p=.28)","0.49 (-1.58-2.55, p=.63)","0.46 (-3.03-3.95, p=.79)","-1.52 (-4.34-1.29, p=.27)","-1.22 (-5.35-2.92, p=.55)","-1.18 (-5.82-3.46, p=.60)"
"   Breast","361.5","1.05 (-17.96-20.07, p=.91)","22.38 (-13.60-58.36, p=.21)","26.42 (-16.50-69.33, p=.21)","16.58 (-23.96-57.12, p=.40)","28.10 (-22.49-78.70, p=.26)","9.23 (-33.10-51.56, p=.65)"
"   Sarcoma","6.1","0.72 (-1.52-2.96, p=.51)","-0.85 (-5.28-3.59, p=.69)","-0.33 (-6.59-5.94, p=.91)","-2.04 (-10.58-6.50, p=.62)","-3.51 (-10.95-3.93, p=.34)","-3.37 (-10.66-3.91, p=.35)"
"   Skin","359.4","21.05 (-17.93-60.04, p=.27)","9.09 (-57.90-76.08, p=.78)","0.69 (-59.07-60.44, p=.98)","9.04 (-85.48-103.56, p=.84)","-12.64 (-112.43-87.16, p=.79)","-13.21 (-123.03-96.61, p=.80)"
"   Testicular","7.0","0.76 (-0.98-2.50, p=.37)","1.50 (-1.04-4.04, p=.23)","1.18 (-0.95-3.31, p=.26)","2.08 (-0.80-4.95, p=.15)","2.51 (0.56-4.46, p=.01)","2.68 (-0.06-5.42, p=.05)"
"   Other","1.3","2.62 (0.19-5.05, p=.04)","5.36 (0.23-10.49, p=.04)","6.17 (-1.64-13.98, p=.11)","3.83 (-1.59-9.24, p=.16)","3.68 (-1.37-8.72, p=.14)","2.98 (-1.97-7.92, p=.22)"
