"CancerType","Pre-Trial Baseline","Months0-5","Months6-11","Months12-17","Months18-23","Months24-29","Months30-35"
"Primary high-detection group","28.6","3.42 (2.01-4.82), p<.001","4.75 (2.13-7.83), p<.001","2.74 (0.19-5.58), p=.04","1.29 (-2.07-5.38), p=.44","1.20 (-2.94-6.18), p=.56","0.53 (-3.32-4.54), p=.83"
"   Head & neck","27.9","1.95 (-0.95-4.36), p=.17","3.87 (1.13-7.12), p=.009","2.51 (-0.66-5.84), p=.10","2.05 (-1.18-6.19), p=.25","1.28 (-3.27-6.07), p=.54","0.85 (-2.80-4.92), p=.62"
"   Lung","24.8","2.16 (-0.21-4.51), p=.08","4.21 (-0.38-8.96), p=.07","0.62 (-4.47-5.93), p=.76","0.03 (-5.81-5.42), p=.99","-1.52 (-9.12-4.94), p=.66","-3.50 (-9.43-2.65), p=.23"
"   Upper gastrointestinal","30.2","4.79 (1.08-8.55), p=.01","5.94 (2.03-10.42), p=.003","3.33 (-1.21-8.50), p=.16","1.15 (-5.02-8.13), p=.75","2.25 (-4.15-9.52), p=.49","1.48 (-5.24-8.51), p=.64"
"Secondary expanded high-detection group","38.4","3.73 (1.13-6.49), p=.01","3.91 (0.50-7.45), p=.03","1.54 (-2.50-5.36), p=.38","1.51 (-2.77-6.06), p=.49","1.25 (-2.89-5.87), p=.54","-0.06 (-3.55-3.57), p=.98"
"   Gynaecological cancer","35.3","2.76 (-0.30-5.70), p=.08","1.98 (-3.62-7.37), p=.49","3.87 (-2.89-10.02), p=.26","1.87 (-6.35-8.74), p=.58","-0.46 (-5.72-4.38), p=.86","-1.26 (-7.43-3.81), p=.63"
"   Haematological malignancies (excluding acute leukaemia)","47.3","0.19 (-6.05-6.44), p=.95","-1.44 (-8.20-5.31), p=.68","-3.41 (-11.74-4.95), p=.45","-3.17 (-14.86-7.04), p=.67","-2.23 (-14.79-9.70), p=.76","-5.42 (-16.98-3.71), p=.43"
"   Lower gastrointestinal","48.9","4.55 (-0.45-9.31), p=.08","3.63 (-1.82-9.15), p=.20","-0.23 (-7.04-6.60), p=.94","1.41 (-8.26-12.54), p=.78","2.33 (-6.54-11.63), p=.57","0.21 (-6.93-8.03), p=.94"
"   Urological malignancies (excluding testicular)","41.3","4.10 (0.37-7.51), p=.03","2.96 (-1.71-7.71), p=.22","0.01 (-5.64-4.71), p=1.00","1.63 (-2.71-5.78), p=.45","1.82 (-3.30-6.54), p=.40","0.58 (-4.45-5.79), p=.82"
"Secondary low-detection group","14.3","0.03 (-5.14-5.23), p=.99","0.20 (-5.65-6.49), p=.93","-1.58 (-5.45-2.96), p=.45","-0.54 (-6.96-5.36), p=.87","-2.51 (-8.60-3.17), p=.42","-1.01 (-6.32-3.93), p=.76"
"   Brain/central nervous system tumours","26.4","1.16 (-7.14-10.79), p=.80","-0.48 (-7.64-8.02), p=.90","-0.29 (-10.45-13.56), p=.96","-5.41 (-18.54-6.45), p=.49","-6.69 (-16.35-4.18), p=.24","2.00 (-10.36-18.38), p=.78"
"   Breast","9.7","0.25 (-6.84-7.10), p=.94","-1.55 (-8.59-7.31), p=.67","-0.96 (-6.22-4.07), p=.72","0.62 (-4.99-6.18), p=.85","-1.21 (-7.43-5.30), p=.66","-0.79 (-5.22-3.72), p=.71"
"   Sarcoma","26.5","0.48 (-14.72-11.32), p=.91","4.59 (-10.38-13.19), p=.32","7.97 (-7.19-24.33), p=.26","5.76 (-7.99-20.46), p=.33","12.70 (0.08-28.20), p=.05","11.45 (0.05-23.14), p=.05"
"   Skin","18.3","-1.28 (-7.34-4.79), p=.68","0.35 (-5.55-7.16), p=.91","-2.73 (-9.60-5.41), p=.44","-2.52 (-11.03-6.58), p=.60","-4.40 (-12.89-3.37), p=.31","-2.65 (-10.67-5.05), p=.52"
"   Testicular","18.9","2.38 (-3.63-9.31), p=.56","2.72 (-4.75-9.30), p=.42","0.41 (-6.74-7.09), p=.90","2.38 (-4.36-8.73), p=.44","-0.95 (-8.14-5.38), p=.75","1.15 (-6.11-9.70), p=.75"
"   Other","29.0","9.36 (-11.18-30.44), p=.35","5.07 (-28.66-29.62), p=.66","6.35 (-25.88-31.52), p=.63","8.12 (-16.71-31.94), p=.47","5.30 (-21.02-36.47), p=.64","1.92 (-18.89-18.62), p=.78"
