"CancerType","Pre-Trial Baseline","Months0-5","Months6-11","Months12-17","Months18-23","Months24-29","Months30-35"
"Primary high-detection group","424.8","23.84 (-0.34-49.98), p=.06","15.59 (-3.44-31.71), p=.09","13.39 (-13.59-38.09), p=.29","17.39 (-14.40-49.96), p=.25","19.27 (-22.97-67.73), p=.37","17.45 (-28.97-78.10), p=.48"
"   Head & neck","190.8","13.25 (-3.34-27.12), p=.13","12.77 (2.17-21.96), p=.02","6.68 (-7.88-17.85), p=.29","12.93 (-2.62-27.19), p=.10","12.82 (-5.65-35.77), p=.20","10.56 (-16.17-42.71), p=.45"
"   Lung","47.0","-0.30 (-5.27-3.83), p=.88","0.30 (-5.55-6.35), p=.90","-0.49 (-9.02-8.37), p=.90","1.57 (-9.16-14.10), p=.78","3.02 (-10.92-19.31), p=.71","3.21 (-12.44-21.07), p=.70"
"   Upper gastrointestinal","187.0","10.85 (-0.92-24.86), p=.08","2.56 (-7.53-12.19), p=.58","7.18 (-6.37-20.64), p=.28","3.06 (-14.63-17.09), p=.72","3.56 (-14.19-21.05), p=.68","3.73 (-14.90-26.45), p=.71"
"Secondary expanded high-detection group","1196.2","62.86 (-22.46-141.92), p=.14","99.16 (11.20-176.38), p=.03","51.17 (-67.62-153.21), p=.34","83.13 (-43.90-197.98), p=.17","69.50 (-59.71-186.57), p=.23","51.11 (-85.61-179.48), p=.37"
"   Gynaecological cancer","201.0","7.19 (-8.17-23.34), p=.39","10.67 (-11.88-31.75), p=.31","-1.00 (-21.19-19.17), p=.91","11.07 (-16.18-37.17), p=.37","13.59 (-8.52-42.87), p=.29","10.66 (-10.60-36.61), p=.37"
"   Haematological malignancies (excluding acute leukaemia)","17.2","2.69 (0.08-5.44), p=.05","2.87 (0.58-5.44), p=.01","2.12 (-1.66-5.48), p=.25","3.07 (-1.19-7.46), p=.16","2.36 (-0.90-6.31), p=.19","2.63 (-0.74-6.66), p=.17"
"   Lower gastrointestinal","396.0","20.40 (-23.95-62.11), p=.31","55.69 (4.05-103.89), p=.03","34.59 (-36.53-104.24), p=.31","30.73 (-28.29-88.07), p=.31","6.50 (-52.69-62.08), p=.82","-2.73 (-60.91-48.99), p=.92"
"   Urological malignancies (excluding testicular)","157.3","8.80 (-3.08-20.23), p=.15","14.48 (-3.28-31.44), p=.10","2.04 (-19.12-21.39), p=.81","20.47 (-6.80-44.66), p=.13","27.22 (-2.35-53.18), p=.07","22.71 (-11.44-50.47), p=.16"
"Secondary low-detection group","901.0","33.31 (-11.97-69.90), p=.14","39.62 (-34.10-109.33), p=.24","36.23 (-32.27-102.36), p=.25","28.33 (-77.48-120.46), p=.56","18.50 (-104.89-119.65), p=.71","-0.65 (-117.39-105.92), p=.99"
"   Brain/central nervous system tumours","7.5","0.33 (-0.51-1.39), p=.47","0.88 (-0.72-2.62), p=.27","0.93 (-1.56-4.20), p=.49","-0.97 (-3.17-1.64), p=.42","-0.65 (-4.11-3.18), p=.70","-0.66 (-4.62-3.74), p=.73"
"   Breast","436.9","5.62 (-18.82-35.82), p=.67","17.98 (-21.57-52.32), p=.31","21.78 (-11.77-57.07), p=.18","10.60 (-24.41-47.91), p=.55","22.86 (-19.04-72.51), p=.29","4.70 (-33.22-46.47), p=.79"
"   Sarcoma","7.4","-0.38 (-3.03-2.47), p=.75","0.91 (-1.88-3.97), p=.54","1.32 (-3.70-7.64), p=.62","-0.74 (-7.74-6.17), p=.81","-1.92 (-8.30-4.45), p=.51","-1.67 (-8.62-5.38), p=.61"
"   Skin","438.9","25.32 (-13.16-64.49), p=.22","14.39 (-45.81-71.23), p=.64","6.02 (-54.53-61.35), p=.80","14.57 (-69.93-101.07), p=.74","-7.21 (-103.68-81.72), p=.87","-7.89 (-114.48-92.01), p=.89"
"   Testicular","8.7","0.76 (-0.90-3.02), p=.60","1.12 (-1.47-4.46), p=.56","0.80 (-1.17-3.49), p=.63","1.71 (-1.07-5.11), p=.35","2.14 (0.20-4.30), p=.03","2.30 (-1.03-5.29), p=.17"
"   Other","1.9","2.03 (-0.09-4.18), p=.06","5.85 (0.37-11.57), p=.03","6.64 (-0.35-16.38), p=.09","4.32 (-1.37-9.96), p=.18","4.14 (-1.24-9.77), p=.16","3.35 (-1.63-8.67), p=.31"
