"CancerType","Total No. of Referrals","Pre-Trial Baseline","Months0-5","Months6-11","Months12-17","Months18-23"
"Primary high-detection group","1,395,926","8.7","0.43 (0.09-0.78, p=.02)","0.48 (-0.05-1.01, p=.08)","0.26 (-0.25-0.78, p=.29)","-0.29 (-0.81-0.22, p=.25)"
"   Head & neck","680,657","8.9","0.10 (-0.77-0.97, p=.82)","0.78 (-0.27-1.84, p=.14)","0.37 (-0.28-1.02, p=.25)","0.13 (-0.86-1.13, p=.78)"
"   Lung","164,611","8.0","0.21 (-0.39-0.81, p=.48)","0.38 (-0.13-0.89, p=.14)","0.50 (-0.24-1.23, p=.18)","0.58 (-0.19-1.34, p=.13)"
"   Upper gastrointestinal","550,658","8.7","0.87 (0.11-1.63, p=.03)","0.14 (-0.46-0.75, p=.63)","0.05 (-0.83-0.94, p=.90)","-1.01 (-1.69--0.33, p=.006)"
"Secondary expanded high-detection group","4,085,377","8.8","0.24 (-0.25-0.72, p=.32)","0.11 (-0.64-0.87, p=.76)","-0.39 (-0.97-0.20, p=.18)","-0.80 (-1.44--0.16, p=.02)"
"   Gynaecological cancer","689,736","8.9","0.30 (-0.19-0.78, p=.22)","-0.28 (-1.23-0.67, p=.55)","-0.18 (-1.04-0.68, p=.67)","-0.88 (-2.50-0.73, p=.27)"
"   Haematological malignancies (excluding acute leukaemia)","57,707","8.1","0.25 (-0.28-0.79, p=.34)","0.13 (-0.61-0.87, p=.72)","0.09 (-0.90-1.08, p=.85)","0.59 (-0.67-1.84, p=.34)"
"   Lower gastrointestinal","1,322,937","9.1","0.03 (-1.37-1.43, p=.97)","-0.09 (-1.90-1.73, p=.92)","-1.07 (-2.36-0.23, p=.10)","-1.58 (-2.86--0.30, p=.02)"
"   Urological malignancies (excluding testicular)","619,071","8.0","0.08 (-0.56-0.71, p=.80)","-0.08 (-0.67-0.52, p=.79)","-0.74 (-1.55-0.07, p=.07)","-0.38 (-1.25-0.49, p=.37)"
"Secondary low-detection group","2,952,465","10.1","-0.39 (-2.27-1.49, p=.67)","-0.48 (-2.43-1.48, p=.62)","-0.90 (-2.65-0.84, p=.29)","-1.38 (-3.34-0.59, p=.16)"
"   Acute leukaemia","870","8.4","1.29 (0.35-2.23, p=.010)","0.03 (-1.55-1.62, p=.97)","0.35 (-3.01-3.71, p=.83)","7.39 (1.91-12.88, p=.01)"
"   Brain/central nervous system tumours","29,003","7.6","0.13 (-0.68-0.93, p=.75)","0.63 (-0.25-1.50, p=.15)","0.64 (-0.55-1.82, p=.28)","0.54 (-0.41-1.49, p=.25)"
"   Breast","1,253,356","10.3","0.16 (-2.84-3.16, p=.91)","-0.50 (-4.08-3.08, p=.77)","0.63 (-2.10-3.36, p=.63)","0.40 (-2.45-3.24, p=.78)"
"   Sarcoma","38,823","7.6","-0.67 (-2.31-0.97, p=.40)","-0.09 (-1.29-1.12, p=.88)","0.45 (-2.23-3.12, p=.73)","0.68 (-2.65-4.01, p=.67)"
"   Skin","1,589,436","10.2","-1.21 (-2.80-0.38, p=.13)","-0.46 (-2.13-1.22, p=.58)","-2.03 (-4.13-0.06, p=.06)","-2.60 (-4.98--0.21, p=.03)"
"   Testicular","29,273","7.6","0.22 (-0.11-0.54, p=.18)","0.31 (-0.25-0.87, p=.26)","-0.15 (-0.73-0.42, p=.59)","0.29 (-0.55-1.14, p=.48)"
"   Other","11,704","8.4","-1.07 (-2.95-0.80, p=.25)","-0.22 (-1.42-0.98, p=.71)","-0.87 (-2.20-0.45, p=.18)","-1.22 (-2.82-0.38, p=.13)"
