"Cancer.Alliance","mced_treated","cancer_grouping","cancer_grouping_label","time_granularity","period_label","min_monthNum","n_months","num_delayed","total_referrals","delay_rate","under_25pct_target","diff_from_25pct_target_pp","delay_rate_minus_did_estimate","adj_rate_under_25pct_target"
"Cheshire and Merseyside Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Apr 2021-Sep 2021",1,6,3832,12798,29.94,NA,NA,NA,NA
"East Midlands Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Apr 2021-Sep 2021",1,6,5450,21256,25.64,NA,NA,NA,NA
"East of England - North Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Apr 2021-Sep 2021",1,6,3262,11510,28.34,NA,NA,NA,NA
"East of England - South Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2021-Sep 2021",1,6,4019,12439,32.31,NA,NA,NA,NA
"Greater Manchester Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Apr 2021-Sep 2021",1,6,4595,13744,33.43,NA,NA,NA,NA
"Humber and North Yorkshire Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2021-Sep 2021",1,6,2271,6878,33.02,NA,NA,NA,NA
"Kent and Medway Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Apr 2021-Sep 2021",1,6,2279,7225,31.54,NA,NA,NA,NA
"Lancashire & South Cumbria Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2021-Sep 2021",1,6,2315,7748,29.88,NA,NA,NA,NA
"North Central London Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2021-Sep 2021",1,6,2273,7690,29.56,NA,NA,NA,NA
"North East London Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2021-Sep 2021",1,6,2863,6978,41.03,NA,NA,NA,NA
"Northern Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Apr 2021-Sep 2021",1,6,3069,12915,23.76,NA,NA,NA,NA
"Peninsula Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2021-Sep 2021",1,6,1782,9269,19.23,NA,NA,NA,NA
"Somerset, Wiltshire, Avon and Gloucestershire Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2021-Sep 2021",1,6,3778,14413,26.21,NA,NA,NA,NA
"South East London Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Apr 2021-Sep 2021",1,6,2271,8067,28.15,NA,NA,NA,NA
"South Yorkshire Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2021-Sep 2021",1,6,1739,5422,32.07,NA,NA,NA,NA
"Surrey and Sussex Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2021-Sep 2021",1,6,4219,15097,27.95,NA,NA,NA,NA
"Thames Valley Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2021-Sep 2021",1,6,1635,5714,28.61,NA,NA,NA,NA
"Wessex Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2021-Sep 2021",1,6,3073,12697,24.2,NA,NA,NA,NA
"West London Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2021-Sep 2021",1,6,5158,15787,32.67,NA,NA,NA,NA
"West Midlands Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Apr 2021-Sep 2021",1,6,6374,21427,29.75,NA,NA,NA,NA
"West Yorkshire and Harrogate Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2021-Sep 2021",1,6,2638,10679,24.7,NA,NA,NA,NA
"Cheshire and Merseyside Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Oct 2021-Mar 2022",7,6,4330,13621,31.79,"No",6.79,28.37,"No"
"East Midlands Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Oct 2021-Mar 2022",7,6,5476,21569,25.39,"No",0.39,21.97,"Yes"
"East of England - North Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Oct 2021-Mar 2022",7,6,3671,12104,30.33,"No",5.33,26.91,"No"
"East of England - South Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2021-Mar 2022",7,6,4019,12531,32.07,"No",7.07,NA,NA
"Greater Manchester Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Oct 2021-Mar 2022",7,6,5562,16470,33.77,"No",8.77,30.35,"No"
"Humber and North Yorkshire Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2021-Mar 2022",7,6,2094,7100,29.49,"No",4.49,NA,NA
"Kent and Medway Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Oct 2021-Mar 2022",7,6,2729,7844,34.79,"No",9.79,31.37,"No"
"Lancashire & South Cumbria Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2021-Mar 2022",7,6,2552,8688,29.37,"No",4.37,NA,NA
"North Central London Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2021-Mar 2022",7,6,2022,8036,25.16,"No",0.16,NA,NA
"North East London Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2021-Mar 2022",7,6,2078,6890,30.16,"No",5.16,NA,NA
"Northern Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Oct 2021-Mar 2022",7,6,3191,13189,24.19,"Yes",-0.81,20.77,"Yes"
"Peninsula Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2021-Mar 2022",7,6,1745,9649,18.08,"Yes",-6.92,NA,NA
"Somerset, Wiltshire, Avon and Gloucestershire Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2021-Mar 2022",7,6,3167,13849,22.87,"Yes",-2.13,NA,NA
"South East London Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Oct 2021-Mar 2022",7,6,2194,8004,27.41,"No",2.41,23.99,"Yes"
"South Yorkshire Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2021-Mar 2022",7,6,1619,5562,29.11,"No",4.11,NA,NA
"Surrey and Sussex Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2021-Mar 2022",7,6,3981,14908,26.7,"No",1.7,NA,NA
"Thames Valley Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2021-Mar 2022",7,6,1864,5956,31.3,"No",6.3,NA,NA
"Wessex Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2021-Mar 2022",7,6,2641,12674,20.84,"Yes",-4.16,NA,NA
"West London Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2021-Mar 2022",7,6,4731,16055,29.47,"No",4.47,NA,NA
"West Midlands Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Oct 2021-Mar 2022",7,6,7298,23586,30.94,"No",5.94,27.52,"No"
"West Yorkshire and Harrogate Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Oct 2021-Mar 2022",7,6,2469,10891,22.67,"Yes",-2.33,NA,NA
"Cheshire and Merseyside Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Apr 2022-Sep 2022",13,6,4515,13680,33,"No",8,28.25,"No"
