"CancerType","Months0-5","Months6-11","Months12-17","Months18-23","Months24-29","Months30-35"
"Primary high-detection group","3.24 (1.51-4.97, p<0.001)","4.32 (1.79-6.85, p=0.002)","2.67 (0.01-5.34, p=0.049)","1.30 (-1.75-4.34, p=0.385)","1.27 (-2.73-5.28, p=0.514)","0.67 (-3.29-4.62, p=0.728)"
"   Head & neck","1.99 (-0.67-4.64)","3.45 (0.77-6.14)","2.14 (-0.71-4.99)","1.27 (-1.85-4.39)","0.68 (-3.32-4.68)","0.55 (-3.54-4.64)"
"   Lung","2.16 (-0.00-4.33)","4.45 (0.10-8.80)","0.82 (-3.73-5.37)","0.46 (-4.59-5.50)","-1.14 (-7.50-5.22)","-3.25 (-8.99-2.48)"
"   Upper gastrointestinal","4.25 (-0.20-8.70)","5.21 (0.91-9.52)","3.54 (-1.77-8.85)","1.94 (-5.02-8.89)","3.00 (-3.52-9.53)","2.10 (-4.23-8.43)"
"Secondary expanded high-detection group","3.57 (0.54-6.60, p=0.023)","3.48 (-0.20-7.17, p=0.063)","1.43 (-2.39-5.26, p=0.444)","1.47 (-2.74-5.68, p=0.474)","1.29 (-2.95-5.54, p=0.532)","0.06 (-3.58-3.69, p=0.975)"
"   Gynaecological cancer","2.85 (-0.40-6.10)","1.70 (-3.72-7.12)","3.69 (-2.40-9.78)","1.48 (-6.07-9.04)","-0.73 (-6.44-4.98)","-1.39 (-7.42-4.64)"
"   Haematological malignancies (excluding acute leukaemia)","0.37 (-5.58-6.32)","-0.26 (-6.05-5.52)","-2.89 (-10.40-4.63)","-2.35 (-12.53-7.83)","-1.64 (-12.57-9.29)","-5.26 (-15.56-5.04)"
"   Lower gastrointestinal","3.99 (-1.61-9.59)","2.67 (-3.51-8.85)","-0.23 (-7.23-6.77)","1.95 (-6.89-10.78)","2.88 (-5.54-11.30)","0.81 (-6.29-7.90)"
"   Urological malignancies (excluding testicular)","4.22 (0.94-7.50)","3.66 (-0.84-8.17)","0.23 (-5.02-5.48)","1.88 (-2.56-6.32)","1.84 (-2.82-6.50)","0.48 (-4.68-5.64)"
"Secondary low-detection group","-0.17 (-5.26-4.93, p=0.946)","-0.06 (-5.73-5.60, p=0.982)","-1.55 (-5.87-2.77, p=0.462)","-0.32 (-5.51-4.88, p=0.900)","-2.30 (-7.29-2.69, p=0.348)","-0.81 (-5.67-4.05, p=0.732)"
"   Acute leukaemia","-5.63 (-16.84-5.58)","-13.90 (-32.40-4.60)","3.66 (-28.91-36.23)","9.21 (-9.16-27.57)","21.07 (6.19-35.95)","12.10 (-5.57-29.76)"
"   Brain/central nervous system tumours","2.62 (-3.35-8.58)","1.38 (-5.05-7.81)","3.00 (-6.98-12.99)","-2.13 (-12.22-7.96)","-2.20 (-9.98-5.57)","6.04 (-5.56-17.65)"
"   Breast","0.72 (-6.49-7.92)","-1.36 (-9.08-6.36)","-1.42 (-5.79-2.96)","-0.32 (-4.87-4.24)","-1.84 (-7.24-3.56)","-1.19 (-4.79-2.42)"
"   Sarcoma","0.31 (-8.79-9.40)","5.22 (-4.27-14.71)","8.36 (-4.66-21.39)","8.37 (-3.20-19.94)","15.00 (2.53-27.46)","13.19 (1.41-24.97)"
"   Skin","-1.31 (-7.52-4.90)","0.17 (-6.18-6.52)","-2.23 (-10.24-5.78)","-1.45 (-9.42-6.52)","-3.62 (-10.48-3.23)","-1.92 (-9.14-5.31)"
"   Testicular","2.65 (-3.68-8.99)","3.37 (-3.95-10.70)","0.83 (-6.15-7.81)","2.69 (-4.49-9.87)","-0.77 (-7.78-6.24)","1.15 (-6.11-8.42)"
"   Other","11.03 (-6.54-28.60)","8.41 (-10.87-27.68)","10.30 (-11.46-32.06)","11.16 (-7.79-30.12)","7.23 (-14.57-29.02)","2.88 (-9.40-15.17)"
