"CancerType","Months0-5","Months6-11","Months12-17","Months18-23","Months24-29","Months30-35"
"Primary high-detection group","3.64 (1.58-5.70, p=0.001)","5.73 (2.50-8.95, p=0.001)","3.59 (0.36-6.82, p=0.031)","2.19 (-1.58-5.96, p=0.240)","2.96 (-2.15-8.07, p=0.241)","1.82 (-2.43-6.06, p=0.383)"
"   Head & neck","2.17 (-0.34-4.67)","4.68 (1.37-7.98)","3.09 (-0.45-6.63)","2.22 (-1.56-6.00)","2.52 (-2.12-7.17)","1.75 (-2.18-5.68)"
"   Lung","2.18 (0.12-4.23)","4.43 (0.64-8.22)","1.33 (-3.22-5.88)","1.15 (-3.52-5.82)","-0.44 (-6.57-5.69)","-2.17 (-7.69-3.34)"
"   Upper gastrointestinal","5.54 (1.64-9.45)","7.94 (2.62-13.25)","4.93 (-0.24-10.09)","3.23 (-4.25-10.71)","5.37 (-2.86-13.60)","3.92 (-2.96-10.81)"
"Secondary expanded high-detection group","3.80 (0.18-7.42, p=0.041)","3.87 (-1.02-8.75, p=0.114)","1.53 (-3.17-6.23, p=0.504)","1.53 (-3.48-6.54, p=0.532)","2.23 (-2.48-6.94, p=0.334)","0.21 (-3.26-3.68, p=0.901)"
"   Gynaecological cancer","3.01 (-0.83-6.85)","0.81 (-5.17-6.79)","2.32 (-3.70-8.34)","-0.12 (-7.69-7.45)","-1.72 (-7.07-3.63)","-3.14 (-8.94-2.65)"
"   Haematological malignancies (excluding acute leukaemia)","-2.13 (-8.53-4.26)","-2.90 (-8.07-2.26)","-3.81 (-10.03-2.41)","-1.79 (-8.96-5.38)","-0.35 (-8.79-8.08)","-3.66 (-11.39-4.07)"
"   Lower gastrointestinal","4.87 (-1.32-11.05)","3.76 (-4.08-11.60)","0.33 (-8.31-8.96)","1.83 (-8.69-12.36)","4.39 (-4.33-13.12)","1.17 (-5.95-8.29)"
"   Urological malignancies (excluding testicular)","3.98 (-0.81-8.77)","2.63 (-3.74-9.01)","-0.84 (-6.83-5.15)","0.59 (-3.74-4.93)","1.70 (-4.01-7.41)","0.44 (-5.68-6.57)"
"Secondary low-detection group","0.74 (-4.39-5.86, p=0.767)","1.48 (-4.77-7.73, p=0.627)","-0.91 (-5.59-3.77, p=0.688)","0.55 (-3.95-5.06, p=0.801)","-1.32 (-6.01-3.38, p=0.565)","0.17 (-3.78-4.12, p=0.930)"
"   Acute leukaemia","-18.99 (-72.52-34.55)","-29.34 (-87.78-29.09)","20.62 (-37.24-78.49)","11.04 (-35.86-57.93)","11.78 (-62.15-85.71)","-5.97 (-68.26-56.31)"
"   Brain/central nervous system tumours","1.16 (-7.45-9.76)","-3.06 (-10.24-4.11)","-0.27 (-9.84-9.29)","-4.56 (-15.44-6.31)","-8.85 (-17.00--0.69)","2.01 (-7.77-11.79)"
"   Breast","1.15 (-6.02-8.32)","0.52 (-7.84-8.89)","0.26 (-4.01-4.53)","1.21 (-3.46-5.88)","0.04 (-6.48-6.57)","-0.32 (-4.16-3.52)"
"   Sarcoma","-1.70 (-10.27-6.87)","12.21 (-6.51-30.92)","9.23 (-5.75-24.20)","21.02 (-2.71-44.74)","9.87 (-3.14-22.87)","1.03 (-21.32-23.38)"
"   Skin","-1.00 (-6.68-4.69)","1.05 (-5.39-7.49)","-1.86 (-10.43-6.71)","-0.50 (-6.94-5.94)","-2.62 (-8.20-2.97)","-0.70 (-6.72-5.31)"
"   Testicular","0.92 (-4.47-6.32)","1.73 (-4.89-8.35)","-1.80 (-8.90-5.30)","2.05 (-6.27-10.37)","-1.27 (-10.05-7.50)","0.29 (-7.25-7.83)"
"   Other","-7.87 (-32.02-16.28)","5.38 (-17.11-27.88)","4.31 (-18.95-27.57)","7.25 (-19.40-33.89)","10.12 (-9.47-29.72)","-0.28 (-17.10-16.54)"
