"Provider Name","Code","Region","Participating in Trial"
"BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST","RY2","Cheshire and Merseyside","Yes"
"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST","RJR","Cheshire and Merseyside","Yes"
"EAST CHESHIRE NHS TRUST","RJN","Cheshire and Merseyside","Yes"
"LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST","RBQ","Cheshire and Merseyside","Yes"
"LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","REM","Cheshire and Merseyside","Yes"
"LIVERPOOL WOMEN'S NHS FOUNDATION TRUST","REP","Cheshire and Merseyside","Yes"
"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST","RBT","Cheshire and Merseyside","Yes"
"SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST","RVY","Cheshire and Merseyside","Yes"
"ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST","RBN","Cheshire and Merseyside","Yes"
"THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST","REN","Cheshire and Merseyside","Yes"
"THE WALTON CENTRE NHS FOUNDATION TRUST","RET","Cheshire and Merseyside","Yes"
"VERNOVA HEALTHCARE COMMUNITY INTEREST COMPANY","AQK","Cheshire and Merseyside","Yes"
"WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST","RWW","Cheshire and Merseyside","Yes"
"WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST","RBL","Cheshire and Merseyside","Yes"
"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST","RFS","East Midlands","Yes"
"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST","RNQ","East Midlands","Yes"
"NORTHAMPTON GENERAL HOSPITAL NHS TRUST","RNS","East Midlands","Yes"
"NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST","RX1","East Midlands","Yes"
"SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST","RK5","East Midlands","Yes"
"UNITED LINCOLNSHIRE HOSPITALS NHS TRUST","RWD","East Midlands","Yes"
"UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST","RTG","East Midlands","Yes"
"UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST","RWE","East Midlands","Yes"
"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT","East of England - North","Yes"
"CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST","RT1","East of England - North","Yes"
"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST","RDE","East of England - North","Yes"
"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGP","East of England - North","Yes"
"NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1","East of England - North","Yes"
"NORTH WEST ANGLIA NHS FOUNDATION TRUST","RGN","East of England - North","Yes"
"ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST","RGM","East of England - North","Yes"
"THE HAMPTONS HOSPITAL","S3H9L","East of England - North","Yes"
"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST","RCX","East of England - North","Yes"
"WEST SUFFOLK NHS FOUNDATION TRUST","RGR","East of England - North","Yes"
"BOLTON NHS FOUNDATION TRUST","RMC","Greater Manchester","Yes"
"MANCHESTER UNIVERSITY NHS FOUNDATION TRUST","R0A","Greater Manchester","Yes"
"PENNINE ACUTE HOSPITALS NHS TRUST","RW6","Greater Manchester","Yes"
