"mced_treated","period","num_not_told_diagnosis_outcome_within_28_days","told_diagnosis_outcome_total","told_diagnosis_outcome_within_14_days","in_15_to_28_days","told_diagnosis_outcome_in_29_to_42_days","told_diagnosis_outcome_in_43_to_62_days","told_diagnosis_outcome_after_62_days","periodNum","totalStaff","totalAbsent","totalBedsOccupied","date","percentage_not_told_diagnosis_outcome_within_28_days"
0,"1",37440,287850,183832,66578,21151,10618,5671,1,34643.8076923077,1790.18315412186,112.031393024538,"2021-04-01",0.130067743616467
0,"2",48504,295393,162353,84536,26655,13478,8371,2,34983.9615384615,2291.10855094726,344.1206319666,"2021-10-01",0.164201589069477
0,"3",46844,303939,175570,81525,24507,13511,8826,3,35381.7692307692,1933.68830989799,312.250937413841,"2022-04-01",0.154123031266142
0,"4",48706,303188,184014,70468,23315,14674,10717,4,36386.0641025641,1912.45018413486,281.127680294616,"2022-10-01",0.160646199717667
0,"5",51901,338914,186583,100430,30511,14347,7043,5,37254.5769230769,1601.98396370654,115.528086735108,"2023-04-01",0.153139144443723
0,"6",58752,349522,184460,106310,33428,15159,10165,6,38527.6153846154,1767.80829435365,118.630286262989,"2023-10-01",0.168092423366769
0,"7",51734,378739,204166,122839,30486,13380,7868,7,38845.1153846154,1654.25283981252,87.1620485249518,"2024-04-01",0.136595386268644
1,"1",32998,231086,147459,50629,16122,10199,6677,1,51108.625,3147.05565636201,184.491941084229,"2021-04-01",0.142795322953359
1,"2",43679,246055,132074,70302,23447,11072,9160,2,52760.7708333333,4028.52736015105,518.963237647209,"2021-10-01",0.177517221759363
1,"3",43182,254344,147936,63226,22596,12491,8095,3,53030.5625,3297.47663530466,496.550313620072,"2022-04-01",0.16977793853993
1,"4",40319,252769,151256,61194,17120,11978,11221,4,54762.0833333333,3252.28697196621,416.755606758833,"2022-10-01",0.159509275267141
1,"5",45587,279874,161987,72300,22569,13066,9952,5,55707.0833333333,2573.96291544477,169.004356419987,"2023-04-01",0.162884012091155
1,"6",45245,286395,160658,80492,21284,12587,11374,6,57819.6041666667,2932.34509027198,170.229634498489,"2023-10-01",0.157981110005412
1,"7",43466,306053,177898,84689,24414,11688,7364,7,58189.125,2910.49003136201,127.906563620072,"2024-04-01",0.142021153198956
