"mced_treated","period","num_not_told_diagnosis_outcome_within_28_days","told_diagnosis_outcome_total","told_diagnosis_outcome_within_14_days","in_15_to_28_days","told_diagnosis_outcome_in_29_to_42_days","told_diagnosis_outcome_in_43_to_62_days","told_diagnosis_outcome_after_62_days","periodNum","totalStaff","totalAbsent","totalBedsOccupied","date","percentage_not_told_diagnosis_outcome_within_28_days"
0,"1",37763,130811,62863,30185,17377,12267,8119,1,34341.0897435897,1777.41271022884,112.015760270196,"2021-04-01",0.288683673391381
0,"2",34982,132789,67272,30535,15535,11121,8326,2,34665.8076923077,2272.94252333688,343.885833431801,"2021-10-01",0.263440495824202
0,"3",37129,136418,67414,31875,15871,12290,8968,3,35079.9615384615,1920.16436448856,312.111800385994,"2022-04-01",0.272170827896612
0,"4",37459,146070,76059,32552,16458,11805,9196,4,36043.858974359,1896.43036945134,280.968804403482,"2022-10-01",0.25644553980968
0,"5",38887,147987,73006,36094,17286,12896,8705,5,36898.0256410256,1586.77240018046,115.507793671646,"2023-04-01",0.262773081419314
0,"6",35320,150409,77058,38031,16268,11120,7932,6,38234.2307692308,1752.84042086174,118.749806527671,"2023-10-01",0.234826373421803
0,"7",39424,161575,78617,43534,18492,12371,8561,7,38545.6794871795,1640.85796801765,87.1467466225531,"2024-04-01",0.243998143277116
1,"1",31132,108942,53009,24801,15098,9612,6422,1,50966.25,3128.25146169355,185.034867831541,"2021-04-01",0.285766738264398
1,"2",34451,116387,55172,26764,15221,10879,8351,2,52593.5833333333,4004.71177355351,519.412429595494,"2021-10-01",0.296003849227147
1,"3",37497,118123,54024,26602,15739,12034,9724,3,52930,3274.38122759857,497.883579749104,"2022-04-01",0.317440295285423
1,"4",35430,125683,62686,27567,15539,11033,8858,4,54650.2083333333,3237.27059011777,416.558170122888,"2022-10-01",0.281899700038987
1,"5",35216,129256,63252,30788,15602,11267,8347,5,55450.3333333333,2551.70406076898,169.062805713683,"2023-04-01",0.27245156897939
1,"6",32009,131290,67714,31567,14975,9853,7181,6,57695.7708333333,2913.44233557155,170.724588557994,"2023-10-01",0.243803793129713
1,"7",34527,139496,69780,35189,16280,11122,7125,7,57983.0208333333,2891.93221326165,128.062477598566,"2024-04-01",0.247512473475942
