"mced_treated","period","told_diagnosis_outcome_total","population","ref_rate"
0,"1",130811,30902395,423.303760113092
0,"2",132789,30902395,429.704558497812
0,"3",136418,30902395,441.447984856837
0,"4",146070,30902395,472.681809937385
0,"5",147987,30902395,478.885212618634
0,"6",150409,30902395,486.722792845021
0,"7",161575,30902395,522.855914565845
1,"1",108942,25647853,424.760700242629
1,"2",116387,25647853,453.788471105164
1,"3",118123,25647853,460.557068850948
1,"4",125683,25647853,490.033220324524
1,"5",129256,25647853,503.96421096144
1,"6",131290,25647853,511.894699334092
1,"7",139496,25647853,543.889580153161
