"mced_treated","period","told_diagnosis_outcome_total","population","ref_rate"
0,"1",359394,30902395,1162.99723694555
0,"2",384821,30902395,1245.27888534206
0,"3",404784,30902395,1309.87905629968
0,"4",444477,30902395,1438.32541134757
0,"5",435575,30902395,1409.51858262119
0,"6",445004,30902395,1440.03078078576
0,"7",459568,30902395,1487.15981398853
1,"1",306808,25647853,1196.23268271227
1,"2",344240,25647853,1342.17862212482
1,"3",369623,25647853,1441.1459703859
1,"4",390164,25647853,1521.23454544129
1,"5",390390,25647853,1522.11571081603
1,"6",394976,25647853,1539.99634979193
1,"7",402686,25647853,1570.05734554077
