"mced_treated","period","told_diagnosis_outcome_total","population","ref_rate"
0,"1",287850,30902395,931.48120072894
0,"2",295393,30902395,955.890312061573
0,"3",303939,30902395,983.545126518511
0,"4",303188,30902395,981.114894169206
0,"5",338914,30902395,1096.72405650112
0,"6",349522,30902395,1131.05149293445
0,"7",378739,30902395,1225.59756290734
1,"1",231086,25647853,900.995494632631
1,"2",246055,25647853,959.359054342677
1,"3",254344,25647853,991.677548994062
1,"4",252769,25647853,985.536684103734
1,"5",279874,25647853,1091.21804464491
1,"6",286395,25647853,1116.64317477178
1,"7",306053,25647853,1193.28896652675
