"tx.mn","tx.sd","ct.mn","ct.sd","std.eff.sz","stat","p","ks","ks.pval"
"PercentageAbsent_Month_TMinus1",0.063,0.018,0.054,0.015,0.533,1.222,0.237,0.471,0.513
"PercentageAbsent_Month_TMinus2",0.063,0.018,0.054,0.015,0.519,1.19,0.249,0.471,0.513
"PercentageAbsent_Month_TMinus3",0.069,0.019,0.057,0.016,0.642,1.46,0.161,0.471,0.513
"PercentageAbsent_Month_TMinus4",0.055,0.015,0.045,0.012,0.669,1.56,0.135,0.528,0.222
"PercentageAbsent_Month_TMinus5",0.05,0.013,0.041,0.011,0.633,1.448,0.164,0.471,0.513
"PercentageAbsent_Month_TMinus6",0.049,0.013,0.042,0.01,0.607,1.415,0.173,0.471,0.513
"DiagnosticDelayRate_Month_TMinus1",0.309,0.029,0.299,0.036,0.32,0.54,0.595,0.409,0.513
"DiagnosticDelayRate_Month_TMinus2",0.298,0.025,0.291,0.049,0.303,0.334,0.742,0.444,0.513
"DiagnosticDelayRate_Month_TMinus3",0.286,0.026,0.277,0.04,0.336,0.544,0.593,0.409,0.513
"DiagnosticDelayRate_Month_TMinus4",0.284,0.042,0.288,0.039,-0.106,-0.236,0.816,0.194,0.998
"DiagnosticDelayRate_Month_TMinus5",0.26,0.033,0.27,0.041,-0.272,-0.506,0.619,0.282,0.836
"DiagnosticDelayRate_Month_TMinus6",0.292,0.046,0.279,0.041,0.265,0.557,0.584,0.415,0.513
"NumProviderOrgs",8.625,4.207,7.637,2.004,0.235,0.621,0.542,0.25,0.998
"NumStaff",50966.25,17911.531,44837.806,10551.092,0.342,0.865,0.398,0.5,0.513
"Pop",3205981.628,1427122.486,2879744.422,730293.04,0.229,0.605,0.552,0.406,0.513
"Pop0to49perc",0.621,0.044,0.631,0.051,-0.222,-0.384,0.705,0.232,0.998
"Pop50to64perc",0.193,0.013,0.189,0.014,0.323,0.586,0.564,0.447,0.513
"Pop65to74perc",0.1,0.017,0.096,0.018,0.236,0.426,0.675,0.232,0.998
"Pop75to84perc",0.061,0.011,0.059,0.013,0.184,0.306,0.763,0.413,0.513
"Pop85plusperc",0.024,0.004,0.025,0.005,-0.081,-0.133,0.895,0.37,0.836
"PopFemalePerc",0.506,0.003,0.504,0.004,0.544,0.945,0.356,0.307,0.836
"PopMalePerc",0.494,0.003,0.496,0.004,-0.543,-0.944,0.357,0.307,0.836
"CancerPrevPer100k",3965.875,408.699,3942.392,590.122,0.057,0.083,0.935,0.381,0.513
"CancerReferralsPrevPer100k",2265.738,275.791,2290.107,179.939,-0.088,-0.238,0.815,0.403,0.513
